술이름,기준가_JPY,정가_JPY,환율_1JPY_KRW,기준가_KRW,한국반입추정가_KRW,반입배수,재고,출처,가져온날짜,URL,비고
ブラントン ブラック,11420,,9.503477,108530,277351,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-07-06,https://www.syurui.co.jp/products/0612,
ノックニーアン カスクストレングス,13259,,9.503477,126007,322013,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-07-06,https://www.syurui.co.jp/products/1455,
日置 Hioki,3797,,9.503477,36085,92216,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-07-06,https://www.syurui.co.jp/products/1454,
ハイランドパーク 25年,115154,,9.503477,1094363,2796667,2.5555,N,酒類ドットコム(syurui)(Shopify products.json),2026-07-06,https://www.syurui.co.jp/products/0654,재고없음
フレンチウイスキー バスティーユ 1789,6107,,9.503477,58038,148317,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-07-06,https://www.syurui.co.jp/products/1784,
スプリングバンク 12年 カスクストレングス 55.4度,52285,,9.503477,496889,1269810,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-07-06,https://www.syurui.co.jp/products/0246,
スペイ トゥルティーナ 46%,7724,,9.503477,73405,187588,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-07-06,https://www.syurui.co.jp/products/0906,
ザ グレンタレット 7年 ピートスモークド 2024リリース,6743,,9.503477,64082,163763,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-07-06,https://www.syurui.co.jp/products/0927,
ザ グレンタレット トリプルウッド 2025リリース,6269,,9.503477,59577,152250,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-07-06,https://www.syurui.co.jp/products/0916,
ザ ホイッスラー トリプルオーク スモールバッチ アイリッシュウイスキー,2527,,9.503477,24015,61371,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-07-06,https://www.syurui.co.jp/products/1373,
新 バランタイン シングルモルト グレンバーギー 18年,15557,,9.503477,147846,377823,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-07-06,https://www.syurui.co.jp/products/0840,
新 バランタイン シングルモルト グレンバーギー 15年,8879,,9.503477,84381,215637,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-07-06,https://www.syurui.co.jp/products/0837,
新 バランタイン シングルモルト グレンバーギー 12年,5887,,9.503477,55947,142974,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-07-06,https://www.syurui.co.jp/products/0833,
デュワーズ 12年 ミズナラ,3902,,9.503477,37083,94766,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-07-06,https://www.syurui.co.jp/products/0774,
アードベッグ ドルチェ,19404,,9.503477,184405,471251,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-07-06,https://www.syurui.co.jp/products/1807,
ボウモア シェリー 18年,17602,,9.503477,167280,427487,2.5555,N,酒類ドットコム(syurui)(Shopify products.json),2026-07-06,https://www.syurui.co.jp/products/1388,재고없음
