술이름,기준가_JPY,정가_JPY,환율_1JPY_KRW,기준가_KRW,한국반입추정가_KRW,반입배수,재고,출처,가져온날짜,URL,비고
スプリングバンク 12年 カスクストレングス 55.4度,50598,,9.469062,479116,1224391,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-15,https://www.syurui.co.jp/products/0246,
スペイ トゥルティーナ 46%,7724,,9.469062,73139,186908,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-15,https://www.syurui.co.jp/products/0906,
ザ グレンタレット 7年 ピートスモークド 2024リリース,6743,,9.469062,63850,163170,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-15,https://www.syurui.co.jp/products/0927,
ザ グレンタレット トリプルウッド 2025リリース,6269,,9.469062,59362,151701,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-15,https://www.syurui.co.jp/products/0916,
ザ ホイッスラー トリプルオーク スモールバッチ アイリッシュウイスキー,2527,,9.469062,23928,61148,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-15,https://www.syurui.co.jp/products/1373,
新 バランタイン シングルモルト グレンバーギー 18年,15557,,9.469062,147310,376454,2.5555,N,酒類ドットコム(syurui)(Shopify products.json),2026-06-15,https://www.syurui.co.jp/products/0840,재고없음
新 バランタイン シングルモルト グレンバーギー 15年,8879,,9.469062,84076,214858,2.5555,N,酒類ドットコム(syurui)(Shopify products.json),2026-06-15,https://www.syurui.co.jp/products/0837,재고없음
新 バランタイン シングルモルト グレンバーギー 12年,5887,,9.469062,55744,142455,2.5555,N,酒類ドットコム(syurui)(Shopify products.json),2026-06-15,https://www.syurui.co.jp/products/0833,재고없음
デュワーズ 12年 ミズナラ,3902,,9.469062,36948,94421,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-15,https://www.syurui.co.jp/products/0774,
アードベッグ ドルチェ,19404,,9.469062,183738,469546,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-15,https://www.syurui.co.jp/products/1807,
ボウモア シェリー 18年,17602,,9.469062,166674,425939,2.5555,N,酒類ドットコム(syurui)(Shopify products.json),2026-06-15,https://www.syurui.co.jp/products/1388,재고없음
ボウモア シェリー 15年,12277,,9.469062,116252,297084,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-15,https://www.syurui.co.jp/products/1294,
ボウモア シェリー 12年,6800,,9.469062,64390,164550,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-15,https://www.syurui.co.jp/products/1281,
OHTANI WHISKY zodiac sign No.2 Capricorn,10912,,9.469062,103326,264052,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-15,https://www.syurui.co.jp/products/1057,
シングルモルト ジャパニーズ ウイスキー Kuju THE FIRST,16031,,9.469062,151799,387925,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-15,https://www.syurui.co.jp/products/0622,
シングルモルト ジャパニーズ ウイスキー Kuju sora,13514,,9.469062,127965,327017,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-15,https://www.syurui.co.jp/products/0635,
小正 嘉之助 ダブルディスティラリー53%,13745,,9.469062,130152,332606,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-15,https://www.syurui.co.jp/products/0732,
小正 シングルモルト 嘉之助 ピーテッド 48%,10011,,9.469062,94795,242251,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-15,https://www.syurui.co.jp/products/0684,
小正 シングルモルト 嘉之助 48%,9503,,9.469062,89984,229956,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-15,https://www.syurui.co.jp/products/0641,
バランタイン ファイネスト ECタイプ,1350,,9.469062,12783,32667,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-15,https://www.syurui.co.jp/products/0114,
クライヌリッシュ 14年,6791,,9.469062,64304,164330,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-15,https://www.syurui.co.jp/products/0118,
バランタイン 21年,13485,,9.469062,127690,326314,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-15,https://www.syurui.co.jp/products/0194,
ジョニー ウォーカー 黒ラベル 12年 1000ml,3555,,9.469062,33663,86026,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-15,https://www.syurui.co.jp/products/0234,
ジョニー ウォーカー 黒ラベル 12年 700ml,2978,,9.469062,28199,72063,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-15,https://www.syurui.co.jp/products/0310,
バランタイン 30年,41003,,9.469062,388260,992206,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-15,https://www.syurui.co.jp/products/0370,
ザ バルヴェニー ダブルウッド 12年,9040,,9.469062,85600,218753,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-15,https://www.syurui.co.jp/products/0480,
ワイルドターキー スタンダード 1000ml,2631,,9.469062,24913,63666,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-15,https://www.syurui.co.jp/products/0505,
オールド グランダッド 80 750ml,2468,,9.469062,23370,59723,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-15,https://www.syurui.co.jp/products/0560,
ブッシュミルズ シングルモルト 10年,4894,,9.469062,46342,118428,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-15,https://www.syurui.co.jp/products/0806,
オールドパー18年,11536,,9.469062,109235,279152,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-15,https://www.syurui.co.jp/products/0882,
アランバレルリザーブ,4377,,9.469062,41446,105916,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-15,https://www.syurui.co.jp/products/1280,
グレンモーレンジィ トリプルカスク リザーブ,5761,,9.469062,54551,139406,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-15,https://www.syurui.co.jp/products/1368,
ジャック ダニエル ボンデッド,4952,,9.469062,46891,119831,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-15,https://www.syurui.co.jp/products/0591,
ブレット バーボン 10年,4791,,9.469062,45366,115934,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-15,https://www.syurui.co.jp/products/1366,
グレンファークラス 105 1000ml,10393,,9.469062,98412,251494,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-15,https://www.syurui.co.jp/products/0779,
ウエスト コーク バーボン カスク アイリッシュウイスキー,2769,,9.469062,26220,67006,2.5555,N,酒類ドットコム(syurui)(Shopify products.json),2026-06-15,https://www.syurui.co.jp/products/1858,재고없음
セクストン 11年,5646,,9.469062,53462,136623,2.5555,N,酒類ドットコム(syurui)(Shopify products.json),2026-06-15,https://www.syurui.co.jp/products/1828,재고없음
ピッグス ノーズ,3072,,9.469062,29089,74338,2.5555,N,酒類ドットコム(syurui)(Shopify products.json),2026-06-15,https://www.syurui.co.jp/products/1819,재고없음
マットダーシー ブレンデッド アイリッシュウイスキー,3451,,9.469062,32678,83509,2.5555,N,酒類ドットコム(syurui)(Shopify products.json),2026-06-15,https://www.syurui.co.jp/products/1823,재고없음
アイル オブ スカイ 12年,3854,,9.469062,36494,93261,2.5555,N,酒類ドットコム(syurui)(Shopify products.json),2026-06-15,https://www.syurui.co.jp/products/0263,재고없음
