술이름,기준가_JPY,정가_JPY,환율_1JPY_KRW,기준가_KRW,한국반입추정가_KRW,반입배수,재고,출처,가져온날짜,URL,비고
OHTANI WHISKY zodiac sign No.2 Capricorn,10912,,9.456754,103192,263709,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-01,https://www.syurui.co.jp/products/1057,
シングルモルト ジャパニーズ ウイスキー Kuju THE FIRST,16031,,9.456754,151601,387419,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-01,https://www.syurui.co.jp/products/0622,
シングルモルト ジャパニーズ ウイスキー Kuju sora,13514,,9.456754,127799,326593,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-01,https://www.syurui.co.jp/products/0635,
小正 嘉之助 ダブルディスティラリー53%,13745,,9.456754,129983,332174,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-01,https://www.syurui.co.jp/products/0732,
小正 シングルモルト 嘉之助 ピーテッド 48%,10011,,9.456754,94672,241936,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-01,https://www.syurui.co.jp/products/0684,
小正 シングルモルト 嘉之助 48%,9503,,9.456754,89868,229659,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-01,https://www.syurui.co.jp/products/0641,
バランタイン ファイネスト ECタイプ,1350,,9.456754,12767,32626,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-01,https://www.syurui.co.jp/products/0114,
クライヌリッシュ 14年,6791,,9.456754,64221,164118,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-01,https://www.syurui.co.jp/products/0118,
バランタイン 21年,14045,,9.456754,132820,339424,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-01,https://www.syurui.co.jp/products/0194,
ジョニー ウォーカー 黒ラベル 12年 1000ml,3555,,9.456754,33619,85914,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-01,https://www.syurui.co.jp/products/0234,
