술이름,기준가_JPY,정가_JPY,환율_1JPY_KRW,기준가_KRW,한국반입추정가_KRW,반입배수,재고,출처,가져온날짜,URL,비고
デュワーズ 12年 ミズナラ,3902,,9.460043,36913,94332,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-05-30,https://www.syurui.co.jp/products/0774,
OHTANI WHISKY zodiac sign No.2 Capricorn,10912,,9.460043,103228,263801,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-05-30,https://www.syurui.co.jp/products/1057,
シングルモルト ジャパニーズ ウイスキー Kuju THE FIRST,16031,,9.460043,151654,387555,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-05-30,https://www.syurui.co.jp/products/0622,
シングルモルト ジャパニーズ ウイスキー Kuju sora,13514,,9.460043,127843,326705,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-05-30,https://www.syurui.co.jp/products/0635,
小正 嘉之助 ダブルディスティラリー53%,13745,,9.460043,130028,332289,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-05-30,https://www.syurui.co.jp/products/0732,
小正 シングルモルト 嘉之助 ピーテッド 48%,10011,,9.460043,94704,242018,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-05-30,https://www.syurui.co.jp/products/0684,
小正 シングルモルト 嘉之助 48%,9503,,9.460043,89899,229739,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-05-30,https://www.syurui.co.jp/products/0641,
バランタイン ファイネスト ECタイプ,1350,,9.460043,12771,32637,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-05-30,https://www.syurui.co.jp/products/0114,
クライヌリッシュ 14年,6791,,9.460043,64243,164174,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-05-30,https://www.syurui.co.jp/products/0118,
バランタイン 21年,14045,,9.460043,132866,339542,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-05-30,https://www.syurui.co.jp/products/0194,
