술이름,기준가_JPY,정가_JPY,환율_1JPY_KRW,기준가_KRW,한국반입추정가_KRW,반입배수,재고,출처,가져온날짜,URL,비고
ブラントン ブラック,11420,,9.151419,104509,267075,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-07-20,https://www.syurui.co.jp/products/0612,
ノックニーアン カスクストレングス,13259,,9.151419,121339,310084,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-07-20,https://www.syurui.co.jp/products/1455,
日置 Hioki,3797,,9.151419,34748,88799,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-07-20,https://www.syurui.co.jp/products/1454,
ハイランドパーク 25年,115154,,9.151419,1053823,2693066,2.5555,N,酒類ドットコム(syurui)(Shopify products.json),2026-07-20,https://www.syurui.co.jp/products/0654,재고없음
フレンチウイスキー バスティーユ 1789,6107,,9.151419,55888,142823,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-07-20,https://www.syurui.co.jp/products/1784,
スプリングバンク 12年 カスクストレングス 55.4度,52285,,9.151419,478482,1222770,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-07-20,https://www.syurui.co.jp/products/0246,
スペイ トゥルティーナ 46%,7724,,9.151419,70686,180639,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-07-20,https://www.syurui.co.jp/products/0906,
ザ グレンタレット 7年 ピートスモークド 2024リリース,6743,,9.151419,61708,157696,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-07-20,https://www.syurui.co.jp/products/0927,
ザ グレンタレット トリプルウッド 2025リリース,6269,,9.151419,57370,146610,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-07-20,https://www.syurui.co.jp/products/0916,
ザ ホイッスラー トリプルオーク スモールバッチ アイリッシュウイスキー,2527,,9.151419,23126,59099,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-07-20,https://www.syurui.co.jp/products/1373,
新 バランタイン シングルモルト グレンバーギー 18年,15557,,9.151419,142369,363827,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-07-20,https://www.syurui.co.jp/products/0840,
