술이름,기준가_JPY,정가_JPY,환율_1JPY_KRW,기준가_KRW,한국반입추정가_KRW,반입배수,재고,출처,가져온날짜,URL,비고
スプリングバンク 12年 カスクストレングス 55.4度,50598,,9.496199,480489,1227899,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-22,https://www.syurui.co.jp/products/0246,
スペイ トゥルティーナ 46%,7724,,9.496199,73349,187445,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-22,https://www.syurui.co.jp/products/0906,
ザ グレンタレット 7年 ピートスモークド 2024リリース,6743,,9.496199,64033,163638,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-22,https://www.syurui.co.jp/products/0927,
ザ グレンタレット トリプルウッド 2025リリース,6269,,9.496199,59532,152135,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-22,https://www.syurui.co.jp/products/0916,
ザ ホイッスラー トリプルオーク スモールバッチ アイリッシュウイスキー,2527,,9.496199,23997,61325,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-22,https://www.syurui.co.jp/products/1373,
新 バランタイン シングルモルト グレンバーギー 18年,15557,,9.496199,147732,377532,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-22,https://www.syurui.co.jp/products/0840,
新 バランタイン シングルモルト グレンバーギー 15年,8879,,9.496199,84317,215474,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-22,https://www.syurui.co.jp/products/0837,
新 バランタイン シングルモルト グレンバーギー 12年,5887,,9.496199,55904,142864,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-22,https://www.syurui.co.jp/products/0833,
デュワーズ 12年 ミズナラ,3902,,9.496199,37054,94692,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-22,https://www.syurui.co.jp/products/0774,
アードベッグ ドルチェ,19404,,9.496199,184264,470890,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-22,https://www.syurui.co.jp/products/1807,
ボウモア シェリー 18年,17602,,9.496199,167152,427160,2.5555,N,酒類ドットコム(syurui)(Shopify products.json),2026-06-22,https://www.syurui.co.jp/products/1388,재고없음
ボウモア シェリー 15年,12277,,9.496199,116585,297935,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-22,https://www.syurui.co.jp/products/1294,
