술이름,기준가_JPY,정가_JPY,환율_1JPY_KRW,기준가_KRW,한국반입추정가_KRW,반입배수,재고,출처,가져온날짜,URL,비고
スペイ トゥルティーナ 46%,7724,,9.650807,74543,190496,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-07,https://www.syurui.co.jp/products/0906,
ザ グレンタレット 7年 ピートスモークド 2024リリース,6743,,9.650807,65075,166300,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-07,https://www.syurui.co.jp/products/0927,
ザ グレンタレット トリプルウッド 2025リリース,6269,,9.650807,60501,154612,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-07,https://www.syurui.co.jp/products/0916,
ザ ホイッスラー トリプルオーク スモールバッチ アイリッシュウイスキー,2527,,9.650807,24388,62324,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-07,https://www.syurui.co.jp/products/1373,
新 バランタイン シングルモルト グレンバーギー 18年,15557,,9.650807,150138,383681,2.5555,N,酒類ドットコム(syurui)(Shopify products.json),2026-06-07,https://www.syurui.co.jp/products/0840,재고없음
新 バランタイン シングルモルト グレンバーギー 15年,8879,,9.650807,85690,218983,2.5555,N,酒類ドットコム(syurui)(Shopify products.json),2026-06-07,https://www.syurui.co.jp/products/0837,재고없음
新 バランタイン シングルモルト グレンバーギー 12年,5887,,9.650807,56814,145189,2.5555,N,酒類ドットコム(syurui)(Shopify products.json),2026-06-07,https://www.syurui.co.jp/products/0833,재고없음
デュワーズ 12年 ミズナラ,3902,,9.650807,37657,96233,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-07,https://www.syurui.co.jp/products/0774,
アードベッグ ドルチェ,19404,,9.650807,187264,478557,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-07,https://www.syurui.co.jp/products/1807,
ボウモア シェリー 18年,17602,,9.650807,169874,434116,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-07,https://www.syurui.co.jp/products/1388,
ボウモア シェリー 15年,12277,,9.650807,118483,302786,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-07,https://www.syurui.co.jp/products/1294,
ボウモア シェリー 12年,6800,,9.650807,65625,167706,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-07,https://www.syurui.co.jp/products/1281,
OHTANI WHISKY zodiac sign No.2 Capricorn,10912,,9.650807,105310,269122,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-07,https://www.syurui.co.jp/products/1057,
シングルモルト ジャパニーズ ウイスキー Kuju THE FIRST,16031,,9.650807,154712,395370,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-07,https://www.syurui.co.jp/products/0622,
シングルモルト ジャパニーズ ウイスキー Kuju sora,13514,,9.650807,130421,333293,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-07,https://www.syurui.co.jp/products/0635,
小正 嘉之助 ダブルディスティラリー53%,13745,,9.650807,132650,338990,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-07,https://www.syurui.co.jp/products/0732,
小正 シングルモルト 嘉之助 ピーテッド 48%,10011,,9.650807,96614,246899,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-07,https://www.syurui.co.jp/products/0684,
小正 シングルモルト 嘉之助 48%,9503,,9.650807,91712,234372,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-07,https://www.syurui.co.jp/products/0641,
バランタイン ファイネスト ECタイプ,1350,,9.650807,13029,33296,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-07,https://www.syurui.co.jp/products/0114,
クライヌリッシュ 14年,6791,,9.650807,65539,167486,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-07,https://www.syurui.co.jp/products/0118,
バランタイン 21年,13485,,9.650807,130141,332578,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-07,https://www.syurui.co.jp/products/0194,
ジョニー ウォーカー 黒ラベル 12年 1000ml,3555,,9.650807,34309,87677,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-07,https://www.syurui.co.jp/products/0234,
ジョニー ウォーカー 黒ラベル 12年 700ml,2978,,9.650807,28740,73446,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-07,https://www.syurui.co.jp/products/0310,
バランタイン 30年,41003,,9.650807,395712,1011250,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-07,https://www.syurui.co.jp/products/0370,
ザ バルヴェニー ダブルウッド 12年,9040,,9.650807,87243,222951,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-07,https://www.syurui.co.jp/products/0480,
ワイルドターキー スタンダード 1000ml,2631,,9.650807,25391,64887,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-07,https://www.syurui.co.jp/products/0505,
オールド グランダッド 80 750ml,2468,,9.650807,23818,60867,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-07,https://www.syurui.co.jp/products/0560,
ブッシュミルズ シングルモルト 10年,4894,,9.650807,47231,120700,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-07,https://www.syurui.co.jp/products/0806,
オールドパー18年,11536,,9.650807,111332,284511,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-07,https://www.syurui.co.jp/products/0882,
アランバレルリザーブ,4377,,9.650807,42242,107950,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-07,https://www.syurui.co.jp/products/1280,
グレンモーレンジィ トリプルカスク リザーブ,5761,,9.650807,55598,142082,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-07,https://www.syurui.co.jp/products/1368,
ジャック ダニエル ボンデッド,4952,,9.650807,47791,122131,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-07,https://www.syurui.co.jp/products/0591,
ブレット バーボン 10年,4791,,9.650807,46237,118160,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-07,https://www.syurui.co.jp/products/1366,
グレンファークラス 105 1000ml,10393,,9.650807,100301,256321,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-07,https://www.syurui.co.jp/products/0779,
ウエスト コーク バーボン カスク アイリッシュウイスキー,2769,,9.650807,26723,68291,2.5555,N,酒類ドットコム(syurui)(Shopify products.json),2026-06-07,https://www.syurui.co.jp/products/1858,재고없음
セクストン 11年,5646,,9.650807,54488,139245,2.5555,N,酒類ドットコム(syurui)(Shopify products.json),2026-06-07,https://www.syurui.co.jp/products/1828,재고없음
ピッグス ノーズ,3072,,9.650807,29647,75764,2.5555,N,酒類ドットコム(syurui)(Shopify products.json),2026-06-07,https://www.syurui.co.jp/products/1819,재고없음
マットダーシー ブレンデッド アイリッシュウイスキー,3451,,9.650807,33305,85112,2.5555,N,酒類ドットコム(syurui)(Shopify products.json),2026-06-07,https://www.syurui.co.jp/products/1823,재고없음
アイル オブ スカイ 12年,3854,,9.650807,37194,95050,2.5555,N,酒類ドットコム(syurui)(Shopify products.json),2026-06-07,https://www.syurui.co.jp/products/0263,재고없음
ブラックニッカ スペシャル 1800mlペットボトル,3199,,9.650807,30873,78897,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-06-07,https://www.syurui.co.jp/products/1222,
