술이름,기준가_JPY,정가_JPY,환율_1JPY_KRW,기준가_KRW,한국반입추정가_KRW,반입배수,재고,출처,가져온날짜,URL,비고
ブラントン ブラック,11420,,9.281227,105992,270865,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-07-13,https://www.syurui.co.jp/products/0612,
ノックニーアン カスクストレングス,13259,,9.281227,123060,314482,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-07-13,https://www.syurui.co.jp/products/1455,
日置 Hioki,3797,,9.281227,35241,90059,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-07-13,https://www.syurui.co.jp/products/1454,
ハイランドパーク 25年,115154,,9.281227,1068770,2731263,2.5555,N,酒類ドットコム(syurui)(Shopify products.json),2026-07-13,https://www.syurui.co.jp/products/0654,재고없음
フレンチウイスキー バスティーユ 1789,6107,,9.281227,56680,144847,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-07-13,https://www.syurui.co.jp/products/1784,
スプリングバンク 12年 カスクストレングス 55.4度,52285,,9.281227,485269,1240115,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-07-13,https://www.syurui.co.jp/products/0246,
スペイ トゥルティーナ 46%,7724,,9.281227,71688,183200,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-07-13,https://www.syurui.co.jp/products/0906,
ザ グレンタレット 7年 ピートスモークド 2024リリース,6743,,9.281227,62583,159932,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-07-13,https://www.syurui.co.jp/products/0927,
ザ グレンタレット トリプルウッド 2025リリース,6269,,9.281227,58184,148690,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-07-13,https://www.syurui.co.jp/products/0916,
ザ ホイッスラー トリプルオーク スモールバッチ アイリッシュウイスキー,2527,,9.281227,23454,59937,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-07-13,https://www.syurui.co.jp/products/1373,
新 バランタイン シングルモルト グレンバーギー 18年,15557,,9.281227,144388,368986,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-07-13,https://www.syurui.co.jp/products/0840,
新 バランタイン シングルモルト グレンバーギー 15年,8879,,9.281227,82408,210595,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-07-13,https://www.syurui.co.jp/products/0837,
新 バランタイン シングルモルト グレンバーギー 12年,5887,,9.281227,54639,139631,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-07-13,https://www.syurui.co.jp/products/0833,
デュワーズ 12年 ミズナラ,3902,,9.281227,36215,92548,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-07-13,https://www.syurui.co.jp/products/0774,
アードベッグ ドルチェ,19404,,9.281227,180093,460231,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-07-13,https://www.syurui.co.jp/products/1807,
ボウモア シェリー 18年,17602,,9.281227,163368,417490,2.5555,N,酒類ドットコム(syurui)(Shopify products.json),2026-07-13,https://www.syurui.co.jp/products/1388,재고없음
ボウモア シェリー 15年,12277,,9.281227,113946,291191,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-07-13,https://www.syurui.co.jp/products/1294,
ボウモア シェリー 12年,6800,,9.281227,63112,161284,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-07-13,https://www.syurui.co.jp/products/1281,
OHTANI WHISKY zodiac sign No.2 Capricorn,10912,,9.281227,101277,258815,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-07-13,https://www.syurui.co.jp/products/1057,
シングルモルト ジャパニーズ ウイスキー Kuju THE FIRST,16031,,9.281227,148787,380228,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-07-13,https://www.syurui.co.jp/products/0622,
