술이름,가격_KRW,위치,가져온날짜,출처,신뢰도,비고
글렌피딕 15년 700ml,99800,트레이더스,2026-03(추정),WebSearch(lilys.ai 3월 정리/검색 스니펫),낮음,"검색 스니펫 기반·월 추정, 재확인 필요"
글렌피딕 12년 700ml,84800,트레이더스,2026-03(추정),WebSearch(lilys.ai 3월 정리/검색 스니펫),낮음,"검색 스니펫 기반·월 추정, 재확인 필요"
발베니 12년 더블우드,96800,트레이더스,2026-03(추정),WebSearch(lilys.ai 3월 정리/검색 스니펫),낮음,"글렌캐런잔+온더락잔 포함, 월 추정"
제임슨 아이리시 위스키 700ml,26690,코스트코,2026-03-01,유튜브 @whiskeypick / DKGnyfZQw9c @ 0:24,중,조사 2026-03-01(촬영일)
로얄 브라클라 12년 700ml,82900,코스트코,2026-03-01,유튜브 @whiskeypick / DKGnyfZQw9c @ 0:37,중,조사 2026-03-01(촬영일)
조니워커 블루 700ml,256900,코스트코,2026-03-24,유튜브 @whiskeypick / hwrFLjG0QEo @ 0:18,중,조사 2026-03-24(촬영일)
발렌타인 21년 700ml,186900,코스트코,2026-03-24,유튜브 @whiskeypick / hwrFLjG0QEo @ 0:29,중,조사 2026-03-24(촬영일)
발렌타인 17년 700ml,118900,코스트코,2026-03-24,유튜브 @whiskeypick / hwrFLjG0QEo @ 0:40,중,조사 2026-03-24(촬영일)
글렌피딕 15년 싱글 몰트 위스키 700ml,96900,코스트코,2026-03-24,유튜브 @whiskeypick / hwrFLjG0QEo @ 0:50,중,조사 2026-03-24(촬영일)
글렌모렌지 D 오리지널 12년 700ml,79900,코스트코,2026-03-24,유튜브 @whiskeypick / hwrFLjG0QEo @ 1:02,중,조사 2026-03-24(촬영일)
로얄 브라클라 12년 700ml,82900,코스트코,2026-03-24,유튜브 @whiskeypick / hwrFLjG0QEo @ 1:14,중,조사 2026-03-24(촬영일)
맥캘란 12년 더블 캐스크 싱글 모트 위스키 700ml,96900,코스트코,2026-03-24,유튜브 @whiskeypick / hwrFLjG0QEo @ 1:40,중,조사 2026-03-24(촬영일)
달모어 12년 쉐리케스크 싱글 모트 위스키 700ml,144900,코스트코,2026-03-24,유튜브 @whiskeypick / hwrFLjG0QEo @ 1:54,중,조사 2026-03-24(촬영일)
몽키 숄더 700ml,49790,코스트코,2026-03-24,유튜브 @whiskeypick / hwrFLjG0QEo @ 2:04,중,조사 2026-03-24(촬영일)
조니워커 그린 700ml,66900,코스트코,2026-03-24,유튜브 @whiskeypick / hwrFLjG0QEo @ 2:18,중,조사 2026-03-24(촬영일)
발베니 14년 캐리비안 캐스크 700ml,134900,코스트코,2026-03-24,유튜브 @whiskeypick / hwrFLjG0QEo @ 2:44,중,조사 2026-03-24(촬영일)
발베니 12년 더블로드 700ml,94900,코스트코,2026-03-24,유튜브 @whiskeypick / hwrFLjG0QEo @ 2:54,중,조사 2026-03-24(촬영일)
잭다니엘 애플 1L,44690,코스트코,2026-03-24,유튜브 @whiskeypick / hwrFLjG0QEo @ 3:27,중,조사 2026-03-24(촬영일)
우드포드 리저브 1L,79900,코스트코,2026-03-24,유튜브 @whiskeypick / hwrFLjG0QEo @ 4:19,중,조사 2026-03-24(촬영일)
가쿠빈 700ml,27690,코스트코,2026-03-24,유튜브 @whiskeypick / hwrFLjG0QEo @ 4:32,중,조사 2026-03-24(촬영일)
제임스 나이시 위스키 700ml,26690,코스트코,2026-03-24,유튜브 @whiskeypick / hwrFLjG0QEo @ 5:12,중,조사 2026-03-24(촬영일)
진빔 법원이스키 1L,35390,코스트코,2026-03-24,유튜브 @whiskeypick / hwrFLjG0QEo @ 7:51,중,조사 2026-03-24(촬영일)
발렌타인 21년 700ml,186900,코스트코,2026-03-16,유튜브 @whiskeypick / ve4mX2zaHBA @ 0:30,중,조사 2026-03-16(촬영일)
발렌타인 17년 700ml,118900,코스트코,2026-03-16,유튜브 @whiskeypick / ve4mX2zaHBA @ 0:41,중,조사 2026-03-16(촬영일)
맥캘란 12년 더블 캐스크 700ml,96900,코스트코,2026-03-16,유튜브 @whiskeypick / ve4mX2zaHBA @ 0:52,중,조사 2026-03-16(촬영일)
달모어 12년 쉐리케스크 싱글 몰트 위스키 700ml,144900,코스트코,2026-03-16,유튜브 @whiskeypick / ve4mX2zaHBA @ 1:17,중,조사 2026-03-16(촬영일)
몽키 숄더 700ml,49790,코스트코,2026-03-16,유튜브 @whiskeypick / ve4mX2zaHBA @ 1:27,중,조사 2026-03-16(촬영일)
