수집일,위스키명,가격_KRW,데일리샷상품명,정확도,할인율,국내위치,URL,비고
2026-05-31,1792 스몰배치,65500,1792 스몰 배치 700ml,정확,0,트레이더스,https://dailyshot.co/m/product/14532,셀러 1/4 중 최저
2026-05-31,1792 풀프루프가,,,,,이마트,,MISS / 검색후보 26
2026-05-31,가쿠빈,35800,산토리 가쿠빈,근접,20,코스트코 / 트레이더스,https://dailyshot.co/m/product/2981,셀러 6/39 중 최저 / 노출가 할인 20%
2026-05-31,골든 블루 사피루스,25200,골든블루 더 사피루스 330ml,근접,0,트레이더스,https://dailyshot.co/m/product/24358,셀러 6/6 중 최저
2026-05-31,골든블루 다이아몬드,49000,골든블루 더 다이아몬드,근접,0,트레이더스,https://dailyshot.co/m/product/4975,셀러 4/4 중 최저
2026-05-31,골든블루 사파이러스,,,,,트레이더스,,MISS / 검색후보 18
2026-05-31,글랜그란트 12년,,,,,트레이더스,,MISS / 검색후보 16
2026-05-31,글랜드로 오드 to투더 엠버스,,,,,트레이더스,,MISS / 검색후보 11
2026-05-31,글랜드로 오드투더 다크,,,,,트레이더스,,MISS / 검색후보 25
2026-05-31,글랜드로 오드투더 밸리,,,,,트레이더스,,MISS / 검색후보 24
2026-05-31,글랜드로나 12년,,,,,트레이더스,,MISS / 검색후보 53
2026-05-31,글랜파 클라스 12년,,,,,트레이더스,,MISS / 검색후보 52
2026-05-31,글램 모렌지 D 오리지널 12년,,,,,코스트코,,MISS / 검색후보 51
2026-05-31,글렌그란트 12년,70471,더 글렌그란트 12년 1L,근접,40,트레이더스,https://dailyshot.co/m/product/22978,셀러 4/10 중 최저 / 노출가 할인 40%
2026-05-31,글렌그란트 15년,88661,더 글렌그란트 15년 배치 스트렝스 1L,근접,54,트레이더스,https://dailyshot.co/m/product/7987,"셀러 5/9 중 최저 / 노출가 할인 54% / ⚠️DIRTY(면세오염의심,CMPA-345)"
2026-05-31,글렌드로낙 12년,77000,더 글렌드로낙 12년,근접,0,트레이더스,https://dailyshot.co/m/product/23310,셀러 2/20 중 최저
2026-05-31,글렌라키 10년 루비 포트,,,,,트레이더스,,MISS / 검색후보 40
2026-05-31,글렌리벳 12년,60900,더 글렌리벳 12년,근접,0,트레이더스,https://dailyshot.co/m/product/2330,셀러 6/14 중 최저
2026-05-31,글렌리벳 15년,89000,더 글렌리벳 15년,근접,0,트레이더스,https://dailyshot.co/m/product/1649,셀러 3/9 중 최저
2026-05-31,글렌리벳 17년 스몰 배치 2,,,,,트레이더스,,MISS / 검색후보 2
2026-05-31,글렌리벳 19년 스몰 배치 2,379800,더 글렌리벳 19년 스몰 배치 2,근접,0,트레이더스,https://dailyshot.co/m/product/34653,셀러 1/1 중 최저
2026-05-31,글렌모렌지 12년,92000,글렌모렌지 라산타 12년,근접,0,트레이더스,https://dailyshot.co/m/product/8196,셀러 2/7 중 최저
2026-05-31,글렌모렌지 15년,136600,글렌모렌지 더 라산타 15년,근접,14,트레이더스,https://dailyshot.co/m/product/29554,셀러 1/2 중 최저 / 노출가 할인 14%
2026-05-31,글렌모렌지 D 오리지널 12년,78000,글렌모렌지 디 오리지널 12년,근접,0,코스트코,https://dailyshot.co/m/product/26311,셀러 1/1 중 최저
2026-05-31,글렌모렌지 익스플로전 #1,,,,,트레이더스,,MISS / 검색후보 43
2026-05-31,글렌알라키 10년 루비포트,185000,글렌알라키 10년 루비 포트 우드 피니시,근접,0,트레이더스,https://dailyshot.co/m/product/23695,셀러 1/5 중 최저
2026-05-31,글렌피딕 12년,69000,글렌피딕 12년 700ml,근접,0,트레이더스,https://dailyshot.co/m/product/2329,"셀러 7/21 중 최저 / ⚠️DIRTY(면세오염의심,CMPA-345)"
2026-05-31,글렌피딕 12년 쉐리케스크,,,,,코스트코,,MISS / 검색후보 5
2026-05-31,글렌피딕 14년,95900,글렌피딕 14년 버번 배럴 리저브,근접,26,트레이더스,https://dailyshot.co/m/product/22707,셀러 4/4 중 최저 / 노출가 할인 26%
2026-05-31,글렌피딕 14년 버번 캐스크,,,,,트레이더스,,MISS / 검색후보 48
2026-05-31,글렌피딕 15년,105000,글렌피딕 15년,근접,0,코스트코 / 트레이더스,https://dailyshot.co/m/product/1650,셀러 6/12 중 최저
2026-05-31,글렌피딕 15년 싱글 몰트 위스키,105000,글렌피딕 15년,근접,0,코스트코,https://dailyshot.co/m/product/1650,셀러 5/7 중 최저
2026-05-31,글렌피딕 15년 싱글트 위스키,105000,글렌피딕 15년,근접,0,코스트코,https://dailyshot.co/m/product/1650,셀러 5/7 중 최저
2026-05-31,달모어 12년,113000,달모어 12년,근접,0,트레이더스,https://dailyshot.co/m/product/3167,셀러 5/12 중 최저
