canonical_id,canonical_name_ko,raw_name,volume_ml,non_unit,price_krw,market,channel,branch,date,source_family,source_file,status,exclude_reason
w001,글렌리벳 12년,글렌리벳 12년,,False,57000,KR-DS,트레이더스,,2026-07-22,dailyshot,2026-07_dailyshot.csv,matched,
w001,글렌리벳 12년,글렌리벳 12년 1L,1000,False,69800,KR,트레이더스,,2026-04-13,youtube_martweb,2026-04.csv,matched,
w001,글렌리벳 12년,글렌리벳 12년 1L,1000,False,69800,KR,트레이더스,,2026-04-19,youtube_martweb,2026-04.csv,matched,
w001,글렌리벳 12년,글렌리벳 12년 1L,1000,False,69800,KR,트레이더스,동탄점,2026-04-07,youtube_ocr,2026-04_youtube_ocr.csv,matched,
w001,글렌리벳 12년,ザ・グレンリベット12年 シングルモルトスコッチウイスキー [ ウイスキー イギリス 700ml ] [ギフトBox入り],700,False,110105,JP,酒庫住田屋(sumidaya)(Shopify products.json),,2026-07-20,overseas,2026-07_jp_shopify_poc.csv,matched,
w001,글렌리벳 12년,【正規輸入品】ザ グレンリベット 12年 40% 700ml 箱付 スコッチ ウイスキー,700,False,125236,JP,SAKE People(Shopify products.json),,2026-07-20,overseas,2026-07_jp_shopify_poc.csv,matched,
w001,글렌리벳 12년,Glenlivet 12 Year Old Double Oak,,False,137253,HK,TheRareMalt(Shopify products.json),,2026-07-20,overseas,2026-07_hk_whisky_poc.csv,matched,
w001,글렌리벳 12년,【正規輸入品】 ザ グレンリベット 12年 40% 1000ml 箱付 シングルモルト スコッチ ウイスキー,1000,False,137630,JP,SAKE People(Shopify products.json),,2026-07-20,overseas,2026-07_jp_shopify_poc.csv,matched,
w001,글렌리벳 12년,ザ グレンリベット 12年 1000ml,1000,False,159030,JP,酒類ドットコム(syurui)(Shopify products.json),,2026-07-20,overseas,2026-07_jp_shopify_poc.csv,matched,
w002,글렌리벳 15년,글렌리벳 15년,,False,86000,KR-DS,코스트코 / 트레이더스,,2026-07-22,dailyshot,2026-07_dailyshot.csv,matched,
w002,글렌리벳 15년,글렌리벳 15년,,False,94800,KR,트레이더스,,2026-04-13,youtube_martweb,2026-04.csv,matched,
w002,글렌리벳 15년,글렌리벳 15년 700ml,700,False,94800,KR,트레이더스,,2026-04-19,youtube_martweb,2026-04.csv,matched,
w002,글렌리벳 15년,글렌리벳 15년 700ml,700,False,94800,KR,트레이더스,,2026-04-01,youtube_martweb,2026-04.csv,matched,
w002,글렌리벳 15년,글렌리벳 15년 700ml,700,False,94800,KR,트레이더스,,2026-05-27,youtube_martweb,2026-05.csv,matched,
w002,글렌리벳 15년,글렌리벳 15년 700ml,700,False,94800,KR,트레이더스,,2026-05-19,youtube_martweb,2026-05.csv,matched,
w002,글렌리벳 15년,글렌리벳 15년 700ml,700,False,94800,KR,트레이더스,,2026-05-13,youtube_martweb,2026-05.csv,matched,
w002,글렌리벳 15년,글렌리벳 15년 700ml,700,False,94800,KR,트레이더스,,2026-05-04,youtube_martweb,2026-05.csv,matched,
w002,글렌리벳 15년,글랜립의 15년,,False,94800,KR,트레이더스,,2026-06-01,youtube_martweb,2026-06.csv,matched,
w002,글렌리벳 15년,글렌리벳 15년 700ml,700,False,94800,KR,트레이더스,동탄점,2026-04-07,youtube_ocr,2026-04_youtube_ocr.csv,matched,
w002,글렌리벳 15년,글렌리벳 15년 700ml,700,False,94800,KR,트레이더스,동탄점,2026-05-20,youtube_ocr,2026-05_youtube_ocr.csv,matched,
w002,글렌리벳 15년,글렌리벳 15년 700ml,700,False,94800,KR,트레이더스,동탄점,2026-06-16,youtube_ocr,2026-06_youtube_ocr.csv,matched,
w002,글렌리벳 15년,글렌리벳 15년 700ml,700,False,94800,KR,트레이더스,동탄점,2026-06-01,youtube_ocr,2026-06_youtube_ocr.csv,matched,
w002,글렌리벳 15년,글렌리벳 15년 700ml,700,False,94800,KR,트레이더스,,2026-06-30,youtube_ocr,2026-06_youtube_ocr.csv,matched,
w002,글렌리벳 15년,더 글렌리벳 15년,700,False,94800,KR,트레이더스,,2026-05-27,youtube_martweb,2026-05_whiskeypick_traders_guwol.csv,matched,
w002,글렌리벳 15년,더 글렌리벳 15년,,False,95900,KR,코스트코,,2026-05-30,youtube_martweb,2026-05.csv,matched,
w002,글렌리벳 15년,글렌리벳 15년 700ml,700,False,99800,KR,롯데마트,,2026-04-23,youtube_martweb,2026-04.csv,matched,
w002,글렌리벳 15년,더 글렌리벳 15년 싱글몰트 위스키,,False,106900,KR,코스트코,,2026-05-30,youtube_martweb,2026-05.csv,matched,
w002,글렌리벳 15년,더 글렌리벳 15년 싱글몰트 위스키,,False,106900,KR,코스트코,,2026-06-01,youtube_martweb,2026-06.csv,matched,
w002,글렌리벳 15년,더 글렌리벳 15년 싱글몰트 위스키,,False,106900,KR,코스트코,,2026-06-20,youtube_martweb,2026-06.csv,matched,
w002,글렌리벳 15년,더 글렌리벳 15년 싱글몰트 위스키,,False,106900,KR,코스트코,,2026-06-21,youtube_martweb,2026-06.csv,matched,
w002,글렌리벳 15년,더 글렌리벳 15년 싱글몰트 위스키,,False,106900,KR,코스트코,,2026-06-22,youtube_martweb,2026-06.csv,matched,
w002,글렌리벳 15년,더 글렌리벳 15년 싱글몰트 위스키,,False,106900,KR,코스트코,,2026-06-29,youtube_martweb,2026-06.csv,matched,
w002,글렌리벳 15년,더 글렌리벳 15년 싱글몰트 위스키,,False,106900,KR,코스트코,,2026-06-30,youtube_martweb,2026-06.csv,matched,
w002,글렌리벳 15년,더 글렌리벳 15년 싱글몰트 위스키,,False,106900,KR,코스트코,,2026-07-06,youtube_martweb,2026-07.csv,matched,
w002,글렌리벳 15년,더 글렌리벳 15년 싱글몰트 위스키,,False,106900,KR,코스트코,,2026-07-13,youtube_martweb,2026-07.csv,matched,
