수집일,위스키명,top_product_id,데일리샷상품명,seller_id,셀러명,업종,지역,가격_KRW,할인율,sales_count,vivino_score,review_count,국내위치,정확도
2026-06-26,1792 스몰배치,14532,1792 스몰 배치 700ml,36986,와인앤모어 학동역점,주류전문샵,서울 강남구,65500,0,,,2,트레이더스,정확
2026-06-26,가쿠빈,2981,산토리 가쿠빈,14600,CU 서초동아타워점,CU편의점,서울특별시 서초구,35800,20,"구매 7,300+",,3603,코스트코 / 트레이더스,근접
2026-06-26,가쿠빈,2981,산토리 가쿠빈,16362,리쿼하우스,주류전문샵,서울 강남구,37900,0,"구매 7,300+",,3603,코스트코 / 트레이더스,근접
2026-06-26,가쿠빈,2981,산토리 가쿠빈,49826,이마트24 강남더인피닛점,이마트24,서울특별시 서초구,35840,20,"구매 7,300+",,3603,코스트코 / 트레이더스,근접
2026-06-26,가쿠빈,2981,산토리 가쿠빈,38932,국밥쟁이 강남역점,픽업제휴,서울 서초구,37900,11,"구매 7,300+",,3603,코스트코 / 트레이더스,근접
2026-06-26,골든 블루 사피루스,24358,골든블루 더 사피루스 330ml,41431,참치집 진주초전점,픽업제휴,경남 진주시,25200,0,,,1,트레이더스,근접
2026-06-26,골든블루 다이아몬드,4975,골든블루 더 다이아몬드,46068,이마트24 역삼승리점,이마트24,서울특별시 강남구,57000,0,,,18,트레이더스,근접
2026-06-26,골든블루 다이아몬드,4975,골든블루 더 다이아몬드,41431,참치집 진주초전점,픽업제휴,경남 진주시,50200,0,,,18,트레이더스,근접
2026-06-26,골든블루 다이아몬드,4975,골든블루 더 다이아몬드,5364,CU 오벨리스크점,CU편의점,서울특별시 서초구,59000,0,,,18,트레이더스,근접
2026-06-26,골든블루 다이아몬드,4975,골든블루 더 다이아몬드,15038,보틀즈 논현,주류전문샵,서울 강남구,49000,0,,,18,트레이더스,근접
2026-06-26,글렌그란트 12년,3155,더 글렌그란트 12년,16362,리쿼하우스,주류전문샵,서울 강남구,59900,0,"구매 5,400+",,863,트레이더스,근접
2026-06-26,글렌그란트 12년,3155,더 글렌그란트 12년,34631,CU 강남푸르지오점,CU편의점,서울특별시 강남구,79000,27,"구매 5,400+",,863,트레이더스,근접
2026-06-26,글렌그란트 12년,3155,더 글렌그란트 12년,53934,나무소리,픽업제휴,경기 가평군,72000,33,"구매 5,400+",,863,트레이더스,근접
2026-06-26,글렌그란트 15년,4307,더 글렌그란트 15년 배치 스트렝스,34631,CU 강남푸르지오점,CU편의점,서울특별시 강남구,109000,31,"구매 5,400+",,707,트레이더스,근접
2026-06-26,글렌그란트 15년,4307,더 글렌그란트 15년 배치 스트렝스,38932,국밥쟁이 강남역점,픽업제휴,서울 서초구,142900,0,"구매 5,400+",,707,트레이더스,근접
2026-06-26,글렌그란트 15년,4307,더 글렌그란트 15년 배치 스트렝스,38330,CU 반포미도점,CU편의점,서울특별시 서초구,139000,0,"구매 5,400+",,707,트레이더스,근접
2026-06-26,글렌드로낙 12년,23310,더 글렌드로낙 12년,16362,리쿼하우스,주류전문샵,서울 강남구,77000,0,"구매 3,100+",,219,트레이더스,근접
2026-06-26,글렌드로낙 12년,23310,더 글렌드로낙 12년,38932,국밥쟁이 강남역점,픽업제휴,서울 서초구,101200,15,"구매 3,100+",,219,트레이더스,근접
2026-06-26,글렌리벳 12년,2330,더 글렌리벳 12년,16362,리쿼하우스,주류전문샵,서울 강남구,60900,0,구매 1만+,,1541,트레이더스,근접
2026-06-26,글렌리벳 12년,2330,더 글렌리벳 12년,14600,CU 서초동아타워점,CU편의점,서울특별시 서초구,71200,35,구매 1만+,,1541,트레이더스,근접
2026-06-26,글렌리벳 12년,2330,더 글렌리벳 12년,910,오향한방족발,픽업제휴,경기 수원시,78000,26,구매 1만+,,1541,트레이더스,근접
2026-06-26,글렌리벳 12년,2330,더 글렌리벳 12년,34631,CU 강남푸르지오점,CU편의점,서울특별시 강남구,109900,0,구매 1만+,,1541,트레이더스,근접
2026-06-26,글렌리벳 12년,2330,더 글렌리벳 12년,46068,이마트24 역삼승리점,이마트24,서울특별시 강남구,109000,0,구매 1만+,,1541,트레이더스,근접
