술이름,기준가_HKD,정가_HKD,환율_HKDKRW,기준가_KRW,반입추정가_KRW_관세20,반입추정가_KRW_FTA0,재고,출처,가져온날짜,URL,비고
"Adelphi Selection - Linkwood 14y, 2008, 1st Fill Olo Sherry HHD, 50.9%, 267b",1460.0,,197.261865,288002,735995,613329,Y,Caskells(Shopify products.json),2026-06-07,https://www.caskells.com/products/adelphi-selection-linkwood-14y-2008-50-9-b,
"Macallan - Rare Cask, 2024 Release, 43%",2788.0,,197.261865,549966,1405449,1171208,Y,Caskells(Shopify products.json),2026-06-07,https://www.caskells.com/products/macallan-rare-cask-2024-release-43,
"Macallan - A Night On Earth in JEREZ, 2024 Release, 43%",968.0,,197.261865,190949,487974,406645,Y,Caskells(Shopify products.json),2026-06-07,https://www.caskells.com/products/macallan-a-night-on-earth-in-scotland-2024-release-43,
"Ardbeg - 19y, 46.2%",2880.0,,197.261865,568114,1451827,1209856,Y,Caskells(Shopify products.json),2026-06-07,https://www.caskells.com/products/ardbeg-19y-v6-46-2,
"The First Editions Authors' Series - Littlemill 30y, 1990, 47.8%, 263b",13800.0,,197.261865,2722214,6956672,5797227,Y,Caskells(Shopify products.json),2026-06-07,https://www.caskells.com/products/authors-series-littlemill-30y-1990-47-8-263b,
"Balvenie - 16y, French Oak, 47.6%",1560.0,,197.261865,307729,786408,655340,Y,Caskells(Shopify products.json),2026-06-07,https://www.caskells.com/products/balvenie-16y-french-oak-47-6,
"Berry's - Craigellachie 13y, 2000, 46%",980.0,,197.261865,193317,494025,411688,Y,Caskells(Shopify products.json),2026-06-07,https://www.caskells.com/products/berry-0010,
"Drunken Master - WHITE CAT Secret Speyside, 19y, 44.8%, 300b, Blended Malt (Macallan Sherry+Highland Park)",2400.0,,197.261865,473428,1209855,1008212,N,Caskells(Shopify products.json),2026-06-07,https://www.caskells.com/products/drunken-master-secret-speyside-sherry-cask-blended-whisky-19y-44-8-300b,재고없음
"Macallan - Classic Cut, 2023 Release, 50.3%",1200.0,,197.261865,236714,604927,504106,Y,Caskells(Shopify products.json),2026-06-07,https://www.caskells.com/products/macallan-classic-cut-2023-release-50-3,
"Macallan - Sherry Oak, 30y, 2023 release, 43%",42800.0,,197.261865,8442808,21575765,17979804,Y,Caskells(Shopify products.json),2026-06-07,https://www.caskells.com/products/macallan-sherry-oak-30y-2023-release-43,
