위스키명,브랜드,구매가능,신라면세_USD,신라면세_KRW_1500,심리구간,코스트코최저_KRW,코스트코매칭상품,신라-코스트코_차이,종합매력도,피트분류,상품URL
엘리먼츠오브아일라 아이러브아일라 500ml,엘리먼츠 오브 아일라,Y,33.63,50445,①10만이하,,,,37.7,A,https://www.shilladfs.com/estore/kr/ko/p/5372476
컴파스 박스 Peat Monster 700ml,컴파스 박스,Y,33.88,50820,①10만이하,,,,39.5,A,https://www.shilladfs.com/estore/kr/ko/p/5229030
더 아일라 보이즈 베어렉스 배틀 엑스 아일라 700ml,더 아일라 보이즈,Y,35.1,52650,①10만이하,,,,37.9,A,https://www.shilladfs.com/estore/kr/ko/p/5232740
보모어 11년 700ml,보모어,Y,38.5,57750,①10만이하,,,,42.3,A,https://www.shilladfs.com/estore/kr/ko/p/5833044
밀크앤허니 엘리먼츠 피티드 캐스크 700ml,밀크앤허니,Y,40.95,61425,①10만이하,,,,38.4,A,https://www.shilladfs.com/estore/kr/ko/p/5248992
라프로익 12년 700ml,라프로익,Y,42.0,63000,①10만이하,,,,45.0,A,https://www.shilladfs.com/estore/kr/ko/p/5917035
폴 존 피티드 1000ml,폴 존,Y,43.0,64500,①10만이하,,,,40.7,A,https://www.shilladfs.com/estore/kr/ko/p/5311922
엘리먼츠오브아일라 버번캐스크 700ml,엘리먼츠 오브 아일라,Y,46.87,70305,①10만이하,,,,38.1,A,https://www.shilladfs.com/estore/kr/ko/p/5372478
히노토리 골드오락(그랜다이저) 피트 위스키 700ml,히노토리,Y,47.25,70875,①10만이하,,,,40.3,A,https://www.shilladfs.com/estore/kr/ko/p/5392882
보모어 14년 700ml,보모어,Y,47.6,71400,①10만이하,,,,48.9,A,https://www.shilladfs.com/estore/kr/ko/p/5524536
암룻 PEATED CASK STRENGTH 700ml,암룻,Y,54.72,82080,①10만이하,,,,51.0,A,https://www.shilladfs.com/estore/kr/ko/p/5337845
시크릿 스페이사이드 Caperdonich 18년 Peated 700ml,글렌리벳,Y,63.7,95550,①10만이하,,,,50.9,A,https://www.shilladfs.com/estore/kr/ko/p/5065829
아드벡 언 오 1000ml,아드벡,Y,65.6,98400,①10만이하,,,,31.0,A,https://www.shilladfs.com/estore/kr/ko/p/5388184
라프로익 레거시 에디션 700ml,라프로익,Y,65.7,98550,①10만이하,,,,44.2,A,https://www.shilladfs.com/estore/kr/ko/p/3612827
벤리악 Quarter Cask Peated 1000ml,벤리악,Y,66.5,99750,①10만이하,,,,14.1,A,https://www.shilladfs.com/estore/kr/ko/p/5303575
더글라스랭 BIG PEAT 12년 700ml,더글라스랭,Y,70.3,105450,②10~20만,,,,19.1,A,https://www.shilladfs.com/estore/kr/ko/p/5228863
엘리먼츠오브아일라 캐스크에디션 700ml,엘리먼츠 오브 아일라,Y,71.1,106650,②10~20만,,,,16.4,A,https://www.shilladfs.com/estore/kr/ko/p/5372477
암룻 PEATED 700ml,암룻,Y,75.05,112575,②10~20만,,,,12.1,A,https://www.shilladfs.com/estore/kr/ko/p/5337847
마츠이 피트 700ml,마츠이,Y,76.0,114000,②10~20만,,,,27.4,A,https://www.shilladfs.com/estore/kr/ko/p/5157351
보모어 16년 700ml,보모어,Y,77.0,115500,②10~20만,,,,51.9,A,https://www.shilladfs.com/estore/kr/ko/p/5524532
라프로익 포오크 2023 1000ml,라프로익,Y,77.9,116850,②10~20만,,,,24.9,A,https://www.shilladfs.com/estore/kr/ko/p/5368246
탈리스커 10년 1L ,탈리스커,Y,80.75,121125,②10~20만,,,,22.3,B,https://www.shilladfs.com/estore/kr/ko/p/5604485
턴테이블 스모킨 리프 700ml,턴테이블,Y,84.6,126900,②10~20만,,,,15.2,A,https://www.shilladfs.com/estore/kr/ko/p/5408660
쿨일라 12년 750ml,쿨일라,Y,97.85,146775,②10~20만,,,,21.0,A,https://www.shilladfs.com/estore/kr/ko/p/5082284
브룩라디 Port Charlotte 10년 1000ml,브룩라디,Y,109.25,163875,②10~20만,,,,34.5,A,https://www.shilladfs.com/estore/kr/ko/p/5208379
라프로익 PX Cask 1000ml,라프로익,Y,114.0,171000,②10~20만,,,,20.3,A,https://www.shilladfs.com/estore/kr/ko/p/3333183
탈리스커 써지 700ml,탈리스커,Y,116.85,175275,②10~20만,,,,16.2,B,https://www.shilladfs.com/estore/kr/ko/p/5185537
탈리스커 다크 스톰 1000ml,탈리스커,Y,120.65,180975,②10~20만,,,,16.5,B,https://www.shilladfs.com/estore/kr/ko/p/5070436
보모어 19년 700ml,보모어,Y,142.8,214200,③20~30만,,,,52.4,A,https://www.shilladfs.com/estore/kr/ko/p/5524533
발베니 Balvenie 19년 Week of Peat 700ml,발베니,Y,166.95,250425,③20~30만,,,,56.6,A,https://www.shilladfs.com/estore/kr/ko/p/5108417
브룩라디 옥토모어 15.1 700ml,브룩라디,Y,167.0,250500,③20~30만,,,,23.5,A,https://www.shilladfs.com/estore/kr/ko/p/5611045
옥토모어 16.1 700ml,브룩라디,Y,167.0,250500,③20~30만,,,,21.9,A,https://www.shilladfs.com/estore/kr/ko/p/5900472
라프로익 포트우드 2023 700ml,라프로익,Y,167.2,250800,③20~30만,,,,17.5,A,https://www.shilladfs.com/estore/kr/ko/p/5298064
로얄살루트 21년 Peated Blend 700ml,로얄살루트,Y,190.0,285000,③20~30만,,,,28.4,A,https://www.shilladfs.com/estore/kr/ko/p/5081231
옥토모어 14.2 700ml,브룩라디,Y,190.0,285000,③20~30만,,,,20.6,A,https://www.shilladfs.com/estore/kr/ko/p/5900470
옥토모어 16.2 700ml,브룩라디,Y,190.0,285000,③20~30만,,,,19.8,A,https://www.shilladfs.com/estore/kr/ko/p/5934208
시그나토리 쿨일라 2007 캐스크 스트렝스 17년 #3 700ml,시그나토리 빈티지,Y,224.0,336000,④30만초과,,,,59.0,A,https://www.shilladfs.com/estore/kr/ko/p/5895329
옥토모어 16.3 700ml,브룩라디,Y,230.0,345000,④30만초과,,,,32.0,A,https://www.shilladfs.com/estore/kr/ko/p/5934209
옥토모어 14.3 700ml,브룩라디,Y,230.0,345000,④30만초과,,,,22.5,A,https://www.shilladfs.com/estore/kr/ko/p/5900471
PAUL JOHN PEATED 올로로소 700ml,폴 존,Y,261.25,391875,④30만초과,,,,13.0,A,https://www.shilladfs.com/estore/kr/ko/p/5461900
시크릿 스페이사이드 Caperdonich 21년 Peated 700ml,글렌리벳,Y,275.5,413250,④30만초과,,,,24.0,A,https://www.shilladfs.com/estore/kr/ko/p/5065826
보모어 22년 700ml,보모어,Y,279.3,418950,④30만초과,,,,54.3,A,https://www.shilladfs.com/estore/kr/ko/p/5524534
보모어 24년 프랭크 콰이어틀리 4 700ml,보모어,Y,295.8,443700,④30만초과,,,,67.9,A,https://www.shilladfs.com/estore/kr/ko/p/5489102
보모어 타임리스 33년 700ml,보모어,Y,1484.0,2226000,④30만초과,,,,82.9,A,https://www.shilladfs.com/estore/kr/ko/p/5265734
보모어 30년 700ml,보모어,Y,1495.2,2242800,④30만초과,,,,76.9,A,https://www.shilladfs.com/estore/kr/ko/p/5298204
보모어 34년 프랭크 콰이어틀리 4 700ml,보모어,Y,2090.0,3135000,④30만초과,,,,84.0,A,https://www.shilladfs.com/estore/kr/ko/p/5489103
보모어 36년 FQ 2023 700ml,보모어,Y,2200.0,3300000,④30만초과,,,,76.5,A,https://www.shilladfs.com/estore/kr/ko/p/5221776
로얄살루트 62년 건 살루트 컬렉션 더 피티드 리저브 700ml,로얄살루트,Y,2340.8,3511200,④30만초과,,,,71.5,A,https://www.shilladfs.com/estore/kr/ko/p/5739770
아드벡 10년 1000ml,아드벡,N,54.0,81000,①10만이하,,,,,A,https://www.shilladfs.com/estore/kr/ko/p/5070389
보모어 10년 다크앤인텐스 1000ml,보모어,N,62.1,93150,①10만이하,,,,,A,https://www.shilladfs.com/estore/kr/ko/p/3331486
아드벡 우거다일 700ml,아드벡,N,68.25,102375,②10~20만,,,,,A,https://www.shilladfs.com/estore/kr/ko/p/5713333
아드벡 스모크트레일즈 배치3 1000ml,아드벡,N,71.25,106875,②10~20만,,,,,A,https://www.shilladfs.com/estore/kr/ko/p/5867964
아드벡 코리브레칸 700ml,아드벡,N,83.25,124875,②10~20만,,,,,A,https://www.shilladfs.com/estore/kr/ko/p/5786504
라가불린 10년 700ml,라가불린,N,86.45,129675,②10~20만,,,,,A,https://www.shilladfs.com/estore/kr/ko/p/5704238
보모어 15년 골든앤엘레강트 1000ml,보모어,N,99.75,149625,②10~20만,,,,,A,https://www.shilladfs.com/estore/kr/ko/p/5166833
엘리먼츠오브아일라 쉐리캐스크 700ml,엘리먼츠 오브 아일라,N,107.1,160650,②10~20만,,,,,A,https://www.shilladfs.com/estore/kr/ko/p/5372479
라가불린 16년 700ml,라가불린,N,115.9,173850,②10~20만,,,,,A,https://www.shilladfs.com/estore/kr/ko/p/5932287
라가불린 16년 700ml,라가불린,N,115.9,173850,②10~20만,,,,,A,https://www.shilladfs.com/estore/kr/ko/p/5358630
탈리스커 SR FY24 700ml (2023 Special Release),탈리스커,N,136.8,205200,③20~30만,,,,,B,https://www.shilladfs.com/estore/kr/ko/p/5420586
브룩라디 옥토모어 14.1 700ml,브룩라디,N,163.0,244500,③20~30만,,,,,A,https://www.shilladfs.com/estore/kr/ko/p/5310713
고든앤맥패일 코노세어초이스 쿨일라 사시까이아 2010 12년 700ml,고든 앤 맥패일,N,194.75,292125,③20~30만,,,,,A,https://www.shilladfs.com/estore/kr/ko/p/5677233
고든앤맥패일 코노세어초이스 쿨일라 2006 17년 700ml,고든 앤 맥패일,N,216.0,324000,④30만초과,,,,,A,https://www.shilladfs.com/estore/kr/ko/p/5677236
보모어 25년 700ml,보모어,N,476.0,714000,④30만초과,,,,,A,https://www.shilladfs.com/estore/kr/ko/p/5221773
라프로익 33년 스트롱캐릭터즈 700ml,라프로익,N,626.4,939600,④30만초과,,,,,A,https://www.shilladfs.com/estore/kr/ko/p/5513344
