순위,위스키명,브랜드,구매가능,재고,할인가_USD,정상가_USD,할인율_%,누적판매,리뷰수,가격메리트,희소성,수요,매력도,매력근거,스타일분류,스타일근거,소분류,상품코드,SKU,상품URL
1,에반 윌리엄스 싱글 배럴 750ml,신세계 L&B,Y,6,31.11,61.0,49.0,57,0,88.9,24.0,54.8,57.8,"할인49%, 절감$30, 한정/특별",A,브랜드:에반 윌리엄스,1211:블렌디드 위스키,5290609,115331000190,https://www.shilladfs.com/estore/kr/ko/p/5290609
2,짐빔 싱글 배럴  750ml,짐빔,Y,6,21.15,47.0,55.0,72,0,86.3,24.0,57.9,57.1,"할인55%, 절감$26, 한정/특별",A,브랜드:짐빔,1211:블렌디드 위스키,5303267,109831000018,https://www.shilladfs.com/estore/kr/ko/p/5303267
3,버팔로 트레이스 이글레어 10년 버번 위스키 750ml,버팔로 트레이스,Y,6,33.06,58.0,43.0,407,0,85.7,12.0,81.2,55.6,"할인43%, 절감$25, 10년, 판매多",A,브랜드:버팔로 트레이스; 키워드:버번,1211:블렌디드 위스키,5474380,258231000009,https://www.shilladfs.com/estore/kr/ko/p/5474380
4,타운브랜치 트루 케스크 버번 750ml,타운브랜치,Y,2,46.9,67.0,30.0,40,0,82.7,26.7,50.2,55.4,"할인30%, 절감$20, 재고2병",A,키워드:버번,1211:블렌디드 위스키,5219706,262731000003,https://www.shilladfs.com/estore/kr/ko/p/5219706
5,잭다니엘 골드 700ml,잭다니엘,Y,6,51.48,99.0,48.0,92,0,100.0,0.0,61.2,54.2,"할인48%, 절감$48",A,브랜드:잭다니엘,1211:블렌디드 위스키,3331541,114931000007,https://www.shilladfs.com/estore/kr/ko/p/3331541
6,웰러 스페셜 리저브 750ml,버팔로 트레이스,Y,6,57.6,96.0,40.0,87,0,94.2,0.0,60.5,51.5,"할인40%, 절감$38",A,브랜드:버팔로 트레이스,1211:블렌디드 위스키,5676433,258231000022,https://www.shilladfs.com/estore/kr/ko/p/5676433
7,와일드터키 켄터키 스피릿 1L,와일드터키,Y,6,40.7,74.0,45.0,159,0,91.0,0.0,68.5,51.2,"할인45%, 절감$33, 판매多",A,브랜드:와일드터키,1211:블렌디드 위스키,5408280,257231000005,https://www.shilladfs.com/estore/kr/ko/p/5408280
8,러셀 리저브 라이 6년 750ml,와일드터키,Y,6,30.74,58.0,47.0,66,0,87.2,7.2,56.8,50.6,"할인47%, 절감$27, 6년",A,브랜드:와일드터키,1211:블렌디드 위스키,5789382,257231000010,https://www.shilladfs.com/estore/kr/ko/p/5789382
9,와일드터키 101 1000ml,와일드터키,Y,6,26.4,48.0,45.0,404,3,83.6,0.0,81.2,49.8,"할인45%, 절감$22, 판매多",A,브랜드:와일드터키,1211:블렌디드 위스키,5173368,257231000002,https://www.shilladfs.com/estore/kr/ko/p/5173368
10,짐빔 리젠트 버번 700ml,짐빔,Y,6,31.5,70.0,55.0,30,0,94.3,0.0,46.4,49.4,"할인55%, 절감$38",A,브랜드:짐빔; 키워드:버번,1211:블렌디드 위스키,5264871,109831000031,https://www.shilladfs.com/estore/kr/ko/p/5264871
11,짐빔 바질 하이든 700ml,짐빔,Y,6,26.1,58.0,55.0,75,0,90.1,0.0,58.5,49.3,"할인55%, 절감$32",A,브랜드:짐빔,1211:블렌디드 위스키,5169530,109831000019,https://www.shilladfs.com/estore/kr/ko/p/5169530
12,와일드터키 LONGBRANCH 1000ml,와일드터키,Y,6,31.9,58.0,45.0,134,2,86.5,0.0,66.4,48.9,"할인45%, 절감$26, 판매多",A,브랜드:와일드터키,1211:블렌디드 위스키,5173188,257231000001,https://www.shilladfs.com/estore/kr/ko/p/5173188
13,"웰러SR, 버팔로트레이스 듀오팩 (375ml X 2)",버팔로 트레이스,Y,6,42.92,74.0,42.0,55,0,89.6,0.0,54.4,48.5,"할인42%, 절감$31",A,브랜드:버팔로 트레이스,1211:블렌디드 위스키,5762840,258231000025,https://www.shilladfs.com/estore/kr/ko/p/5762840
14,사제락 라이 위스키 750ml,버팔로 트레이스,Y,6,22.54,46.0,51.0,89,0,84.8,0.0,60.8,47.3,"할인51%, 절감$23",A,브랜드:버팔로 트레이스; 키워드:라이 위스키,1211:블렌디드 위스키,5310162,258231000001,https://www.shilladfs.com/estore/kr/ko/p/5310162
15,짐빔 화이트 1000ml,짐빔,Y,6,11.88,27.0,56.0,263,6,79.5,0.0,75.6,47.1,"할인56%, 절감$15, 판매多",A,브랜드:짐빔,1211:블렌디드 위스키,5070546,109831000008,https://www.shilladfs.com/estore/kr/ko/p/5070546
16,잭다니엘 블랙 맥라렌 에디션 1000ml,잭다니엘,Y,6,21.84,42.0,48.0,103,0,82.7,0.0,62.7,46.6,"할인48%, 절감$20, 판매多",A,브랜드:잭다니엘,1211:블렌디드 위스키,5334658,114931000048,https://www.shilladfs.com/estore/kr/ko/p/5334658
17,헤븐스도어 Straight Bourbon Whiskey 750ml,헤븐스도어,Y,6,27.6,60.0,54.0,16,0,90.5,0.0,38.3,46.4,"할인54%, 절감$32",A,키워드:bourbon,1211:블렌디드 위스키,5284791,270331000001,https://www.shilladfs.com/estore/kr/ko/p/5284791
18,켄터키아울 더 와이즈맨 스트라이트 버번 위스키 700ml,켄터키아울,Y,6,34.08,71.0,52.0,8,0,93.3,0.0,29.7,46.4,"할인52%, 절감$37",A,키워드:버번,1211:블렌디드 위스키,5249134,258131000006,https://www.shilladfs.com/estore/kr/ko/p/5249134
19,와일드터키101 라이 1000ml,와일드터키,Y,6,21.16,46.0,54.0,44,0,85.7,0.0,51.4,46.3,"할인54%, 절감$25",A,브랜드:와일드터키,1211:블렌디드 위스키,5690489,257231000009,https://www.shilladfs.com/estore/kr/ko/p/5690489
20,윌더니스 트레일 켄터키 스트레이트 하이 라이 버번 750ml,WILDERNESS TRAIL,Y,6,24.75,55.0,55.0,9,0,89.1,0.0,31.1,44.8,"할인55%, 절감$30",A,키워드:버번,1211:블렌디드 위스키,5690486,256731000009,https://www.shilladfs.com/estore/kr/ko/p/5690486
21,윌더니스 트레일 켄터키 스트레이트 휘티드 버번 750ml,WILDERNESS TRAIL,Y,6,23.0,50.0,54.0,11,0,87.0,0.0,33.6,44.2,"할인54%, 절감$27",A,키워드:버번,1211:블렌디드 위스키,5690487,256731000010,https://www.shilladfs.com/estore/kr/ko/p/5690487
22,웰러 스페셜 리저브 375ml,버팔로 트레이스,Y,6,28.8,48.0,40.0,25,0,82.1,0.0,44.0,43.6,"할인40%, 절감$19",A,브랜드:버팔로 트레이스,1211:블렌디드 위스키,5898263,258231000027,https://www.shilladfs.com/estore/kr/ko/p/5898263
23,잭다니엘 Black Label Tin 1000ml,잭다니엘,Y,6,21.0,35.0,40.0,21,0,78.8,0.0,41.7,41.7,"할인40%, 절감$14",A,브랜드:잭다니엘,1211:블렌디드 위스키,5303971,114931000046,https://www.shilladfs.com/estore/kr/ko/p/5303971
24,메이커스마크 할리데이 에디션 1000ml,메이커스마크,Y,6,36.4,56.0,35.0,1,0,82.4,0.0,9.4,38.5,"할인35%, 절감$20",A,브랜드:메이커스마크,1211:블렌디드 위스키,5809826,109831000037,https://www.shilladfs.com/estore/kr/ko/p/5809826
25,잭다니엘 싱글배럴 100프루프 700ml,잭다니엘,Y,6,64.6,68.0,5.0,479,0,13.8,24.0,83.4,28.3,"할인5%, 절감$3, 한정/특별, 판매多",A,브랜드:잭다니엘,1211:블렌디드 위스키,5429236,114931000058,https://www.shilladfs.com/estore/kr/ko/p/5429236
26,페넬로페 프로젝트 X 메이플 브륄레 750ml,페닐로페,Y,6,75.65,89.0,15.0,54,0,43.4,0.0,54.1,27.7,"할인15%, 절감$13",A,브랜드:메이플,1220:싱글몰트 위스키,5916221,287531000014,https://www.shilladfs.com/estore/kr/ko/p/5916221
27,와일드 터키 레어브리드 1000ml,와일드터키,Y,6,56.7,63.0,10.0,1334,4,27.3,0.0,97.2,26.9,"할인10%, 절감$6, 판매多",A,브랜드:와일드터키,1211:블렌디드 위스키,5331751,257231000004,https://www.shilladfs.com/estore/kr/ko/p/5331751
28,사가모어 Rye Whiskey 750ml,사가모어,Y,6,55.25,65.0,15.0,31,0,41.2,0.0,46.8,25.5,"할인15%, 절감$10",A,키워드:rye whiskey,1211:블렌디드 위스키,5285450,270431000001,https://www.shilladfs.com/estore/kr/ko/p/5285450
29,뉴리프 싱글배럴 버번 750ml,뉴리프,Y,6,83.6,88.0,5.0,50,0,14.4,24.0,53.1,24.1,"할인5%, 절감$4, 한정/특별",A,키워드:버번,1211:블렌디드 위스키,5917130,295531000004,https://www.shilladfs.com/estore/kr/ko/p/5917130
30,우드포드 리저브 더블 오크 1000ml,우드포드 리저브,Y,6,71.25,75.0,5.0,1635,8,14.0,0.0,100.0,21.3,"할인5%, 절감$4, 판매多",A,브랜드:우드포드,1211:블렌디드 위스키,5088299,114931000024,https://www.shilladfs.com/estore/kr/ko/p/5088299
31,우드포드 리저브 Double XO 700ml,우드포드 리저브,Y,6,166.25,175.0,5.0,558,2,17.2,0.0,85.5,20.6,"할인5%, 절감$9, 판매多",A,브랜드:우드포드,1211:블렌디드 위스키,5251910,114931000045,https://www.shilladfs.com/estore/kr/ko/p/5251910
32,잭다니엘 시나트라 셀렉트 1000ml,잭다니엘,Y,5,161.5,170.0,5.0,136,1,17.0,6.7,66.5,20.3,"할인5%, 절감$8, 판매多",A,브랜드:잭다니엘,1211:Blended Whisky,5070944,114931000006,https://www.shilladfs.com/estore/kr/ko/p/5070944
33,잭다니엘 젠틀맨 잭 200ml,잭다니엘,Y,6,13.5,15.0,10.0,73,0,24.3,0.0,58.1,19.6,"할인10%, 절감$2",A,브랜드:잭다니엘,1211:블렌디드 위스키,5088301,114931000030,https://www.shilladfs.com/estore/kr/ko/p/5088301
34,우드포드 리저브 디스틸러 셀렉트 1000ml,우드포드 리저브,Y,6,47.5,50.0,5.0,581,1,13.2,0.0,86.0,18.9,"할인5%, 절감$2, 판매多",A,브랜드:우드포드,1211:블렌디드 위스키,5070939,114931000004,https://www.shilladfs.com/estore/kr/ko/p/5070939
35,잭다니엘 블랙라벨 1000ml,잭다니엘,Y,6,33.25,35.0,5.0,663,9,12.8,0.0,87.9,18.9,"할인5%, 절감$2, 판매多",A,브랜드:잭다니엘,1211:블렌디드 위스키,5070932,114931000001,https://www.shilladfs.com/estore/kr/ko/p/5070932
36,짐빔 블랙 1000ml,짐빔,Y,5,37.05,39.0,5.0,159,0,12.9,6.7,68.5,18.8,"할인5%, 절감$2, 판매多",A,브랜드:짐빔,1211:블렌디드 위스키,5070542,109831000003,https://www.shilladfs.com/estore/kr/ko/p/5070542
37,메이커스 마크 케스크 스트랭스 700ml,메이커스마크,Y,6,83.6,88.0,5.0,420,0,14.4,0.0,81.6,18.7,"할인5%, 절감$4, 판매多",A,브랜드:메이커스 마크,1211:블렌디드 위스키,5125106,109831000025,https://www.shilladfs.com/estore/kr/ko/p/5125106
38,메이커스 마크 1000ml,메이커스마크,Y,6,53.2,56.0,5.0,523,3,13.4,0.0,84.6,18.7,"할인5%, 절감$3, 판매多",A,브랜드:메이커스 마크,1211:블렌디드 위스키,5070543,109831000005,https://www.shilladfs.com/estore/kr/ko/p/5070543
39,잭다니엘 Tennessee Apple 1000ml,잭다니엘,Y,6,33.25,35.0,5.0,531,14,12.8,0.0,85.1,18.5,"할인5%, 절감$2, 판매多",A,브랜드:잭다니엘; 키워드:tennessee,1211:블렌디드 위스키,5303578,114931000044,https://www.shilladfs.com/estore/kr/ko/p/5303578
40,버팔로 트레이스 버번 위스키 1000ml,버팔로 트레이스,Y,6,28.5,30.0,5.0,471,1,12.6,0.0,83.2,18.2,"할인5%, 절감$2, 판매多",A,브랜드:버팔로 트레이스; 키워드:버번,1211:블렌디드 위스키,5310223,258231000003,https://www.shilladfs.com/estore/kr/ko/p/5310223
