video_id,t_sec,hhmmss,path,mean_diff,n_frames
mBH4Xqtr1YU,7.0,000007,mBH4Xqtr1YU_000007.jpg,1.454,3
mBH4Xqtr1YU,8.4,000008,mBH4Xqtr1YU_000008.jpg,2.004,3
mBH4Xqtr1YU,9.2,000009,mBH4Xqtr1YU_000009.jpg,2.848,2
mBH4Xqtr1YU,11.8,000012,mBH4Xqtr1YU_000012.jpg,2.527,2
mBH4Xqtr1YU,14.0,000014,mBH4Xqtr1YU_000014.jpg,0.72,7
mBH4Xqtr1YU,15.6,000016,mBH4Xqtr1YU_000016.jpg,0.0,6
mBH4Xqtr1YU,17.6,000018,mBH4Xqtr1YU_000018.jpg,2.634,2
mBH4Xqtr1YU,19.4,000019,mBH4Xqtr1YU_000019.jpg,2.461,14
mBH4Xqtr1YU,24.6,000025,mBH4Xqtr1YU_000025.jpg,1.801,25
mBH4Xqtr1YU,30.6,000031,mBH4Xqtr1YU_000031.jpg,2.228,25
mBH4Xqtr1YU,36.6,000037,mBH4Xqtr1YU_000037.jpg,1.703,25
mBH4Xqtr1YU,41.6,000042,mBH4Xqtr1YU_000042.jpg,1.632,14
mBH4Xqtr1YU,43.6,000044,mBH4Xqtr1YU_000044.jpg,2.737,2
mBH4Xqtr1YU,44.6,000045,mBH4Xqtr1YU_000045.jpg,2.818,2
mBH4Xqtr1YU,48.6,000049,mBH4Xqtr1YU_000049.jpg,1.271,25
mBH4Xqtr1YU,54.6,000055,mBH4Xqtr1YU_000055.jpg,1.699,25
mBH4Xqtr1YU,60.6,000101,mBH4Xqtr1YU_000101.jpg,1.461,25
mBH4Xqtr1YU,66.6,000107,mBH4Xqtr1YU_000107.jpg,1.171,25
mBH4Xqtr1YU,72.6,000113,mBH4Xqtr1YU_000113.jpg,1.977,25
mBH4Xqtr1YU,78.6,000119,mBH4Xqtr1YU_000119.jpg,0.694,25
mBH4Xqtr1YU,82.6,000123,mBH4Xqtr1YU_000123.jpg,1.711,5
mBH4Xqtr1YU,85.2,000125,mBH4Xqtr1YU_000125.jpg,2.426,20
mBH4Xqtr1YU,90.6,000131,mBH4Xqtr1YU_000131.jpg,1.843,25
mBH4Xqtr1YU,96.6,000137,mBH4Xqtr1YU_000137.jpg,1.467,25
