술이름,기준가_JPY,정가_JPY,환율_1JPY_KRW,기준가_KRW,한국반입추정가_KRW,반입배수,재고,출처,가져온날짜,URL,비고
OHTANI WHISKY zodiac sign No.2 Capricorn,10912,,9.461918,103248,263852,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-05-31,https://www.syurui.co.jp/products/1057,
シングルモルト ジャパニーズ ウイスキー Kuju THE FIRST,16031,,9.461918,151684,387631,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-05-31,https://www.syurui.co.jp/products/0622,
シングルモルト ジャパニーズ ウイスキー Kuju sora,13514,,9.461918,127868,326769,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-05-31,https://www.syurui.co.jp/products/0635,
小正 嘉之助 ダブルディスティラリー53%,13745,,9.461918,130054,332356,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-05-31,https://www.syurui.co.jp/products/0732,
小正 シングルモルト 嘉之助 ピーテッド 48%,10011,,9.461918,94723,242067,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-05-31,https://www.syurui.co.jp/products/0684,
小正 シングルモルト 嘉之助 48%,9503,,9.461918,89917,229785,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-05-31,https://www.syurui.co.jp/products/0641,
バランタイン ファイネスト ECタイプ,1350,,9.461918,12774,32644,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-05-31,https://www.syurui.co.jp/products/0114,
クライヌリッシュ 14年,6791,,9.461918,64256,164207,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-05-31,https://www.syurui.co.jp/products/0118,
バランタイン 21年,14045,,9.461918,132893,339611,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-05-31,https://www.syurui.co.jp/products/0194,
ジョニー ウォーカー 黒ラベル 12年 1000ml,3555,,9.461918,33637,85960,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-05-31,https://www.syurui.co.jp/products/0234,
ジョニー ウォーカー 黒ラベル 12年 700ml,2978,,9.461918,28178,72009,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-05-31,https://www.syurui.co.jp/products/0310,
バランタイン 30年,41003,,9.461918,387967,991457,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-05-31,https://www.syurui.co.jp/products/0370,
ザ バルヴェニー ダブルウッド 12年,9040,,9.461918,85536,218589,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-05-31,https://www.syurui.co.jp/products/0480,
ワイルドターキー スタンダード 1000ml,2361,,9.461918,22340,57090,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-05-31,https://www.syurui.co.jp/products/0505,
オールド グランダッド 80 750ml,2468,,9.461918,23352,59677,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-05-31,https://www.syurui.co.jp/products/0560,
ブッシュミルズ シングルモルト 10年,4894,,9.461918,46307,118338,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-05-31,https://www.syurui.co.jp/products/0806,
オールドパー18年,11536,,9.461918,109153,278943,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-05-31,https://www.syurui.co.jp/products/0882,
アランバレルリザーブ,4400,,9.461918,41632,106391,2.5555,Y,酒類ドットコム(syurui)(Shopify products.json),2026-05-31,https://www.syurui.co.jp/products/1280,
