순위,위스키명,브랜드,구매가능,재고,할인가_USD,정상가_USD,할인율_%,누적판매,리뷰수,가격메리트,희소성,수요,매력도,매력근거,스타일분류,스타일근거,소분류,상품코드,SKU,상품URL
1,글렌파클라스 35년 700ml,글렌파클라스,Y,6,901.82,1346.0,33.0,56,0,100.0,36.0,47.2,66.5,"할인33%, 절감$444, 35년",A,셰리밤증류소:글렌파클라스,1220:싱글몰트 위스키,5226627,265931000006,https://www.shilladfs.com/estore/kr/ko/p/5226627
2,글렌알라키 2007 17년 올로로소 쉐리 펀천 싱글캐스크#2777 700ml,글렌알라키,Y,6,207.7,335.0,38.0,407,2,78.6,44.4,70.3,63.7,"할인38%, 절감$127, 17년, 한정/특별, 판매多",A,셰리밤증류소:글렌알라키; 키워드:쉐리,1220:싱글몰트 위스키,5818667,265631000019,https://www.shilladfs.com/estore/kr/ko/p/5818667
3,발베니 Balvenie 18년 Sherry Cask 700ml,발베니,Y,6,146.81,277.0,47.0,5183,35,78.8,21.6,100.0,59.1,"할인47%, 절감$130, 18년, 판매多",A,키워드:sherry,1220:싱글몰트 위스키,5108210,112231000026,https://www.shilladfs.com/estore/kr/ko/p/5108210
4,글렌파클라스 25년 700ml,글렌파클라스,Y,6,226.8,378.0,40.0,431,0,80.2,30.0,70.9,58.7,"할인40%, 절감$151, 25년, 판매多",A,셰리밤증류소:글렌파클라스,1220:싱글몰트 위스키,5226626,265931000005,https://www.shilladfs.com/estore/kr/ko/p/5226626
5,글렌알라키 싱글캐스크 19Y 쉐리 벗 #901028 700ml,글렌알라키,Y,6,285.2,460.0,38.0,366,1,81.8,24.0,69.0,56.8,"할인38%, 절감$175, 한정/특별, 판매多",A,셰리밤증류소:글렌알라키; 키워드:쉐리,1220:싱글몰트 위스키,5818666,265631000020,https://www.shilladfs.com/estore/kr/ko/p/5818666
6,글렌알라키 15년 (24RB) 700ml,글렌알라키,Y,6,81.12,169.0,52.0,2086,6,75.9,18.0,89.3,54.8,"할인52%, 절감$88, 15년, 판매多",A,셰리밤증류소:글렌알라키,1220:싱글몰트 위스키,5463432,265631000010,https://www.shilladfs.com/estore/kr/ko/p/5463432
7,글렌파클라스 15년 700ml,글렌파클라스,Y,6,67.5,135.0,50.0,528,0,74.6,18.0,73.3,51.7,"할인50%, 절감$68, 15년, 판매多",A,셰리밤증류소:글렌파클라스,1220:싱글몰트 위스키,5226623,265931000004,https://www.shilladfs.com/estore/kr/ko/p/5226623
8,ABERLOUR 18년 700ml,발렌타인,Y,6,150.5,215.0,30.0,90,0,74.4,21.6,52.7,50.0,"할인30%, 절감$64, 18년",A,셰리밤증류소:aberlour,1220:싱글몰트 위스키,5837406,046131000062,https://www.shilladfs.com/estore/kr/ko/p/5837406
9,TAMDHU 14yo Ambar Vintage 2009 700ml,탐두,Y,6,76.45,139.0,45.0,53,0,74.2,24.0,46.6,50.0,"할인45%, 절감$63, 한정/특별",A,셰리밤증류소:tamdhu,1220:싱글몰트 위스키,5865403,294531000006,https://www.shilladfs.com/estore/kr/ko/p/5865403
10,더 패밀리 캐스크스 2007_S23 700ml,글렌파클라스,Y,4,245.52,396.0,38.0,111,0,80.2,13.3,55.1,49.7,"할인38%, 절감$150, 판매多",A,셰리밤증류소:글렌파클라스,1220:싱글몰트 위스키,5548860,265931000010,https://www.shilladfs.com/estore/kr/ko/p/5548860
