구분,위스키명,브랜드,면세_USD,면세_KRW,면세용량_ml,면세_₩100ml,국내최저_KRW,국내용량_ml,국내_₩100ml,국내출처,국내매칭명,절감_100ml_%,절감_병당_KRW,구매가능,상품URL
①병당도쌈,시바스리갈 XV 1000ml,시바스리갈,77.9,110262,1000,11026,550000,1000,55000,데일리샷,시바스 리갈 얼티스 1L,80.0,439738,Y,https://www.shilladfs.com/estore/kr/ko/p/5076120
①병당도쌈,발베니 Balvenie 19년 Week of Peat 700ml,발베니,173.25,245224,700,35032,620000,700,88571,데일리샷,발베니 19년 위크 오브 피트,60.4,374776,N,https://www.shilladfs.com/estore/kr/ko/p/5108417
①병당도쌈,와일드무어 30년 트로피칼 코스트 700ml,와일드무어,248.32,351481,700,50212,720000,700,102857,데일리샷,와일드무어 30년,51.2,368519,Y,https://www.shilladfs.com/estore/kr/ko/p/5399822
①병당도쌈,글렌파클라스 25년 700ml,글렌파클라스,226.8,321020,700,45860,557000,700,79571,데일리샷,글렌파클라스 25년,42.4,235980,Y,https://www.shilladfs.com/estore/kr/ko/p/5226626
①병당도쌈,글렌드로낙 16년 700ml,글렌드로낙,103.95,147134,700,21019,372000,700,53143,데일리샷,더 글렌드로낙 16년,60.4,224866,Y,https://www.shilladfs.com/estore/kr/ko/p/4391067
①병당도쌈,발베니 21년 포트우드 700ml,발베니,288.0,407645,700,58235,599000,700,85571,데일리샷,발베니 포트우드 21년,31.9,191355,Y,https://www.shilladfs.com/estore/kr/ko/p/5479261
①병당도쌈,퍼컬렌 18년 700ml,퍼컬렌,109.9,155556,700,22222,328000,700,46857,데일리샷,퍼컬렌 18년 싱글몰트,52.6,172444,Y,https://www.shilladfs.com/estore/kr/ko/p/5304448
①병당도쌈,NEW 올트모어 21년 (깔바도스) 500ml,올트모어,99.5,140836,500,28167,312800,700,44686,데일리샷,올트모어 21년,37.0,171964,Y,https://www.shilladfs.com/estore/kr/ko/p/5560834
①병당도쌈,보모어 19년 700ml,보모어,112.2,158812,700,22687,295000,700,42143,데일리샷,보모어 19년 피노 누아 캐스크 피니시,46.2,136188,Y,https://www.shilladfs.com/estore/kr/ko/p/5524533
①병당도쌈,와일드무어 23년 웨이킹 포레스트 700ml,와일드무어,109.04,154339,700,22048,290000,700,41429,데일리샷,와일드무어 23년,46.8,135661,Y,https://www.shilladfs.com/estore/kr/ko/p/5399821
①병당도쌈,로얄살루트 25년 700ml,로얄살루트,250.8,354991,700,50713,490000,700,70000,데일리샷,로얄살루트 25년,27.6,135009,Y,https://www.shilladfs.com/estore/kr/ko/p/4599460
①병당도쌈,발렌타인 23년 AMERICAN OAK CASKS 700ml,발렌타인,199.5,282379,700,40340,409000,700,58429,데일리샷,발렌타인 23년,31.0,126621,Y,https://www.shilladfs.com/estore/kr/ko/p/4486823
①병당도쌈,주라 21년 타임 700ml,주라,163.5,231423,700,33060,354000,700,50571,데일리샷,주라 21년 Tide & Time,34.6,122577,N,https://www.shilladfs.com/estore/kr/ko/p/5166847
①병당도쌈,발베니 Balvenie 15년 Madeira Cask 700ml,발베니,90.2,127672,700,18239,245000,700,35000,데일리샷,발베니 15년 마데이라 캐스크,47.9,117328,Y,https://www.shilladfs.com/estore/kr/ko/p/5108416
①병당도쌈,글렌피딕 21년 그랑 리제르바 700ml,글렌피딕,145.2,205521,700,29360,319000,700,45571,데일리샷,글렌피딕 21년 40%,35.6,113479,Y,https://www.shilladfs.com/estore/kr/ko/p/275686
