구분,위스키명,브랜드,면세_USD,면세_KRW,면세용량_ml,면세_₩100ml,국내최저_KRW,국내용량_ml,국내_₩100ml,국내출처,국내매칭명,절감_100ml_%,절감_병당_KRW,구매가능,상품URL
①병당도쌈,시바스리갈 XV 1000ml,시바스리갈,77.9,113936,1000,11394,550000,1000,55000,데일리샷,시바스 리갈 얼티스 1L,79.3,436064,Y,https://www.shilladfs.com/estore/kr/ko/p/5076120
①병당도쌈,와일드무어 30년 트로피칼 코스트 700ml,와일드무어,248.32,363191,700,51884,675000,700,96429,데일리샷,와일드무어 30년,46.2,311809,Y,https://www.shilladfs.com/estore/kr/ko/p/5399822
①병당도쌈,글렌드로낙 16년 700ml,글렌드로낙,103.95,152037,700,21720,350000,700,50000,데일리샷,더 글렌드로낙 16년,56.6,197963,Y,https://www.shilladfs.com/estore/kr/ko/p/4391067
①병당도쌈,발베니 Balvenie 19년 Week of Peat 700ml,발베니,166.95,244180,700,34883,395000,700,56429,데일리샷,발베니 19년 위크 오브 피트,38.2,150820,Y,https://www.shilladfs.com/estore/kr/ko/p/5108417
①병당도쌈,보모어 19년 700ml,보모어,112.2,164103,700,23443,295000,700,42143,데일리샷,보모어 19년 피노 누아 캐스크 피니시,44.4,130897,Y,https://www.shilladfs.com/estore/kr/ko/p/5524533
①병당도쌈,와일드무어 23년 웨이킹 포레스트 700ml,와일드무어,101.52,148482,700,21212,259000,700,37000,데일리샷,와일드무어 23년,42.7,110518,Y,https://www.shilladfs.com/estore/kr/ko/p/5399821
①병당도쌈,글렌파클라스 25년 700ml,글렌파클라스,219.24,320659,700,45808,430000,700,61429,데일리샷,글렌파클라스 25년,25.4,109341,Y,https://www.shilladfs.com/estore/kr/ko/p/5226626
①병당도쌈,글렌피딕 21년 700ml,글렌피딕,137.28,200785,700,28684,297000,700,42429,데일리샷,글렌피딕 21년 40%,32.4,96215,Y,https://www.shilladfs.com/estore/kr/ko/p/275686
①병당도쌈,주라 21년 타임 700ml,주라,163.5,239134,700,34162,330000,700,47143,데일리샷,주라 21년 Tide & Time,27.5,90866,N,https://www.shilladfs.com/estore/kr/ko/p/5166847
①병당도쌈,조니워커 XR 21년 750ml,조니워커,63.0,92143,750,12286,180000,700,25714,데일리샷,조니워커 XR 21년 말띠 에디션,52.2,87857,Y,https://www.shilladfs.com/estore/kr/ko/p/287166
①병당도쌈,발베니 Balvenie 15년 Madeira Cask 700ml,발베니,83.64,122331,700,17476,200000,700,28571,데일리샷,발베니 15년 마데이라 캐스크,38.8,77669,Y,https://www.shilladfs.com/estore/kr/ko/p/5108416
①병당도쌈,몰트락 네버바운드 700ml,몰트락,114.0,166736,700,23819,240000,700,34286,데일리샷,몰트락 네버바운드,30.5,73264,Y,https://www.shilladfs.com/estore/kr/ko/p/5845281
①병당도쌈,글렌피딕 18년 벳4 퍼페츄얼 IGL CNY 700ml,글렌피딕,79.75,116642,700,16663,189000,700,27000,데일리샷,글렌피딕 18년 퍼페추얼 컬렉션 VAT 04,38.3,72358,N,https://www.shilladfs.com/estore/kr/ko/p/5904120
①병당도쌈,글렌모렌지 16년 트리뷰트 1000ml,글렌모렌지,74.25,108598,1000,10860,178000,1000,17800,데일리샷,글렌모렌지 트리뷰트 16년 1L,39.0,69402,N,https://www.shilladfs.com/estore/kr/ko/p/5843623
①병당도쌈,카미키 사쿠라 500ml,카미키,42.84,62658,500,12532,128000,700,18286,데일리샷,카미키 사쿠라,31.5,65342,Y,https://www.shilladfs.com/estore/kr/ko/p/5696485
①병당도쌈,발베니 21년 포트우드 700ml,발베니,270.0,394900,700,56414,459000,700,65571,데일리샷,발베니 포트우드 21년,14.0,64100,Y,https://www.shilladfs.com/estore/kr/ko/p/5479261
①병당도쌈,글렌모렌지 인피니타 18년 700ml,글렌모렌지,90.0,131633,700,18805,195000,700,27857,데일리샷,글렌모렌지 디 인피니타 18년,32.5,63367,Y,https://www.shilladfs.com/estore/kr/ko/p/5713332
①병당도쌈,글렌피딕 18년 Vat4 Perpetual 700ml,글렌피딕,87.0,127246,700,18178,189000,700,27000,데일리샷,글렌피딕 18년 퍼페추얼 컬렉션 VAT 04,32.7,61754,Y,https://www.shilladfs.com/estore/kr/ko/p/5105341
①병당도쌈,폴 존 피티드 1000ml,폴 존,42.0,61429,1000,6143,123000,700,17571,데일리샷,폴존 피티드 클래식 셀렉트 캐스크,65.0,61571,Y,https://www.shilladfs.com/estore/kr/ko/p/5311922
①병당도쌈,달모어 트리오 1000ml,달모어,99.75,145894,1000,14589,205000,1000,20500,데일리샷,달모어 트리오 1L,28.8,59106,N,https://www.shilladfs.com/estore/kr/ko/p/5125160
