구분,위스키명,브랜드,면세_USD,면세_KRW,면세용량_ml,면세_₩100ml,국내최저_KRW,국내용량_ml,국내_₩100ml,국내출처,국내매칭명,절감_100ml_%,절감_병당_KRW,구매가능,상품URL
①병당도쌈,글렌드로낙 16년 700ml,글렌드로낙,103.95,159089,700,22727,350000,700,50000,데일리샷,더 글렌드로낙 16년,54.5,190911,Y,https://www.shilladfs.com/estore/kr/ko/p/4391067
①병당도쌈,발베니 Balvenie 19년 Week of Peat 700ml,발베니,166.95,255506,700,36501,395000,700,56429,데일리샷,발베니 19년 위크 오브 피트,35.3,139494,Y,https://www.shilladfs.com/estore/kr/ko/p/5108417
①병당도쌈,보모어 19년 700ml,보모어,102.0,156104,700,22301,295000,700,42143,데일리샷,보모어 19년 피노 누아 캐스크 피니시,47.1,138896,Y,https://www.shilladfs.com/estore/kr/ko/p/5524533
①병당도쌈,와일드무어 23년 웨이킹 포레스트 700ml,와일드무어,101.52,155370,700,22196,278000,700,39714,데일리샷,와일드무어 23년,44.1,122630,Y,https://www.shilladfs.com/estore/kr/ko/p/5399821
①병당도쌈,아벨라워 아부나흐 700ml,발렌타인,80.5,123200,700,17600,235800,700,33686,보유DB,아벨라워 아부나흐,47.8,112600,Y,https://www.shilladfs.com/estore/kr/ko/p/5887242
①병당도쌈,맥캘란 하모니 컬렉션 700ml,맥캘란,175.75,268974,700,38425,369000,700,52714,데일리샷,맥캘란 하모니 컬렉션 인텐스 아라비카,27.1,100026,N,https://www.shilladfs.com/estore/kr/ko/p/5532321
①병당도쌈,조니워커 XR 21년 750ml,조니워커,63.0,96417,750,12856,188000,750,25067,데일리샷,"[750ml, 위스키 행사] 조니워커 XR 21년",48.7,91583,Y,https://www.shilladfs.com/estore/kr/ko/p/287166
①병당도쌈,글렌파클라스 25년 700ml,글렌파클라스,223.02,341318,700,48760,430000,700,61429,데일리샷,글렌파클라스 25년,20.6,88682,Y,https://www.shilladfs.com/estore/kr/ko/p/5226626
①병당도쌈,시바스리갈 18년 200ml,시바스리갈,13.78,21089,200,10544,104900,700,14986,데일리샷,시바스 리갈 18년 700ml,29.6,83811,Y,https://www.shilladfs.com/estore/kr/ko/p/5075893
①병당도쌈,글렌피딕 21년 700ml,글렌피딕,139.92,214139,700,30591,297000,700,42429,데일리샷,글렌피딕 21년 40%,27.9,82861,Y,https://www.shilladfs.com/estore/kr/ko/p/275686
①병당도쌈,주라 21년 타임 700ml,주라,163.5,250226,700,35747,330000,700,47143,데일리샷,주라 21년 Tide & Time,24.2,79774,N,https://www.shilladfs.com/estore/kr/ko/p/5166847
①병당도쌈,발베니 Balvenie 15년 Madeira Cask 700ml,발베니,83.64,128006,700,18287,205000,700,29286,데일리샷,발베니 15년 마데이라 캐스크,37.6,76994,Y,https://www.shilladfs.com/estore/kr/ko/p/5108416
①병당도쌈,글렌피딕 18년 벳4 퍼페츄얼 IGL CNY 700ml,글렌피딕,73.95,113176,700,16168,189000,700,27000,데일리샷,글렌피딕 18년 퍼페추얼 컬렉션 VAT 04,40.1,75824,N,https://www.shilladfs.com/estore/kr/ko/p/5904120
①병당도쌈,탈리스커 써지 700ml,탈리스커,51.66,79062,700,11295,149000,700,21286,데일리샷,탈리스커 써지,46.9,69938,Y,https://www.shilladfs.com/estore/kr/ko/p/5185537
①병당도쌈,글렌피딕 18년 Vat4 Perpetual 700ml,글렌피딕,79.75,122052,700,17436,189000,700,27000,데일리샷,글렌피딕 18년 퍼페추얼 컬렉션 VAT 04,35.4,66948,Y,https://www.shilladfs.com/estore/kr/ko/p/5105341
①병당도쌈,밀크앤허니 엘리먼츠 레드와인 캐스크 700ml,밀크앤허니,40.95,62671,700,8953,129000,700,18429,데일리샷,밀크앤허니 엘리먼츠 레드 와인 캐스크 싱글몰트 위스키,51.4,66329,Y,https://www.shilladfs.com/estore/kr/ko/p/5248989
①병당도쌈,몰트락 네버바운드 700ml,몰트락,114.0,174470,700,24924,240000,700,34286,데일리샷,몰트락 네버바운드,27.3,65530,Y,https://www.shilladfs.com/estore/kr/ko/p/5845281
①병당도쌈,카미키 사쿠라 500ml,카미키,42.84,65564,500,13113,128000,700,18286,데일리샷,카미키 사쿠라,28.3,62436,Y,https://www.shilladfs.com/estore/kr/ko/p/5696485
①병당도쌈,로얄살루트 25년 700ml,로얄살루트,250.8,383833,700,54833,444000,700,63429,데일리샷,로얄살루트 25년,13.6,60167,N,https://www.shilladfs.com/estore/kr/ko/p/4599460
①병당도쌈,폴 존 피티드 1000ml,폴 존,42.0,64278,1000,6428,123000,700,17571,데일리샷,폴존 피티드 클래식 셀렉트 캐스크,63.4,58722,Y,https://www.shilladfs.com/estore/kr/ko/p/5311922
①병당도쌈,글렌모렌지 인피니타 18년 700ml,글렌모렌지,90.0,137739,700,19677,195000,700,27857,데일리샷,글렌모렌지 디 인피니타 18년,29.4,57261,N,https://www.shilladfs.com/estore/kr/ko/p/5713332
①병당도쌈,글렌피딕 15년 Vat3 Perpetual 700ml,글렌피딕,51.48,78787,700,11255,135000,700,19286,데일리샷,글렌피딕 15년 퍼페추얼 컬렉션 VAT 03,41.6,56213,Y,https://www.shilladfs.com/estore/kr/ko/p/5105342
①병당도쌈,발베니 15년 마데이라 캐스크 빅토 응아이 에디션 700ml,발베니,98.4,150595,700,21514,205000,700,29286,데일리샷,발베니 15년 마데이라 캐스크,26.5,54405,Y,https://www.shilladfs.com/estore/kr/ko/p/5966607
①병당도쌈,글렌모렌지 16년 트리뷰트 1000ml,글렌모렌지,74.25,113635,1000,11364,168000,1000,16800,데일리샷,글렌모렌지 트리뷰트 16년 1L,32.4,54365,N,https://www.shilladfs.com/estore/kr/ko/p/5843623
①병당도쌈,폴 존 클래식 1000ml,폴 존,39.9,61064,1000,6106,115000,700,16429,데일리샷,폴존 클래식 셀렉트 캐스크,62.8,53936,Y,https://www.shilladfs.com/estore/kr/ko/p/5311851
①병당도쌈,달모어 트리오 1000ml,달모어,99.75,152661,1000,15266,205000,1000,20500,데일리샷,달모어 트리오 1L,25.5,52339,N,https://www.shilladfs.com/estore/kr/ko/p/5125160
①병당도쌈,엘리먼츠오브아일라 아이러브아일라 500ml,엘리먼츠 오브 아일라,31.86,48760,500,9752,99000,700,14143,데일리샷,엘리먼츠 오브 아일라 캐스크 에디트,31.0,50240,Y,https://www.shilladfs.com/estore/kr/ko/p/5372476
①병당도쌈,보모어 14년 700ml,보모어,34.0,52035,700,7434,101900,700,14557,데일리샷,보모어 14년 보르도 캐스크 피니시,48.9,49865,Y,https://www.shilladfs.com/estore/kr/ko/p/5524536
①병당도쌈,조니워커 18년 750ml,조니워커,56.0,85704,750,11427,133000,700,19000,데일리샷,[한정 수량 특가] 조니워커 18년,39.9,47296,N,https://www.shilladfs.com/estore/kr/ko/p/3651371
①병당도쌈,발베니 12년 Golden Cask 700ml ,발베니,44.8,68564,700,9795,115000,700,16429,데일리샷,발베니 12년 골든 캐스크,40.4,46436,Y,https://www.shilladfs.com/estore/kr/ko/p/5516907
①병당도쌈,발렌타인 18년 GLENBURGIE 700ml,발렌타인,66.81,102248,700,14607,148000,700,21143,데일리샷,발렌타인 싱글몰트 글렌버기 18년,30.9,45752,Y,https://www.shilladfs.com/estore/kr/ko/p/5524471
①병당도쌈,발베니 21년 포트우드 700ml,발베니,288.0,440765,700,62966,485000,700,69286,데일리샷,발베니 포트우드 21년,9.1,44235,Y,https://www.shilladfs.com/estore/kr/ko/p/5479261
①병당도쌈,발베니12년 골든캐스크 IGL 700ml,발베니,48.0,73461,700,10494,115000,700,16429,데일리샷,발베니 12년 골든 캐스크,36.1,41539,N,https://www.shilladfs.com/estore/kr/ko/p/5815472
①병당도쌈,탈리스커 다크 스톰 1000ml,탈리스커,57.15,87464,1000,8746,129000,1000,12900,데일리샷,탈리스커 다크스톰 1L,32.2,41536,Y,https://www.shilladfs.com/estore/kr/ko/p/5070436
①병당도쌈,타운브랜치 켄터키 싱글 몰트 7년 750ml,타운브랜치,27.6,42240,750,5632,82000,700,11714,데일리샷,타운 브랜치 7년 켄터키 싱글몰트 위스키 700ml,51.9,39760,Y,https://www.shilladfs.com/estore/kr/ko/p/5219708
①병당도쌈,시바스리갈 18년산 700ml,시바스리갈,44.0,67339,700,9620,104900,700,14986,데일리샷,시바스 리갈 18년 700ml,35.8,37561,Y,https://www.shilladfs.com/estore/kr/ko/p/5573453
①병당도쌈,화이트헤더 15년 700ml,화이트헤더,54.18,82919,700,11846,119900,700,17129,데일리샷,화이트 헤더 15년,30.8,36981,Y,https://www.shilladfs.com/estore/kr/ko/p/5372580
①병당도쌈,토마틴 21년 700ml,토마틴,214.2,327819,700,46831,359000,700,51286,데일리샷,토마틴 21년,8.7,31181,N,https://www.shilladfs.com/estore/kr/ko/p/5310055
①병당도쌈,아드벡 우거다일 700ml,아드벡,68.25,104452,700,14922,134000,700,19143,데일리샷,아드벡 우거다일,22.1,29548,N,https://www.shilladfs.com/estore/kr/ko/p/5713333
①병당도쌈,부쉬밀 쉐리 캐스크 10년 1000ml,부쉬밀,31.5,48209,1000,4821,77000,1000,7700,데일리샷,부쉬밀 10년 셰리 피니시 1L,37.4,28791,Y,https://www.shilladfs.com/estore/kr/ko/p/5200752
①병당도쌈,짐빔 싱글 배럴  750ml,짐빔,20.21,30930,750,4124,59000,700,8429,데일리샷,짐빔 싱글 배럴,51.1,28070,Y,https://www.shilladfs.com/estore/kr/ko/p/5303267
①병당도쌈,와일드터키 켄터키 스피릿 1L,와일드터키,39.22,60024,1000,6002,88000,700,12571,데일리샷,와일드 터키 켄터키 스피릿 싱글배럴(구형),52.3,27976,Y,https://www.shilladfs.com/estore/kr/ko/p/5408280
①병당도쌈,글렌글라사 포트소이 700ml,GLENGLASSAUGH,40.81,62457,700,8922,89800,700,12829,보유DB,글렌글라사 포트소이,30.4,27343,Y,https://www.shilladfs.com/estore/kr/ko/p/5534639
①병당도쌈,엘리먼츠오브아일라 버번캐스크 700ml,엘리먼츠 오브 아일라,46.87,71732,700,10247,99000,700,14143,데일리샷,엘리먼츠 오브 아일라 캐스크 에디트,27.5,27268,Y,https://www.shilladfs.com/estore/kr/ko/p/5372478
①병당도쌈,인드리 700ml,인드리,27.5,42087,700,6012,69000,700,9857,데일리샷,인드리 싱글몰트 위스키,39.0,26913,Y,https://www.shilladfs.com/estore/kr/ko/p/5360892
①병당도쌈,발렌타인 15년 GLENBURGIE 700ml,발렌타인,39.69,60743,700,8678,87000,700,12429,데일리샷,발렌타인 싱글몰트 글렌버기 15년,30.2,26257,Y,https://www.shilladfs.com/estore/kr/ko/p/5499394
①병당도쌈,네이키드 몰트 1000ml,발베니,27.0,41322,1000,4132,67100,700,9586,보유DB,네이키드 몰트,56.9,25778,Y,https://www.shilladfs.com/estore/kr/ko/p/5957380
①병당도쌈,아녹 12년 700ml,아녹,31.24,47811,700,6830,73500,700,10500,데일리샷,아녹 12년,35.0,25689,Y,https://www.shilladfs.com/estore/kr/ko/p/5248782
①병당도쌈,Balblair 12 Years Old 1000ml,발블레어,39.2,59993,1000,5999,85000,700,12143,데일리샷,발블레어 12년,50.6,25007,Y,https://www.shilladfs.com/estore/kr/ko/p/5865410
①병당도쌈,에반 윌리엄스 싱글 배럴 750ml,신세계 L&B,29.28,44811,750,5975,69800,750,9307,보유DB,에반 윌리엄스 싱글배럴,35.8,24989,Y,https://www.shilladfs.com/estore/kr/ko/p/5290609
①병당도쌈,글렌피딕 XX 700ml,글렌피딕,48.76,74624,700,10661,99000,700,14143,데일리샷,글렌피딕 프로젝트 XX,24.6,24376,Y,https://www.shilladfs.com/estore/kr/ko/p/5437409
①병당도쌈,글렌알라키 15년 (24RB) 700ml,글렌알라키,81.12,124149,700,17736,147900,700,21129,데일리샷,글렌알라키 15년,16.1,23751,Y,https://www.shilladfs.com/estore/kr/ko/p/5463432
①병당도쌈,글렌피딕 XX 700ml ,글렌피딕,49.68,76032,700,10862,99000,700,14143,데일리샷,글렌피딕 프로젝트 XX,23.2,22968,N,https://www.shilladfs.com/estore/kr/ko/p/5544313
①병당도쌈,Balblair 15 Years Old 1000ml,발블레어,112.5,172174,1000,17217,195000,700,27857,데일리샷,발블레어 15년,38.2,22826,Y,https://www.shilladfs.com/estore/kr/ko/p/5865409
①병당도쌈,와일드터키101 라이 1000ml,와일드터키,20.7,31680,1000,3168,54000,700,7714,데일리샷,와일드 터키 101 라이,58.9,22320,Y,https://www.shilladfs.com/estore/kr/ko/p/5690489
①병당도쌈,하이랜드 파크 EAGLE 16년 700ml,하이랜드 파크,100.0,153044,700,21863,175000,700,25000,데일리샷,하이랜드 파크 16년 윙즈 오브 더 이글,12.5,21956,Y,https://www.shilladfs.com/estore/kr/ko/p/5145173
①병당도쌈,미클토어 오리지널 700ml,미클토어,38.64,59136,700,8448,79000,700,11286,데일리샷,미클토어 더 오리지널,25.1,19864,Y,https://www.shilladfs.com/estore/kr/ko/p/5418558
①병당도쌈,발렌타인 23년 GLENTAUCHERS 700ml,발렌타인,183.4,280682,700,40097,299000,700,42714,데일리샷,발렌타인 23년,6.1,18318,Y,https://www.shilladfs.com/estore/kr/ko/p/5068900
①병당도쌈,부쉬밀 버번 캐스크 15년 700ml,부쉬밀,85.5,130852,700,18693,149000,700,21286,데일리샷,부쉬밀 15년,12.2,18148,Y,https://www.shilladfs.com/estore/kr/ko/p/5200759
①병당도쌈,잭다니엘 블랙 맥라렌 에디션 1000ml,잭다니엘,20.58,31496,1000,3150,49000,700,7000,데일리샷,잭 다니엘스 맥라렌 에디션 2025,55.0,17504,Y,https://www.shilladfs.com/estore/kr/ko/p/5334658
①병당도쌈,글렌모렌지 시그넷 700ml,글렌모렌지,178.2,272724,700,38961,289900,700,41414,데일리샷,글렌모렌지 시그넷,5.9,17176,N,https://www.shilladfs.com/estore/kr/ko/p/5843621
①병당도쌈,카발란 비노바리끄 솔리스트 1000ml,카발란,184.0,281600,1000,28160,298000,700,42571,데일리샷,카발란 솔리스트 비노 바리끄 싱글 캐스크 CS,33.9,16400,Y,https://www.shilladfs.com/estore/kr/ko/p/5101582
①병당도쌈,글렌파클라스 15년 700ml,글렌파클라스,67.5,103304,700,14758,119400,700,17057,보유DB,글렌파클라스 15년,13.5,16096,Y,https://www.shilladfs.com/estore/kr/ko/p/5226623
①병당도쌈,와일드터키 마스터스 킵 보야지 750ml,와일드터키,165.3,252981,750,33731,269000,700,38429,데일리샷,와일드 터키 마스터스 킵 보야지,12.2,16019,N,https://www.shilladfs.com/estore/kr/ko/p/5605211
①병당도쌈,밀크앤허니 엘리먼츠 피티드 캐스크 700ml,밀크앤허니,37.8,57850,700,8264,72900,700,10414,데일리샷,밀크앤허니 엘리먼츠 피티드 싱글몰트 위스키,20.6,15050,Y,https://www.shilladfs.com/estore/kr/ko/p/5248992
①병당도쌈,발베니 12년 몬틸라 700ml,발베니,52.8,80807,700,11544,94000,700,13429,데일리샷,발베니 더블우드 12년,14.0,13193,Y,https://www.shilladfs.com/estore/kr/ko/p/5798333
①병당도쌈,버팔로 트레이스 버번 위스키 1000ml,버팔로 트레이스,17.1,26170,1000,2617,38800,700,5543,보유DB,버팔로 트레이스,52.8,12630,Y,https://www.shilladfs.com/estore/kr/ko/p/5310223
①병당도쌈,딘스톤 버진 오크 700ml,딘스톤,21.5,32904,700,4701,45000,700,6429,데일리샷,딘스톤 버진 오크,26.9,12096,Y,https://www.shilladfs.com/estore/kr/ko/p/5228673
①병당도쌈,글렌모렌지 14년 엘레멘타 1000ml,글렌모렌지,67.5,103304,1000,10330,115000,1000,11500,데일리샷,글렌모렌지 엘리멘타 14년 1L,10.2,11696,N,https://www.shilladfs.com/estore/kr/ko/p/5843622
①병당도쌈,밀크앤허니 크리스마스에디션 트릿 700ml,밀크앤허니,49.98,76491,700,10927,85000,700,12143,데일리샷,밀크앤허니 크리스마스 에디션,10.0,8509,Y,https://www.shilladfs.com/estore/kr/ko/p/5248990
①병당도쌈,더 글렌리벳 21년 700ml,글렌리벳,248.9,380925,700,54418,389000,700,55571,데일리샷,더 글렌리벳 21년,2.1,8075,N,https://www.shilladfs.com/estore/kr/ko/p/5948827
①병당도쌈,짐빔 화이트 1000ml,짐빔,11.88,18182,1000,1818,25200,1000,2520,데일리샷,짐빔 화이트 1L,27.8,7018,Y,https://www.shilladfs.com/estore/kr/ko/p/5070546
①병당도쌈,미클토어 친커핀 700ml,미클토어,47.32,72420,700,10346,79000,700,11286,데일리샷,미클토어 더 친커핀 원,8.3,6580,Y,https://www.shilladfs.com/estore/kr/ko/p/5372472
①병당도쌈,더 글렌그란트 18년 700ml,더 글렌그란트,127.8,195590,700,27941,200000,700,28571,데일리샷,더 글렌그란트 18년,2.2,4410,Y,https://www.shilladfs.com/estore/kr/ko/p/5817221
