구분,위스키명,브랜드,면세_USD,면세_KRW,면세용량_ml,면세_₩100ml,국내최저_KRW,국내용량_ml,국내_₩100ml,국내출처,국내매칭명,절감_100ml_%,절감_병당_KRW,구매가능,상품URL
①병당도쌈,글렌드로낙 16년 700ml,글렌드로낙,103.95,157718,700,22531,329000,700,47000,데일리샷,더 글렌드로낙 16년,52.1,171282,Y,https://www.shilladfs.com/estore/kr/ko/p/4391067
①병당도쌈,맥캘란 하모니 컬렉션 700ml,맥캘란,175.75,266657,700,38094,429000,700,61286,데일리샷,맥캘란 하모니 컬렉션 리치 카카오,37.8,162343,N,https://www.shilladfs.com/estore/kr/ko/p/5532321
①병당도쌈,발베니 Balvenie 19년 Week of Peat 700ml,발베니,166.95,253305,700,36186,395000,700,56429,데일리샷,발베니 19년 위크 오브 피트,35.9,141695,Y,https://www.shilladfs.com/estore/kr/ko/p/5108417
①병당도쌈,보모어 19년 700ml,보모어,102.0,154760,700,22109,295000,700,42143,데일리샷,보모어 19년 피노 누아 캐스크 피니시,47.5,140240,Y,https://www.shilladfs.com/estore/kr/ko/p/5524533
①병당도쌈,와일드무어 23년 웨이킹 포레스트 700ml,와일드무어,101.52,154032,700,22005,278000,700,39714,데일리샷,와일드무어 23년,44.6,123968,Y,https://www.shilladfs.com/estore/kr/ko/p/5399821
①병당도쌈,아벨라워 아부나흐 700ml,발렌타인,80.5,122139,700,17448,235800,700,33686,보유DB,아벨라워 아부나흐,48.2,113661,Y,https://www.shilladfs.com/estore/kr/ko/p/5887242
①병당도쌈,조니워커 XR 21년 750ml,조니워커,63.0,95587,750,12745,188000,750,25067,데일리샷,"[750ml, 위스키 행사] 조니워커 XR 21년",49.2,92413,Y,https://www.shilladfs.com/estore/kr/ko/p/287166
①병당도쌈,글렌파클라스 25년 700ml,글렌파클라스,223.02,338378,700,48340,430000,700,61429,데일리샷,글렌파클라스 25년,21.3,91622,Y,https://www.shilladfs.com/estore/kr/ko/p/5226626
①병당도쌈,시바스리갈 18년 200ml,시바스리갈,13.78,20908,200,10454,104900,700,14986,데일리샷,시바스 리갈 18년 700ml,30.2,83992,Y,https://www.shilladfs.com/estore/kr/ko/p/5075893
①병당도쌈,주라 21년 타임 700ml,주라,163.5,248071,700,35439,330000,700,47143,데일리샷,주라 21년 Tide & Time,24.8,81929,N,https://www.shilladfs.com/estore/kr/ko/p/5166847
①병당도쌈,글렌피딕 21년 700ml,글렌피딕,137.28,208288,700,29755,289000,700,41286,데일리샷,글렌피딕 21년 40%,27.9,80712,Y,https://www.shilladfs.com/estore/kr/ko/p/275686
①병당도쌈,발베니 Balvenie 15년 Madeira Cask 700ml,발베니,82.0,124415,700,17774,205000,700,29286,데일리샷,발베니 15년 마데이라 캐스크,39.3,80585,Y,https://www.shilladfs.com/estore/kr/ko/p/5108416
①병당도쌈,글렌피딕 18년 벳4 퍼페츄얼 IGL CNY 700ml,글렌피딕,73.95,112201,700,16029,189000,700,27000,데일리샷,글렌피딕 18년 퍼페추얼 컬렉션 VAT 04,40.6,76799,N,https://www.shilladfs.com/estore/kr/ko/p/5904120
①병당도쌈,글렌피딕 18년 Vat4 Perpetual 700ml,글렌피딕,76.85,116601,700,16657,189000,700,27000,데일리샷,글렌피딕 18년 퍼페추얼 컬렉션 VAT 04,38.3,72399,Y,https://www.shilladfs.com/estore/kr/ko/p/5105341
①병당도쌈,탈리스커 써지 700ml,탈리스커,51.66,78381,700,11197,149000,700,21286,데일리샷,탈리스커 써지,47.4,70619,Y,https://www.shilladfs.com/estore/kr/ko/p/5185537
①병당도쌈,몰트락 네버바운드 700ml,몰트락,114.0,172967,700,24710,240000,700,34286,데일리샷,몰트락 네버바운드,27.9,67033,Y,https://www.shilladfs.com/estore/kr/ko/p/5845281
①병당도쌈,밀크앤허니 엘리먼츠 레드와인 캐스크 700ml,밀크앤허니,40.95,62132,700,8876,129000,700,18429,데일리샷,밀크앤허니 엘리먼츠 레드 와인 캐스크 싱글몰트 위스키,51.8,66868,Y,https://www.shilladfs.com/estore/kr/ko/p/5248989
①병당도쌈,로얄살루트 25년 700ml,로얄살루트,250.8,380527,700,54361,444000,700,63429,데일리샷,로얄살루트 25년,14.3,63473,Y,https://www.shilladfs.com/estore/kr/ko/p/4599460
①병당도쌈,글렌모렌지 인피니타 18년 700ml,글렌모렌지,90.0,136553,700,19508,195000,700,27857,데일리샷,글렌모렌지 디 인피니타 18년,30.0,58447,N,https://www.shilladfs.com/estore/kr/ko/p/5713332
①병당도쌈,글렌피딕 15년 Vat3 Perpetual 700ml,글렌피딕,50.49,76606,700,10944,135000,700,19286,데일리샷,글렌피딕 15년 퍼페추얼 컬렉션 VAT 03,43.3,58394,Y,https://www.shilladfs.com/estore/kr/ko/p/5105342
①병당도쌈,글렌모렌지 16년 트리뷰트 1000ml,글렌모렌지,74.25,112656,1000,11266,168000,1000,16800,데일리샷,글렌모렌지 트리뷰트 16년 1L,32.9,55344,N,https://www.shilladfs.com/estore/kr/ko/p/5843623
