구분,위스키명,브랜드,면세_USD,면세_KRW,면세용량_ml,면세_₩100ml,국내최저_KRW,국내용량_ml,국내_₩100ml,국내출처,국내매칭명,절감_100ml_%,절감_병당_KRW,구매가능,상품URL
①병당도쌈,시바스리갈 XV 1000ml,시바스리갈,77.9,115827,1000,11583,550000,1000,55000,데일리샷,시바스 리갈 얼티스 1L,78.9,434173,Y,https://www.shilladfs.com/estore/kr/ko/p/5076120
①병당도쌈,글렌드로낙 16년 700ml,글렌드로낙,103.95,154560,700,22080,350000,700,50000,데일리샷,더 글렌드로낙 16년,55.8,195440,Y,https://www.shilladfs.com/estore/kr/ko/p/4391067
①병당도쌈,발베니 Balvenie 19년 Week of Peat 700ml,발베니,163.8,243550,700,34793,395000,700,56429,데일리샷,발베니 19년 위크 오브 피트,38.3,151450,Y,https://www.shilladfs.com/estore/kr/ko/p/5108417
①병당도쌈,보모어 19년 700ml,보모어,102.0,151661,700,21666,295000,700,42143,데일리샷,보모어 19년 피노 누아 캐스크 피니시,48.6,143339,Y,https://www.shilladfs.com/estore/kr/ko/p/5524533
①병당도쌈,카발란 솔리스트 마데이라 1000ml,카발란,187.2,278342,1000,27834,399000,700,57000,데일리샷,카발란 솔리스트 마데이라 캐스크 CS,51.2,120658,Y,https://www.shilladfs.com/estore/kr/ko/p/5993335
①병당도쌈,와일드무어 23년 웨이킹 포레스트 700ml,와일드무어,101.52,150947,700,21564,259000,700,37000,데일리샷,와일드무어 23년,41.7,108053,Y,https://www.shilladfs.com/estore/kr/ko/p/5399821
①병당도쌈,글렌파클라스 25년 700ml,글렌파클라스,219.24,325982,700,46569,430000,700,61429,데일리샷,글렌파클라스 25년,24.2,104018,Y,https://www.shilladfs.com/estore/kr/ko/p/5226626
①병당도쌈,라프로익 레거시 에디션 700ml,라프로익,62.78,93346,700,13335,195000,700,27857,데일리샷,라프로익 1815 레거시 에디션,52.1,101654,Y,https://www.shilladfs.com/estore/kr/ko/p/3612827
①병당도쌈,글렌피딕 21년 700ml,글렌피딕,139.92,208043,700,29720,297000,700,42429,데일리샷,글렌피딕 21년 40%,30.0,88957,Y,https://www.shilladfs.com/estore/kr/ko/p/275686
①병당도쌈,주라 21년 타임 700ml,주라,163.5,243104,700,34729,330000,700,47143,데일리샷,주라 21년 Tide & Time,26.3,86896,N,https://www.shilladfs.com/estore/kr/ko/p/5166847
①병당도쌈,조니워커 XR 21년 750ml,조니워커,63.0,93673,750,12490,180000,700,25714,데일리샷,조니워커 XR 21년 말띠 에디션,51.4,86327,Y,https://www.shilladfs.com/estore/kr/ko/p/287166
①병당도쌈,글렌피딕 18년 벳4 퍼페츄얼 IGL CNY 700ml,글렌피딕,73.95,109954,700,15708,189000,700,27000,데일리샷,글렌피딕 18년 퍼페추얼 컬렉션 VAT 04,41.8,79046,N,https://www.shilladfs.com/estore/kr/ko/p/5904120
