제품명,용량ml,신라용량ml,롯데용량ml,신세계용량ml,신라_USD,신라_USD100ml,롯데_USD,롯데_USD100ml,신세계_USD,신세계_USD100ml,최저가_면세점,가격차_USD100ml,가격차_%,국내최저_₩,국내최저_₩100ml,국내최저_소스,국내수집일,면세최저_₩100ml,면세vs국내_%,최저처(면세vs국내),더싼곳,차이_USD100ml,신라상품명,롯데상품명,신세계상품명
더 글렌그란트 30년 700ml,700,700,,700,1800.0,257.14,,,1170.0,167.14,신세계,90.0,35.0,,,,,,,,,,더 글렌그란트 30년 700ml,,더 글렌그란트 30년 700ml
보모어 34년 프랭크 콰이어틀리 4 700ml,700,700,,700,2090.0,298.57,,,2470.0,352.86,신라,54.29,15.4,,,,,,,,,,보모어 34년 프랭크 콰이어틀리 4 700ml,,보모어 34년 프랭크 콰이어틀리 4 700ml
주라 1988 700ml,700,,700,700,,,1030.0,147.14,669.5,95.64,신세계,51.5,35.0,,,,,,,,,,,주라 1988 700ml,주라 1988 700ml
달모어 포트폴리오 시리즈1 2015 700ml,700,,700,700,,,883.5,126.21,593.75,84.82,신세계,41.39,32.8,,,,,,,,,,,달모어 포트폴리오 시리즈2 2007 700ml,달모어 포트폴리오 시리즈1 2015 700ml
부쉬밀 싱글몰트 31년 마데이라 캐스크 700ml,700,,700,700,,,1395.0,199.29,1625.0,232.14,롯데,32.86,14.2,,,,,,,,,,,부쉬밀 싱글몰트 31년 마데이라 캐스크 700ml,부쉬밀 싱글몰트 31년 마데이라 캐스크 700ml
보모어 30년 700ml,700,700,,700,1495.2,213.6,,,1713.25,244.75,신라,31.15,12.7,2790000,398571,데일리샷,2026-06-28,302973,24.0,면세,,,보모어 30년 700ml,,보모어 30년 700ml
패터캐른 25년 700ml,700,700,700,700,349.3,49.9,474.05,67.72,299.4,42.77,신세계,24.95,36.8,,,,,,,,신라,17.82,패터캐른 25년 700ml,패터캐른 25년 700ml,패터캐른 25년 700ml
듀어스 더블더블 30년 500ml,500,500,500,500,177.65,35.53,289.0,57.8,183.6,36.72,신라,22.27,38.5,,,,,,,,신라,22.27,듀어스 더블더블 30년 500ml,듀어스 더블더블 30년 500ml,듀어스 더블더블 30년 500ml
로얄브라클라 21년 700ml,700,700,700,700,174.0,24.86,313.2,44.74,171.22,24.46,신세계,20.28,45.3,,,,,,,,신라,19.89,로얄브라클라 21년 700ml,로얄브라클라 21년 700ml,로얄브라클라 21년 700ml
발베니 25년 레어메리지 700ml,700,,700,700,,,798.4,114.06,658.68,94.1,신세계,19.96,17.5,1190000,170000,데일리샷,2026-06-28,133473,21.5,면세,,,,발베니 25년 레어메리지 700ml,발베니 25년 레어메리지 700ml
듀어스 더블더블 36년 500ml,500,500,500,500,864.0,172.8,780.3,156.06,810.0,162.0,롯데,16.74,9.7,1940000,388000,데일리샷,2026-06-28,221357,42.9,면세,롯데,16.74,듀어스 더블더블 36년 500ml,듀어스 더블더블 36년 500ml,듀어스 더블더블 36년 500ml
글렌고인 26년 리미티드 에디션 700ml,700,,700,700,,,782.35,111.76,880.0,125.71,롯데,13.95,11.1,,,,,,,,,,,글렌고인 26년 리미티드 에디션 700ml,글렌고인 26년 리미티드 에디션 700ml
브룩라디 블랙아트 사페로 700ml,700,700,700,700,142.8,20.4,238.0,34.0,152.08,21.73,신라,13.6,40.0,,,,,,,,신라,13.6,브룩라디 블랙아트 사페로 700ml,브룩라디 블랙아트 사페로 700ml,브룩라디 블랙아트 사페로 700ml
주라 1993 700ml,700,700,,700,517.0,73.86,,,611.0,87.29,신라,13.43,15.4,,,,,,,,,,주라 1993 700ml,,주라 1993 700ml
올트모어 25년 700ml,700,700,700,700,354.68,50.67,311.78,44.54,404.46,57.78,롯데,13.24,22.9,649000,92714,데일리샷,2026-06-28,63176,31.9,면세,롯데,6.13,올트모어 25년 700ml,올트모어 25년 700ml,올트모어 25년 700ml
보모어 19년 700ml,700,700,700,700,112.2,16.03,193.8,27.69,104.24,14.89,신세계,12.79,46.2,295000,42143,데일리샷,2026-06-28,21120,49.9,면세,신라,11.66,보모어 19년 700ml,보모어 19년 700ml,보모어 19년 700ml
패터캐른 28년 700ml,700,700,,700,473.28,67.61,,,556.8,79.54,신라,11.93,15.0,,,,,,,,,,패터캐른 28년 700ml,,패터캐른 28년 700ml
더 글렌그란트 2006 프라이빗 캐스크 700ml,700,700,700,700,98.7,14.1,179.1,25.59,119.4,17.06,신라,11.49,44.9,,,,,,,,신라,11.49,더 글렌그란트 2006 프라이빗 캐스크 700ml,더 글렌그란트 2006 프라이빗 캐스크 700ml,더 글렌그란트 2006 프라이빗 캐스크 700ml
보모어 22년 700ml,700,700,700,700,219.45,31.35,280.49,40.07,203.89,29.13,신세계,10.94,27.3,,,,,,,,신라,8.72,보모어 22년 700ml,보모어 22년 700ml,보모어 22년 700ml
글렌피딕 30년 Time Series 700ml,700,700,700,,825.0,117.86,892.5,127.5,,,신라,9.64,7.6,1300000,185714,데일리샷,2026-06-28,167174,10.0,면세,신라,9.64,글렌피딕 30년 Time Series 700ml,글렌피딕 30년 타임시리즈 700ml,
몰트락 20년 750ml,750,750,,750,151.53,20.2,,,220.0,29.33,신라,9.13,31.1,,,,,,,,,,몰트락 20년 750ml,,몰트락 20년 750ml
보모어 25년 700ml,700,700,,700,476.0,68.0,,,412.16,58.88,신세계,9.12,13.4,649000,92714,데일리샷,2026-06-28,83516,9.9,면세,,,보모어 25년 700ml,,보모어 25년 700ml
글렌알라키 21년 배치5 700mL,700,700,,700,513.11,73.3,,,450.1,64.3,신세계,9.0,12.3,,,,,,,,,,글렌알라키 21년 배치5 700mL,,글렌알라키 21년 배치5 700ml
듀어스 25년 750ml,750,750,750,750,154.76,20.63,215.44,28.73,213.7,28.49,신라,8.09,28.2,439000,58533,데일리샷,2026-06-28,29262,50.0,면세,신라,8.09,듀어스 25년 750ml,듀어스 25년 750ml,듀어스 25년 750ml
더 글렌그란트 18년 700ml,700,700,700,700,74.12,10.59,127.8,18.26,75.54,10.79,신라,7.67,42.0,200000,28571,데일리샷,2026-06-28,15021,47.4,면세,신라,7.67,더 글렌그란트 18년 700ml,더 글렌그란트 18년 700ml,더 글렌그란트 18년 700ml
캐퍼도닉 21년 700ml,700,,700,700,,,200.0,28.57,150.5,21.5,신세계,7.07,24.7,,,,,,,,,,,캐퍼도닉 21년 700mL,캐퍼도닉 21년 700ml
글렌파클라스 30년 700ml,700,700,,700,541.68,77.38,,,590.52,84.36,신라,6.98,8.3,1590000,227143,데일리샷,2026-06-28,109757,51.7,면세,,,글렌파클라스 30년 700ml,,글렌파클라스 30년 700ml
몰트락 SR FY24 700ml (2023 Special Release),700,700,700,700,210.9,30.13,163.2,23.31,165.0,23.57,롯데,6.81,22.6,,,,,,,,롯데,6.81,몰트락 SR FY24 700ml (2023 Special Release),몰트락 SR FY24 700ml(2023 Special Release),몰트락 SR FY24 700ml(2023 Special Release)
로얄브라클라 18년 700ml,700,700,700,700,105.12,15.02,152.64,21.81,110.38,15.77,신라,6.79,31.1,207000,29571,데일리샷,2026-06-28,21305,28.0,면세,신라,6.79,로얄브라클라 18년 700ml,로얄브라클라 18년 700ml,로얄브라클라 18년 700ml
글렌파클라스 35년 700ml,700,700,700,700,928.74,132.68,882.3,126.04,895.09,127.87,롯데,6.63,5.0,,,,,,,,롯데,6.63,글렌파클라스 35년 700ml,글렌파클라스 35년 700ml,글렌파클라스 35년 700ml
브룩라디 옥토모어 14.3 700ml,700,,700,700,,,230.0,32.86,184.0,26.29,신세계,6.57,20.0,,,,,,,,,,,브룩라디 옥토모어 14.3 700ML,브룩라디 옥토모어 14.3 700ml
에버펠디 21년 마데이라 캐스크 700ml,700,700,700,700,127.22,18.17,172.85,24.69,136.4,19.49,신라,6.52,26.4,,,,,,,,신라,6.52,에버펠디 21년 마데이라 캐스크 700ml,에버펠디 21년 마데이라캐스크 700ml,에버펠디 21년 마데이라 캐스크 700ml
로얄 브라클라 25년 700ml,700,700,,700,495.0,70.71,,,540.0,77.14,신라,6.43,8.3,,,,,,,,,,로얄 브라클라 25년 700ml,,로얄브라클라 25년 700ml
폴 존 피엑스 쉐리 700ml,700,700,,700,45.15,6.45,,,89.25,12.75,신라,6.3,49.4,,,,,,,,,,폴 존 피엑스 쉐리 700ml,,폴존 피엑스 쉐리 700ml
