제품명,용량ml,신라용량ml,롯데용량ml,신세계용량ml,신라_USD,신라_USD100ml,롯데_USD,롯데_USD100ml,신세계_USD,신세계_USD100ml,최저가_면세점,가격차_USD100ml,가격차_%,국내최저_₩,국내최저_₩100ml,국내최저_소스,국내수집일,면세최저_₩100ml,면세vs국내_%,최저처(면세vs국내),더싼곳,차이_USD100ml,신라상품명,롯데상품명,신세계상품명
더 글렌그란트 30년 700ml,700,700,,700,1800.0,257.14,,,1170.0,167.14,신세계,90.0,35.0,,,,,,,,,,더 글렌그란트 30년 700ml,,더 글렌그란트 30년 700ml
보모어 34년 프랭크 콰이어틀리 4 700ml,700,700,,700,2090.0,298.57,,,2470.0,352.86,신라,54.29,15.4,,,,,,,,,,보모어 34년 프랭크 콰이어틀리 4 700ml,,보모어 34년 프랭크 콰이어틀리 4 700ml
주라 1988 700ml,700,,700,700,,,1030.0,147.14,669.5,95.64,신세계,51.5,35.0,,,,,,,,,,,주라 1988 700ml,주라 1988 700ml
글렌파클라스 30년 700ml,700,700,700,700,577.2,82.46,843.6,120.51,590.52,84.36,신라,38.06,31.6,1590000,227143,데일리샷,2026-06-28,117826,48.1,면세,신라,38.06,글렌파클라스 30년 700ml,글렌파클라스 30년 700ml,글렌파클라스 30년 700ml
부쉬밀 싱글몰트 31년 마데이라 캐스크 700ml,700,,700,700,,,1395.0,199.29,1625.0,232.14,롯데,32.86,14.2,,,,,,,,,,,부쉬밀 싱글몰트 31년 마데이라 캐스크 700ml,부쉬밀 싱글몰트 31년 마데이라 캐스크 700ml
보모어 30년 700ml,700,700,,700,1495.2,213.6,,,1713.25,244.75,신라,31.15,12.7,2790000,398571,데일리샷,2026-06-28,305211,23.4,면세,,,보모어 30년 700ml,,보모어 30년 700ml
패터캐른 25년 700ml,700,700,700,700,339.32,48.47,474.05,67.72,299.4,42.77,신세계,24.95,36.8,,,,,,,,신라,19.25,패터캐른 25년 700ml,패터캐른 25년 700ml,패터캐른 25년 700ml
글렌고인 26년 리미티드 에디션 700ml,700,,700,700,,,749.75,107.11,880.0,125.71,롯데,18.61,14.8,,,,,,,,,,,글렌고인 26년 리미티드 에디션 700ml,글렌고인 26년 리미티드 에디션 700ml
듀어스 더블더블 36년 500ml,500,500,500,500,864.0,172.8,780.3,156.06,810.0,162.0,롯데,16.74,9.7,1940000,388000,데일리샷,2026-06-28,222993,42.5,면세,롯데,16.74,듀어스 더블더블 36년 500ml,듀어스 더블더블 36년 500ml,듀어스 더블더블 36년 500ml
주라 1993 700ml,700,700,,700,517.0,73.86,,,611.0,87.29,신라,13.43,15.4,,,,,,,,,,주라 1993 700ml,,주라 1993 700ml
올트모어 25년 700ml,700,700,700,700,354.68,50.67,311.78,44.54,404.46,57.78,롯데,13.24,22.9,649000,92714,데일리샷,2026-06-28,63643,31.4,면세,롯데,6.13,올트모어 25년 700ml,올트모어 25년 700ml,올트모어 25년 700ml
발베니 25년 레어메리지 700ml,700,,700,700,,,750.49,107.21,658.68,94.1,신세계,13.12,12.2,1190000,170000,데일리샷,2026-06-28,134459,20.9,면세,,,,발베니 25년 레어메리지 700ml,발베니 25년 레어메리지 700ml
브룩라디 블랙아트 사페로 700ml,700,700,700,700,147.56,21.08,238.0,34.0,214.2,30.6,신라,12.92,38.0,,,,,,,,신라,12.92,브룩라디 블랙아트 사페로 700ml,브룩라디 블랙아트 사페로 700ml,브룩라디 블랙아트 사페로 700ml
패터캐른 28년 700ml,700,700,,700,473.28,67.61,,,556.8,79.54,신라,11.93,15.0,,,,,,,,,,패터캐른 28년 700ml,,패터캐른 28년 700ml
몰트락 20년 750ml,750,750,,750,151.53,20.2,,,220.0,29.33,신라,9.13,31.1,,,,,,,,,,몰트락 20년 750ml,,몰트락 20년 750ml
보모어 25년 700ml,700,700,,700,476.0,68.0,,,412.16,58.88,신세계,9.12,13.4,649000,92714,데일리샷,2026-06-28,84133,9.3,면세,,,보모어 25년 700ml,,보모어 25년 700ml
글렌알라키 21년 배치5 700mL,700,700,,700,513.11,73.3,,,450.1,64.3,신세계,9.0,12.3,,,,,,,,,,글렌알라키 21년 배치5 700mL,,글렌알라키 21년 배치5 700ml
듀어스 25년 750ml,750,750,750,750,154.76,20.63,215.44,28.73,213.7,28.49,신라,8.09,28.2,439000,58533,데일리샷,2026-06-28,29478,49.6,면세,신라,8.09,듀어스 25년 750ml,듀어스 25년 750ml,듀어스 25년 750ml
조니워커 엑스오디네어 1000ml,1000,,1000,1000,,,181.94,18.19,259.35,25.94,롯데,7.74,29.8,,,,,,,,,,,조니워커 엑스오디네어 1000ml,조니워커 엑스오디네어 1000ml
더 글렌그란트 18년 700ml,700,700,700,700,74.12,10.59,127.8,18.26,75.54,10.79,신라,7.67,42.0,200000,28571,데일리샷,2026-06-28,15132,47.0,면세,신라,7.67,더 글렌그란트 18년 700ml,더 글렌그란트 18년 700ml,더 글렌그란트 18년 700ml
몰트락 SR FY24 700ml (2023 Special Release),700,700,700,700,210.9,30.13,165.6,23.66,165.0,23.57,신세계,6.56,21.8,,,,,,,,롯데,6.47,몰트락 SR FY24 700ml (2023 Special Release),몰트락 SR FY24 700ml(2023 Special Release),몰트락 SR FY24 700ml(2023 Special Release)
에버펠디 21년 마데이라 캐스크 700ml,700,700,700,700,127.22,18.17,172.85,24.69,136.4,19.49,신라,6.52,26.4,,,,,,,,신라,6.52,에버펠디 21년 마데이라 캐스크 700ml,에버펠디 21년 마데이라캐스크 700ml,에버펠디 21년 마데이라 캐스크 700ml
글렌파클라스 35년 700ml,700,700,700,700,901.82,128.83,856.72,122.39,895.09,127.87,롯데,6.44,5.0,,,,,,,,롯데,6.44,글렌파클라스 35년 700ml,글렌파클라스 35년 700ml,글렌파클라스 35년 700ml
로얄 브라클라 25년 700ml,700,700,,700,495.0,70.71,,,540.0,77.14,신라,6.43,8.3,,,,,,,,,,로얄 브라클라 25년 700ml,,로얄브라클라 25년 700ml
폴 존 피엑스 쉐리 700ml,700,700,,700,45.15,6.45,,,89.25,12.75,신라,6.3,49.4,,,,,,,,,,폴 존 피엑스 쉐리 700ml,,폴존 피엑스 쉐리 700ml
블라드녹 14년 올로로소 셰리 700ml,700,,700,700,,,87.55,12.51,126.0,18.0,롯데,5.49,30.5,,,,,,,,,,,블라드녹 14년 올로로소 셰리 700ml,블라드녹 14년 올로로소 셰리 700ml
글렌피딕 26년 GC 700ml,700,700,700,,423.6,60.51,385.47,55.07,,,롯데,5.45,9.0,,,,,,,,롯데,5.45,글렌피딕 26년 GC 700ml,글렌피딕 26년 그랑 쿠론 700ml,
와일드무어 30년 트로피칼 코스트 700ml,700,700,700,,248.32,35.47,211.07,30.15,,,롯데,5.32,15.0,675000,96429,데일리샷,2026-06-28,43081,55.3,면세,롯데,5.32,와일드무어 30년 트로피칼 코스트 700ml,와일드무어 30년 트로피칼 코스트 700ml,
더 글렌그란트 21년 700ml,700,700,700,700,174.08,24.87,211.14,30.16,178.5,25.5,신라,5.29,17.6,359000,51286,데일리샷,2026-06-28,35537,30.7,면세,신라,5.29,더 글렌그란트 21년 700ml,더 글렌그란트 21년 700ml,더 글렌그란트 21년 700ml
화이트헤더 21년 700ml,700,700,,700,131.22,18.75,,,166.8,23.83,신라,5.08,21.3,325900,46557,데일리샷,2026-06-28,26792,42.5,면세,,,화이트헤더 21년 700ml,,화이트헤더 21년 700ml
보모어 19년 700ml,700,700,700,700,112.2,16.03,143.41,20.49,108.53,15.5,신세계,4.98,24.3,295000,42143,데일리샷,2026-06-28,22148,47.4,면세,신라,4.46,보모어 19년 700ml,보모어 19년 700ml,보모어 19년 700ml
더 글렌그란트 18년 1000ml,1000,1000,,1000,115.78,11.58,,,163.2,16.32,신라,4.74,29.1,200000,28571,데일리샷,2026-06-28,16547,42.1,면세,,,더 글렌그란트 18년 1000ml,,더 글렌그란트 18년 1000ml
베리 올드 세인트 닉 윈터 라이 750ml,750,,750,750,,,171.0,22.8,206.25,27.5,롯데,4.7,17.1,,,,,,,,,,,베리올드세인트닉 윈터라이 750ml,베리 올드 세인트 닉 윈터 라이 750ml
주라 더 베이  1000ml,1000,1000,1000,1000,40.8,4.08,85.0,8.5,38.25,3.82,신세계,4.68,55.0,,,,,,,,신라,4.42,주라 더 베이  1000ml,주라 더 베이 1000ml,주라 더 베이 1000ml
