goos_cd,name,brand,volume_ml,regular_price,sale_price,discount_pct,currency,krw_price,l_cate,category,is_dutyfree,exch_rate,source,collected_at
102488000001,발렌타인 30년 700ml,발렌타인,700,447.0,312.9,30.0,USD,450920,liquor,주류/위스키,True,1441.1,신세계(SSG)면세,2026-08-01T22:45:14Z
115348000047,카발란 솔리스트 마데이라 1000ML,카발란,1000,234.0,187.2,20.0,USD,269773,liquor,주류/위스키,True,1441.1,신세계(SSG)면세,2026-08-01T22:45:14Z
102447200008,조니워커 블루라벨 750ml,조니워커,750,227.0,147.55,35.0,USD,212634,liquor,주류/위스키,True,1441.1,신세계(SSG)면세,2026-08-01T22:45:14Z
111038000021,발베니 12 골든럼 캐스크 700ml,발베니,700,80.0,44.2,45.0,USD,63696,liquor,주류/위스키,True,1441.1,신세계(SSG)면세,2026-08-01T22:45:14Z
106858000011,브룩라디 옥토모어 15.3 700ml,브룩라디,700,230.0,207.0,10.0,USD,298307,liquor,주류/위스키,True,1441.1,신세계(SSG)면세,2026-08-01T22:45:14Z
102438000010,로얄살루트 21년 빈티지 700ml,로얄 살루트,700,211.0,147.7,30.0,USD,212850,liquor,주류/위스키,True,1441.1,신세계(SSG)면세,2026-08-01T22:45:14Z
106758000001,로얄브라클라 21년 700ml,듀어스,700,348.0,171.22,51.0,USD,246745,liquor,주류/위스키,True,1441.1,신세계(SSG)면세,2026-08-01T22:45:14Z
111038000003,발베니 18 PX 셰리 캐스크 700ml,발베니,700,277.0,162.05,42.0,USD,233530,liquor,주류/위스키,True,1441.1,신세계(SSG)면세,2026-08-01T22:45:14Z
106858000014,브룩라디 블랙아트 사페로 700ml,브룩라디,700,238.0,214.2,10.0,USD,308683,liquor,주류/위스키,True,1441.1,신세계(SSG)면세,2026-08-01T22:45:14Z
102438000004,로얄살루트 21년 700ml,로얄 살루트,700,176.0,123.2,30.0,USD,177543,liquor,주류/위스키,True,1441.1,신세계(SSG)면세,2026-08-01T22:45:14Z
102438000015,로얄살루트 32년 500ml,로얄 살루트,500,447.0,312.9,30.0,USD,450920,liquor,주류/위스키,True,1441.1,신세계(SSG)면세,2026-08-01T22:45:14Z
106768000062,산토리 야마자키 코게이 700ml,산토리,700,230.0,230.0,0.0,USD,331453,liquor,주류/위스키,True,1441.1,신세계(SSG)면세,2026-08-01T22:45:14Z
102447200007,조니워커 블루라벨 1000ml,조니워커,1000,302.0,196.3,35.0,USD,282887,liquor,주류/위스키,True,1441.1,신세계(SSG)면세,2026-08-01T22:45:14Z
106858000015,브룩라디 옥토모어 16.1 700ml,브룩라디,700,167.0,150.3,10.0,USD,216597,liquor,주류/위스키,True,1441.1,신세계(SSG)면세,2026-08-01T22:45:14Z
111048000017,글렌피딕 22년 그랑 코르테즈 700ml,글렌피딕,700,310.0,183.37,41.0,USD,264254,liquor,주류/위스키,True,1441.1,신세계(SSG)면세,2026-08-01T22:45:14Z
102448000054,조니워커 블루라벨 신년 에디션 (말의 해) 1000ml,조니워커,1000,353.0,231.92,34.0,USD,334219,liquor,주류/위스키,True,1441.1,신세계(SSG)면세,2026-08-01T22:45:14Z
111048000005,글렌피딕 18 벳 4 퍼페추얼 컬렉션 700ml,글렌피딕,700,145.0,79.75,45.0,USD,114927,liquor,주류/위스키,True,1441.1,신세계(SSG)면세,2026-08-01T22:45:14Z
115348000014,카발란 포트 솔리스트 1000ml,카발란,1000,218.0,130.8,40.0,USD,188495,liquor,주류/위스키,True,1441.1,신세계(SSG)면세,2026-08-01T22:45:14Z
102487200028,발렌타인 21년 700ml,발렌타인,700,170.0,119.0,30.0,USD,171490,liquor,주류/위스키,True,1441.1,신세계(SSG)면세,2026-08-01T22:45:14Z
102487200027,발렌타인 23년 700ml,발렌타인,700,210.0,147.0,30.0,USD,211841,liquor,주류/위스키,True,1441.1,신세계(SSG)면세,2026-08-01T22:45:14Z
106858000007,브룩라디 옥토모어15.1 700ml,브룩라디,700,167.0,150.3,10.0,USD,216597,,주류/위스키,True,1441.1,신세계(SSG)면세,2026-08-01T22:45:14Z
102447200009,조니워커 앤 선즈 킹 조지 5세 750ml,조니워커,750,702.0,410.67,42.0,USD,591816,liquor,주류/위스키,True,1441.1,신세계(SSG)면세,2026-08-01T22:45:14Z
102448000040,조니워커 엑스오디네어 750ml,조니워커,750,262.0,170.3,35.0,USD,245419,liquor,주류/위스키,True,1441.1,신세계(SSG)면세,2026-08-01T22:45:14Z
111038000002,발베니 15 마데이라 캐스크 700ml,발베니,700,164.0,95.94,42.0,USD,138259,liquor,주류/위스키,True,1441.1,신세계(SSG)면세,2026-08-01T22:45:14Z
110738000043,[면세한정]달모어 16년 PX 쉐리캐스크 700ml,달모어,700,165.0,156.75,5.0,USD,225892,liquor,주류/위스키,True,1441.1,신세계(SSG)면세,2026-08-01T22:45:14Z
106858000009,브룩라디 블랙아트10 700ml,브룩라디,700,450.0,360.0,20.0,USD,518796,,주류/위스키,True,1441.1,신세계(SSG)면세,2026-08-01T22:45:14Z
110738000042,[면세한정] 달모어 19년 PX 쉐리캐스크 700ml,달모어,700,350.0,332.5,5.0,USD,479165,liquor,주류/위스키,True,1441.1,신세계(SSG)면세,2026-08-01T22:45:14Z
115348000005,카발란 EX 버번 솔리스트 1000ml,카발란,1000,154.0,92.4,40.0,USD,133157,liquor,주류/위스키,True,1441.1,신세계(SSG)면세,2026-08-01T22:45:14Z
106858000010,브룩라디 옥토모어 15.2 700ml,브룩라디,700,190.0,171.0,10.0,USD,246428,liquor,주류/위스키,True,1441.1,신세계(SSG)면세,2026-08-01T22:45:14Z
102447200014,조니워커 앤 선즈 킹 조지 5세 500ml,조니워커,500,440.0,286.0,35.0,USD,412154,liquor,주류/위스키,True,1441.1,신세계(SSG)면세,2026-08-01T22:45:14Z
111047200019,글렌피딕 23년 그랑 크루 700ml,글렌피딕,700,353.0,206.51,42.0,USD,297601,liquor,주류/위스키,True,1441.1,신세계(SSG)면세,2026-08-01T22:45:14Z
115968000031,스프링뱅크 19년 배치#25 500ml,댓 부티키 위스키 컴퍼니,500,656.0,454.94,31.0,USD,655614,,주류/위스키,True,1441.1,신세계(SSG)면세,2026-08-01T22:45:14Z
