prd_no,prd_opt_no,name,brand,volume_ml,regular_price,sale_price,discount_pct,currency,krw_price,category,is_dutyfree,collected_at
20000959658,20001278582,발베니 12년 골든럼 캐스크 700ml,발베니,700,80.0,42.24,47.0,USD,65227,주류/위스키/싱글 몰트,True,2026-06-30T00:15:42Z
20000842088,20001086127,발베니 15년 마데이라 캐스크 700ml,발베니,700,164.0,81.34,50.0,USD,125605,주류/위스키/싱글 몰트,True,2026-06-30T00:15:42Z
20001025591,20001399772,브룩라디 옥토모어 14.2 700ML,브룩라디,700,190.0,190.0,0.0,USD,293398,주류/위스키/싱글 몰트,True,2026-06-30T00:15:42Z
20000842082,20001086121,글렌피딕 18년 벳4 퍼페추얼 컬렉션 700ml,글렌피딕,700,145.0,73.08,50.0,USD,112850,주류/위스키/싱글 몰트,True,2026-06-30T00:15:42Z
20000845220,20001090432,카발란 비노 바리끄 솔리스트 1000ml,카발란,1000,230.0,138.0,40.0,USD,213100,주류/위스키/싱글 몰트,True,2026-06-30T00:15:42Z
20000842092,20001086136,발베니 18년 페드로 히메네즈 700ml,발베니,700,277.0,139.6,50.0,USD,215570,주류/위스키/싱글 몰트,True,2026-06-30T00:15:42Z
20001025593,20001399774,브룩라디 옥토모어 14.3 700ML,브룩라디,700,230.0,230.0,0.0,USD,355166,주류/위스키/싱글 몰트,True,2026-06-30T00:15:42Z
20001043555,20001437228,글렌모렌지 시그넷 700ml,글렌모렌지,700,198.0,168.3,15.0,USD,259889,주류/위스키/싱글 몰트,True,2026-06-30T00:15:42Z
20001046303,20001443063,발베니18 쉐리 캐스크 빅토 응아이 700ml,발베니,700,277.0,148.47,46.0,USD,229267,주류/위스키/싱글 몰트,True,2026-06-30T00:15:42Z
20001046296,20001443047,발베니15 마데이라 캐스크 빅토 응아이 700ml,발베니,700,164.0,86.59,47.0,USD,133712,주류/위스키/싱글 몰트,True,2026-06-30T00:15:42Z
20000845231,20001090462,카발란 EX-버번 솔리스트 1000ml,카발란,1000,154.0,92.4,40.0,USD,142684,주류/위스키/싱글 몰트,True,2026-06-30T00:15:42Z
20000875300,20001140094,글렌알라키 8년 700ml,글렌알라키,700,91.0,30.3,67.0,USD,46789,주류/위스키/싱글 몰트,True,2026-06-30T00:15:42Z
