prd_no,prd_opt_no,name,brand,volume_ml,regular_price,sale_price,discount_pct,currency,krw_price,category,is_dutyfree,collected_at
20000959658,20001278582,발베니 12년 골든럼 캐스크 700ml,발베니,700,80.0,44.16,45.0,USD,61515,주류/위스키/싱글 몰트,True,2026-08-22T00:15:19Z
20000842088,20001086127,발베니 15년 마데이라 캐스크 700ml,발베니,700,164.0,90.52,45.0,USD,126094,주류/위스키/싱글 몰트,True,2026-08-22T00:15:19Z
20000978194,20001314231,글렌피딕 22년 그랑 코르테즈 700ml,글렌피딕,700,310.0,169.26,45.0,USD,235779,주류/위스키/싱글 몰트,True,2026-08-22T00:15:19Z
20000845220,20001090432,카발란 비노 바리끄 솔리스트 1000ml,카발란,1000,230.0,138.0,40.0,USD,192234,주류/위스키/싱글 몰트,True,2026-08-22T00:15:19Z
20000842082,20001086121,글렌피딕 18년 벳4 퍼페추얼 컬렉션 700ml,글렌피딕,700,145.0,79.17,45.0,USD,110284,주류/위스키/싱글 몰트,True,2026-08-22T00:15:19Z
20000842079,20001086118,글렌피딕 15년 벳 3 퍼페추얼 컬렉션 700ml,글렌피딕,700,99.0,54.05,45.0,USD,75292,주류/위스키/싱글 몰트,True,2026-08-22T00:15:19Z
20000845231,20001090462,카발란 EX-버번 솔리스트 1000ml,카발란,1000,154.0,92.4,40.0,USD,128713,주류/위스키/싱글 몰트,True,2026-08-22T00:15:19Z
20000842092,20001086136,발베니 18년 페드로 히메네즈 700ml,발베니,700,277.0,152.9,45.0,USD,212990,주류/위스키/싱글 몰트,True,2026-08-22T00:15:19Z
20000842087,20001086126,발베니 클래식 700ml,발베니,700,101.0,55.75,45.0,USD,77660,주류/위스키/싱글 몰트,True,2026-08-22T00:15:19Z
20001043555,20001437228,글렌모렌지 시그넷 700ml,글렌모렌지,700,198.0,168.3,15.0,USD,234442,주류/위스키/싱글 몰트,True,2026-08-22T00:15:19Z
20001046296,20001443047,발베니15 마데이라 캐스크 빅토 응아이 700ml,발베니,700,164.0,90.52,45.0,USD,126094,주류/위스키/싱글 몰트,True,2026-08-22T00:15:19Z
20000946344,20001256659,듀어스 15년 1000ml 뉴에디션,듀어스,1000,64.0,44.6,30.0,USD,62128,주류/위스키/싱글 몰트,True,2026-08-22T00:15:19Z
20001046303,20001443063,발베니18 쉐리 캐스크 빅토 응아이 700ml,발베니,700,277.0,152.9,45.0,USD,212990,주류/위스키/싱글 몰트,True,2026-08-22T00:15:19Z
20000844310,20001089253,라가불린 16년 700ml,라가불린,700,99.0,67.32,32.0,USD,93777,주류/위스키/싱글 몰트,True,2026-08-22T00:15:19Z
20000845232,20001090463,카발란 올로로소 쉐리오크 1000ml,카발란,1000,172.0,103.2,40.0,USD,143758,주류/위스키/싱글 몰트,True,2026-08-22T00:15:19Z
20000842073,20001086112,글렌피딕 23년 그랑 크루 700ml,글렌피딕,700,353.0,192.73,45.0,USD,268473,주류/위스키/싱글 몰트,True,2026-08-22T00:15:19Z
20000842076,20001086115,글렌피딕 벳 1 퍼페추얼 컬렉션 1000ml,글렌피딕,1000,78.0,42.58,45.0,USD,59314,주류/위스키/싱글 몰트,True,2026-08-22T00:15:19Z
20000842095,20001086140,발베니 19년 위크 오브 피트 700ml,발베니,700,315.0,173.88,45.0,USD,242215,주류/위스키/싱글 몰트,True,2026-08-22T00:15:19Z
20001006116,20001365795,아드벡 우거다일 700ml,아드벡,700,91.0,68.25,25.0,USD,95072,주류/위스키/싱글 몰트,True,2026-08-22T00:15:19Z
20001054259,20001456511,글렌모렌지 인피니타 18년 700ml,글렌모렌지,700,115.0,86.25,25.0,USD,120146,주류/위스키/싱글 몰트,True,2026-08-22T00:15:19Z
20000842074,20001086113,글렌피딕 21년 그랑 레제르바 700ml,글렌피딕,700,264.0,144.14,45.0,USD,200787,주류/위스키/싱글 몰트,True,2026-08-22T00:15:19Z
20000840579,20001083943,더 글렌그란트 15년 1000ml,더 글렌그란트,1000,128.0,67.96,47.0,USD,94668,주류/위스키/싱글 몰트,True,2026-08-22T00:15:19Z
20001007446,20001368303,글렌피딕 19년 애스턴마틴 F1 700ml,글렌피딕,700,165.0,115.5,30.0,USD,160892,주류/위스키/싱글 몰트,True,2026-08-22T00:15:19Z
20000919728,20001212989,글렌알라키 12년 뮈스카텔 우드 피니시 700ml,글렌알라키,700,137.0,61.65,55.0,USD,85878,주류/위스키/싱글 몰트,True,2026-08-22T00:15:19Z
20000844207,20001089091,글렌피딕 엑스엑스 700ml,글렌피딕,700,92.0,50.23,45.0,USD,69970,주류/위스키/싱글 몰트,True,2026-08-22T00:15:19Z
20000844203,20001089087,글렌피딕 26년 그랑 쿠론 700ml,글렌피딕,700,706.0,385.47,45.0,USD,536960,주류/위스키/싱글 몰트,True,2026-08-22T00:15:19Z
20001051309,20001451817,브룩라디 블랙아트 사페로 700ml,브룩라디,700,238.0,238.0,0.0,USD,331534,주류/위스키/싱글 몰트,True,2026-08-22T00:15:19Z
20000846018,20001214929,글렌파클라스 25년 위스키 700ml,글렌파클라스,700,378.0,208.27,45.0,USD,290120,주류/위스키/싱글 몰트,True,2026-08-22T00:15:19Z
20000929408,20001226684,로얄브라클라 21년 700ml,로얄 브라클라,700,348.0,250.56,28.0,USD,349030,주류/위스키/싱글 몰트,True,2026-08-22T00:15:19Z
20001055528,20001458876,카발란 솔리스트 마데이라 1000ml,카발란,1000,234.0,187.2,20.0,USD,260770,주류/위스키/싱글 몰트,True,2026-08-22T00:15:19Z
20001010328,20001373777,글렌피딕 23년 그랑 크루 슬림팩 700ml,글렌피딕,700,353.0,192.73,45.0,USD,268473,주류/위스키/싱글 몰트,True,2026-08-22T00:15:19Z
20001060875,20001467523,아드벡 19년 배치7 700ml,아드벡,700,315.0,252.0,20.0,USD,351036,주류/위스키/싱글 몰트,True,2026-08-22T00:15:19Z
20001043046,20001436610,글렌파클라스 15년 700ml,글렌파클라스,700,135.0,69.25,49.0,USD,96465,주류/위스키/싱글 몰트,True,2026-08-22T00:15:19Z
20001010060,20001373242,카발란 솔리스트 피노 1000mL,카발란,1000,380.0,304.0,20.0,USD,423472,주류/위스키/싱글 몰트,True,2026-08-22T00:15:19Z
20000845225,20001090442,카발란 클래식 1000ml,카발란,1000,109.0,65.4,40.0,USD,91102,주류/위스키/싱글 몰트,True,2026-08-22T00:15:19Z
20000957066,20001274588,맥캘란 컬러컬렉션 12년 700ml,맥캘란,700,83.0,83.0,0.0,USD,115619,주류/위스키/싱글 몰트,True,2026-08-22T00:15:19Z
20001053291,20001455105,기원 코리안 트래블 익스클루시브,기원 위스키,,118.0,71.15,40.0,USD,99112,주류/위스키/싱글 몰트,True,2026-08-22T00:15:19Z
20000842078,20001086117,글렌피딕 벳 2 퍼페추얼 컬렉션 1000ml,글렌피딕,1000,94.0,51.32,45.0,USD,71489,주류/위스키/싱글 몰트,True,2026-08-22T00:15:19Z
20000845222,20001090436,카발란 포트 솔리스트 1000ml,카발란,1000,218.0,130.8,40.0,USD,182204,주류/위스키/싱글 몰트,True,2026-08-22T00:15:19Z
20001029292,20001407357,기원 해 700ml,기원 위스키,700,66.0,39.79,40.0,USD,55427,주류/위스키/싱글 몰트,True,2026-08-22T00:15:19Z
20001009580,20001372427,더 글렌리벳 19년 700ml,글렌리벳,700,130.0,91.0,30.0,USD,126763,주류/위스키/싱글 몰트,True,2026-08-22T00:15:19Z
20000919520,20001212632,글렌모렌지 오리지널 1000ml,글렌모렌지,1000,60.0,39.0,35.0,USD,54327,주류/위스키/싱글 몰트,True,2026-08-22T00:15:19Z
20001043040,20001436590,글렌모렌지 시그넷 리저브 700ml,글렌모렌지,700,338.0,287.3,15.0,USD,400209,주류/위스키/싱글 몰트,True,2026-08-22T00:15:19Z
20000961588,20001281865,발렌타인 글렌버기 15년 700ml,발렌타인,700,81.0,51.75,36.0,USD,72088,주류/위스키/싱글 몰트,True,2026-08-22T00:15:19Z
20000959671,20001278602,카발란 그랜드 리져브 NO1 1000mL,카발란,1000,127.0,76.2,40.0,USD,106147,주류/위스키/싱글 몰트,True,2026-08-22T00:15:19Z
20001017022,20001385334,발베니 12 몬틸라 캐스크 700ml,발베니,700,88.0,48.57,45.0,USD,67658,주류/위스키/싱글 몰트,True,2026-08-22T00:15:19Z
20000970060,20001298625,발렌타인 글렌버기 18년 700ml,발렌타인,700,131.0,81.35,38.0,USD,113321,주류/위스키/싱글 몰트,True,2026-08-22T00:15:19Z
20001049986,20001449063,기원 달 기프트팩 700ml,기원 위스키,700,72.0,43.41,40.0,USD,60470,주류/위스키/싱글 몰트,True,2026-08-22T00:15:19Z
20000844159,20001089025,글렌파클라스 105 CS 1000ml,글렌파클라스,1000,126.0,119.7,5.0,USD,166742,주류/위스키/싱글 몰트,True,2026-08-22T00:15:19Z
20000842048,20001086085,글렌드로낙 10년 1000ml,글렌드로낙,1000,80.0,43.2,46.0,USD,60178,주류/위스키/싱글 몰트,True,2026-08-22T00:15:19Z
20000959673,20001278604,카발란 그랜드 리져브 NO2 1000mL,카발란,1000,127.0,76.2,40.0,USD,106147,주류/위스키/싱글 몰트,True,2026-08-22T00:15:19Z
20001055640,20001459070,글렌피딕 21년 그랑 레제르바 700ml [슬림팩버전],글렌피딕,700,264.0,144.14,45.0,USD,200787,주류/위스키/싱글 몰트,True,2026-08-22T00:15:19Z
20001026972,20001403029,[면세한정] 달모어 16년 PX 쉐리캐스크 700ml,달모어,700,165.0,156.75,5.0,USD,218353,주류/위스키/싱글 몰트,True,2026-08-22T00:15:19Z
20000957069,20001274591,맥캘란 컬러컬렉션 15년 700ml,맥캘란,700,168.0,168.0,0.0,USD,234024,주류/위스키/싱글 몰트,True,2026-08-22T00:15:19Z
20000929402,20001226674,올트모어 12년 1000ml,올트모어,1000,104.0,72.48,30.0,USD,100965,주류/위스키/싱글 몰트,True,2026-08-22T00:15:19Z
20000846000,20001091575,글렌알라키 8년 메타베브 에디션 위스키 700ml,글렌알라키,700,81.0,35.39,56.0,USD,49298,주류/위스키/싱글 몰트,True,2026-08-22T00:15:19Z
20001057638,20001462667,탐두 14년 엠버 빈티지 2009 700ml,탐두,700,139.0,72.28,48.0,USD,100686,주류/위스키/싱글 몰트,True,2026-08-22T00:15:19Z
20001054264,20001456516,부쉬밀 18년 트리플 캐스크 700ml,부쉬밀,700,140.0,75.6,46.0,USD,105311,주류/위스키/싱글 몰트,True,2026-08-22T00:15:19Z
