canonical_id,name_ko,name_en,brand,category,n_aliases,n_rows,markets,min_krw,max_krw,alias_examples
w001,글렌리벳 12년,The Glenlivet 12 Year Old,Glenlivet,싱글몰트,7,8,HK;JP;KR;KR-DS,60900,164550,Glenlivet 12 Year Old Double Oak; 【正規輸入品】 ザ グレンリベット 12年 40% 1000ml 箱付 シングルモルト スコッチ ウイスキー; 【正規輸入品】ザ グレンリベット 12年 40% 700ml 箱付 スコッチ ウイスキー; ザ グレンリベット 12年 1000ml
w002,글렌리벳 15년,The Glenlivet 15 Year Old French Oak Reserve,Glenlivet,싱글몰트,8,18,HK;JP;KR;KR-DS,89000,243286,Glenlivet 15 Years Old French Oak Reserve Single Malt Scotch Whisky; 【正規輸入品】 ザ グレンリベット 15年 フレンチ オーク リザーブ 40% 700ml 箱付 シングルモルト スコッチ ウイスキー; ザ グレンリベット フレンチオーク リザーヴ 15年; 글랜립의 15년
w003,글렌리벳 17년 스몰배치,The Glenlivet 17 Year Old Small Batch,Glenlivet,싱글몰트,3,4,KR,229800,229800,글랜립의 17년 스몰 배치 2; 글렌리벳 17년 스몰 배치 2 700ml; 더 글렌리벳 17년 스몰 배치 2
w004,글렌리벳 19년 스몰배치,The Glenlivet 19 Year Old Small Batch,Glenlivet,싱글몰트,3,4,KR,349800,349800,글랜립의 19년 스몰 배치; 글렌리벳 19년 스몰 배치 2 700ml; 더 글렌리벳 19년 스몰 배치 2
w005,글렌피딕 12년,Glenfiddich 12 Year Old,Glenfiddich,싱글몰트,4,15,HK;KR;KR-DS,69800,160817,"Glenfiddich - 12y, 40%; 글랜피딕 12년; 글렌피딕 12년; 글렌피딕 12년 700ml"
w006,글렌피딕 14년 버번배럴,Glenfiddich 14 Year Old Bourbon Barrel Reserve,Glenfiddich,싱글몰트,4,11,KR;KR-DS,99800,105000,글랜피딕 14년; 글렌피딕 14년; 글렌피딕 14년 버번 캐스크 700ml; 글렌피딕 14년 법원 캐스크
w007,글렌피딕 15년,Glenfiddich 15 Year Old Solera,Glenfiddich,싱글몰트,9,20,JP;KR;KR-DS,96900,243919,グレンフィディック 15年 ソレラリザーブ 40% 700ml 箱付 シングルモルト スコッチ ウイスキー; 글램피닉 15년; 글렌피딕 15년; 글렌피딕 15년 700ml
w008,발베니 12년 더블우드,The Balvenie DoubleWood 12 Year Old,Balvenie,싱글몰트,11,27,JP;KR;KR-DS,94900,254083,ザ バルヴェニー 12年 ダブルウッド 40% 700ml 箱付 シングルモルト スコッチ ウイスキー; ザ バルヴェニー ダブルウッド 12年; 발베니 12년; 발베니 12년 700ml
w009,발베니 14년 캐리비안 캐스크,The Balvenie Caribbean Cask 14 Year Old,Balvenie,싱글몰트,7,19,HK;JP;KR;KR-DS,134900,371115,"Balvenie - Caribbean Cask 14y, 43%; Balvenie Caribbean Cask 14 Years Single Malt Scotch Whisky; シングルモルト ウイスキー バルヴェニー 14年 カリビアンカスク [イギリス 700ml ]; 발베니 14년 캐리비안 캐스크"
w010,아벨라워 12년 더블캐스크,Aberlour 12 Year Old Double Cask Matured,Aberlour,싱글몰트,2,2,HK;JP,134109,243286,Aberlour 12 Years Old Double Cask Matured Single Malt Scotch Whisky; アベラワー 12年 ダブルカスクマチュア―ド
w011,아벨라워 아부나흐,Aberlour A'bunadh,Aberlour,싱글몰트,6,7,KR,235800,235800,아벨라워 셰리 캐스크 에디션; 아벨라워 아브나르 쉐리케스크 에디션; 아벨라워 아브나르 쉐리케스크 에디션 700ml; 아벨라워 아브나오 셰리케스크 에디션 700ml
w012,맥캘란 12년 더블캐스크,The Macallan Double Cask 12 Year Old,Macallan,싱글몰트,14,29,HK;JP;KR;KR-DS,90000,287820,"Macallan - Double Cask, 12y, 2018 release, 40%; Macallan - Double Cask, 12y, 2025 release, 40%; ザ マッカラン 12年 シングルモルト シェリーオーク 40% 700ml 箱なし スコッチ ウイスキー; ザ マッカラン 12年 シングルモルト シェリーオーク 40% 700ml 箱なし スコッチ ウイスキー アウトレット"
w013,글렌그란트 12년,The Glen Grant 12 Year Old,Glen Grant,싱글몰트,7,13,HK;KR;KR-DS,59400,185556,Glen Grant 12 Year Old Oloroso Sherry Casks; 글랜그란트 12년 700ml; 글랜란트 12년; 글렌그란트 12년
w014,글렌그란트 15년,The Glen Grant 15 Year Old,Glen Grant,싱글몰트,4,5,JP;KR;KR-DS,89400,205663,ザ グレングラント 15年 50% 700ml 箱付 シングルモルト スコッチ ウイスキー; 글랜그란트 15년 700ml; 글랜란트 15년; 글렌그란트 15년
w015,글렌그란트 익스플로레이션 No.1,The Glen Grant Exploration No.1,Glen Grant,싱글몰트,3,3,KR,79800,99800,더 글랜 그란트 익스플로레이션 넘버 1 700ml; 더 글랜 그란트 익스플로레이션 넘버원 700ml; 더 글렌 그란트 익스플로레이션 넘버 1
w016,탐두 15년,Tamdhu 15 Year Old,Tamdhu,싱글몰트,4,6,HK;KR;KR-DS,169800,474202,"Tamdhu - Speyside Single Malt Scotch Whisky, Aged 15 Years, 46%; Tamdhu 15 Year Old; 탐두 15년; 탐두 15년 700ml"
w017,벤리악 10년,BenRiach The Original Ten,BenRiach,싱글몰트,6,6,JP;KR,49940,148529,【世界五大ウイスキー】ベンリアック 10年 シングルモルト《瓶　700ml×1本》; ベンリアック 10年 43% 700ml 箱付 シングルモルト スコッチ ウイスキー; ベンリアック 10年 スモーキー 46% 700ml 箱付 シングルモルト スコッチ ウイスキー; 벤 10년
w018,글렌드로낙 12년,The GlenDronach 12 Year Old Original,GlenDronach,싱글몰트,13,17,HK;JP;KR;KR-DS,77000,226792,"GlenDronach - 12y, Original, 43%; GlenDronach Original 12 Years Old Single Malt Scotch Whisky; グレンドロナック 12年; ザ グレンドロナック 12年 43% 700ml 箱付 シングルモルト スコッチ ウイスキー"
w019,오반 14년,Oban 14 Year Old,Oban,싱글몰트,5,7,HK;KR;KR-DS,89400,243286,Oban 14 Year Old; Oban 14 Years Old Highland Single Malt Scotch Whisky; 오반 14년; 오반 14년 700ml
w020,글렌모렌지 12년,Glenmorangie 12 Year Old,Glenmorangie,싱글몰트,6,10,JP;KR;KR-DS,69800,193611,グレンモーレンジィ アコード 12年; グレンモーレンジィ オリジナル 12年; 글램 모렌지 D 오리지널 12년 700ml; 글렌모렌지 12년
w021,글렌모렌지 15년,Glenmorangie 15 Year Old,Glenmorangie,싱글몰트,2,3,JP;KR;KR-DS,97800,189714,グレンモーレンジィ ラサンタ 15年 シェリーカスク; 글렌모렌지 15년
w022,글렌모렌지 익스플로전 No.1,Glenmorangie Explosion No.1,Glenmorangie,싱글몰트,1,1,KR,99800,99800,글렌모렌지 익스플로전 #1
w023,달모어 12년,The Dalmore 12 Year Old,Dalmore,싱글몰트,3,7,HK;KR;KR-DS,99000,268027,"Dalmore - 12y, 40%; 달모어 12년; 달모어 12년 700ml"
w024,달모어 2005 빈티지,The Dalmore 2005 Vintage,Dalmore,싱글몰트,1,2,KR;KR-DS,670800,879000,달모어 2005 빈티지
w025,클라이넬리시 14년,Clynelish 14 Year Old,Clynelish,싱글몰트,6,7,HK;JP;KR,79400,243286,Clynelish 14 Year Old; Clynelish 14 Years Old Highland Single Malt Scotch Whisky; クライヌリッシュ 14年; クライヌリッシュ 14年 箱入り [ ウイスキー イギリス 700ml ]
w026,로얄 브라클라 12년,Royal Brackla 12 Year Old,Royal Brackla,싱글몰트,5,15,HK;KR;KR-DS,82900,243286,"Royal Brackla - 12y, 46%, Sherry Cask Finish; 로얄 브라클라 12년; 로얄 브라클라 12년 700ml; 브라클라 12년"
w027,에버펠디 16년,Aberfeldy 16 Year Old,Aberfeldy,싱글몰트,2,9,KR;KR-DS,75800,95437,에버펠 16년; 에버펠 16년 700ml
w028,글렌고인 캐스크 스트렝스 배치171,Glengoyne Cask Strength Batch 171,Glengoyne,싱글몰트,3,3,KR,85000,149800,글랜고인 CS 배치 11; 글렌고인 12년 글렌고인 10년; 블렌고인 CS 171
w029,글렌글라사 샌드엔드,Glenglassaugh Sandend,Glenglassaugh,싱글몰트,1,1,KR,79800,79800,글렌라사 샌드엔드
w030,글렌글라사 포트소이,Glenglassaugh Portsoy,Glenglassaugh,싱글몰트,1,1,KR,89800,89800,글렌라사 포트소이
w031,아란 셰리 캐스크,Arran Sherry Cask,Arran,싱글몰트,5,7,KR;KR-DS,99800,119000,아란 셰리 캐스크; 아란 쉐리케스크; 아란 쉐리케스크 700ml; 아란쉐리 캐스크
w032,탈리스커 10년,Talisker 10 Year Old,Talisker,싱글몰트,5,13,HK;JP;KR;KR-DS,67800,156692,Talisker 10 Year Old; タリスカー 10年 45.8% 正規品 700ml 箱付 スコッチ ウイスキー 新ラベル; タリスカー 10年 シングルモルト スコッチ ウイスキー｜スカイ島を代表するクラシックモルト; 탈리스커 10년
w033,탈리스커 9년,Talisker 9 Year Old,Talisker,싱글몰트,1,1,KR,25980,25980,탈리스커 9년
w034,탈리스커 와일더 시즈,Talisker Wilder Seas,Talisker,싱글몰트,1,1,KR,137900,137900,탈리스커 와일더시 700ml
w035,라프로익 10년,Laphroaig 10 Year Old,Laphroaig,싱글몰트,9,15,HK;JP;KR;KR-DS,69800,202050,"Laphroaig 10 Year Old; Laphroaig 10 Years Old Scotch Single Malt Whisky (700ml, 40%); 【世界五大ウイスキー】 ラフロイグ10年　43度　 正規品 《スコッチウイスキー｜瓶 750ml×1本》; ラフロイグ 10年 40% 700ml 箱付 シングルモルト スコッチ ウイスキー 並行品"
w036,라가불린 11년 오퍼맨 스위트피트,Lagavulin 11 Year Old Offerman Edition Sweet Peat,Lagavulin,싱글몰트,3,4,KR;KR-DS,89800,99800,라가불린 11년 스위트 피트; 라가불린 11년 스위트피트; 라가불린 8년 700ml
w037,오큰토션 10년,Auchentoshan 10 Year Old,Auchentoshan,싱글몰트,1,1,KR,74800,74800,오큰토션 10년
w038,글렌킨치 12년,Glenkinchie 12 Year Old,Glenkinchie,싱글몰트,2,2,KR,59800,89000,글렌킨치 12년; 글렌킨치12
w039,스트라스클라이드 1990 31년 (옥타브),Duncan Taylor The Octave Strathclyde 1990 31 Year Old,Duncan Taylor,싱글그레인,1,1,KR,69800,69800,옥타브 스트레스 클라이드 1990 31년
w040,뱅크홀 싱글몰트,Bankhall Single Malt,Bankhall,싱글몰트,7,10,KR,29940,37980,뱅콜 싱글트 위스키 700ml; 뱅크홀; 뱅크홀 싱글 모트 위스키 700ml; 뱅크홀 싱글 몰트 위스키 700ml
w041,몽키숄더,Monkey Shoulder,Monkey Shoulder,블렌디드몰트,3,21,KR;KR-DS,42290,51900,몽키 숄더; 몽키 숄더 700ml; 몽키숄더
w042,조니워커 그린라벨 15년,Johnnie Walker Green Label 15 Year Old,Johnnie Walker,블렌디드몰트,10,17,JP;KR;KR-DS,65900,120508,ジョニーウォーカー グリーンラベル 15年 700ml 43%; 조니어 그린; 조니워커 그린; 조니워커 그린 15년
w043,발렌타인 파이니스트,Ballantine's Finest,Ballantine's,블렌디드,2,5,KR;KR-DS,25800,28980,발렌타인 파이니스트; 발렌타인 파이니스트 1L
w044,발렌타인 10년,Ballantine's 10 Year Old,Ballantine's,블렌디드,4,12,JP;KR;KR-DS,25800,63374,バランタイン 10年; 발렌타인 10년; 발렌타인 10년 500ml; 발렌타인 10년 700ml
w045,발렌타인 12년,Ballantine's 12 Year Old,Ballantine's,블렌디드,3,3,JP;KR,72595,142455,バランタイン 12年; 新 バランタイン シングルモルト グレンバーギー 12年; 발렌타인 싱글트 글램버기 12년 500ml
w046,발렌타인 싱글몰트 15년,Ballantine's Single Malt 15 Year Old,Ballantine's,싱글몰트,4,6,JP;KR;KR-DS,94800,214858,新 バランタイン シングルモルト グレンバーギー 15年; 발렌타인 싱글 몰트 글램버이 15년 700ml; 발렌타인 싱글몰트 15년; 발렌타인 싱글트 글램버기 15년 700ml
w047,발렌타인 21년,Ballantine's 21 Year Old,Ballantine's,블렌디드,4,10,JP;KR;KR-DS,182900,380108,バランタイン 21年; バランタイン 21年 700ml 並行 箱付 700ml; 발렌타인 21년; 발렌타인 21년 700ml
w048,시바스 리갈 12년,Chivas Regal 12 Year Old,Chivas Regal,블렌디드,3,4,JP;KR,63900,124574,【世界五大ウイスキー】スコッチウイスキー シーバスリーガル 12年水楢《瓶 700ml×1本》; シーバスリーガル　匠　リザーブ　12年　40度《瓶 700ml×1本》; 시바스리갈 12년산
