raw_name,status,canonical_id,canonical_name_ko,match_reason
"""Around the World in 12 Days"" Whiskies Advent Calendar Set",unmatched,,,
"""Around the World in 24 Days"" Spirits Advent Calendar Set",unmatched,,,
"""Around the World in 24 Days"" Whiskies Advent Calendar Set A",unmatched,,,
"""Bespoke"" Make Your Own Whisky & Spirits Set (2 x Full Bottles)",unmatched,,,
"""Kanosuke Japanese Whisky Tasting"" at Mizunara: The Library on 24 Nov, 4PM",unmatched,,,
"""Meet the Founders""  Dinner with the Founders in Call me AL (July 11th, 7pm-9pm)",unmatched,,,
"""Unfold The Tamras Gin Story"" Masterclass with The Founder at PDT's Sunday School (July 16th, 4pm-6pm)",unmatched,,,
"""Whisky Blending Workshop"" at Mizunara: The Library on 23 Feb,  4PM",unmatched,,,
"""Whisky Blind Tasting Challenge"" at Mizunara: The Library on 10 Nov, 4PM",unmatched,,,
&gt;&gt; &gt;&gt; 골든 블루 사피루스 450ml,matched,w064,골든블루 사피루스,rule
"*PRE-ORDER 預訂* Kowloon Spirits  - Single Malt Whiskey Exclusive Barrel, 750ml",unmatched,,,
1776 波本威士忌,unmatched,,,
1776 裸麥威士忌,unmatched,,,
1792 Small Batch Kentucky Straight Bourbon Whiskey,matched,w070,1792 스몰배치,rule
1792 小批次波本威士忌,matched,w070,1792 스몰배치,rule
1792 스몰 배치,matched,w070,1792 스몰배치,rule
1792 스몰 배치 750ml,matched,w070,1792 스몰배치,rule
1792 스몰배치,matched,w070,1792 스몰배치,rule
1792 풀프루프가,matched,w070,1792 스몰배치,rule
"Aberfeldy - Single Malt Scotch Whisky 12y, 40%, 75cl",unmatched,,,
"Aberfeldy - Single Malt Scotch Whisky 16y, 40%, 70cl",matched,w027,에버펠디 16년,en
Aberfeldy 12 Years Old Single Malt Scotch Whisky,unmatched,,,
Aberfeldy 23 Year Old 2001 Hand Filled Oloroso Sherry Cask 500058,unmatched,,,
Aberlour 12 Year Old 2010 Distillery Reserve Collection Single Cask 91955,unmatched,,,
Aberlour 12 Years Old Double Cask Matured Single Malt Scotch Whisky,matched,w010,아벨라워 12년 더블캐스크,en
Aberlour 16 Years Old Double Cask Matured Single Malt Scotch Whisky,unmatched,,,
Aberlour 18 Year Old Double Sherry Cask Finish,unmatched,,,
Aberlour A'bunadh Batch 67 Single Malt Scotch Whisky,unmatched,,,
Aberlour A'bunadh Batch 80,unmatched,,,
"Abyss Whisky Bar ""7 Course Chinese Food Pairing x Kilchoman Islay Whisky"" with Peter Wills on April 15th 2023 @ 7:30 p.m.",unmatched,,,
Adelphi - Dailuaine 10 Year Old 2015 Cask 300973,unmatched,,,
Adelphi - Inchgower 14 Year Old 2010 Cask 809891,unmatched,,,
"Adelphi - Islay (Caol Ila) 10y, Single Malt Whisky, 46%,70cl, 1800B",unmatched,,,
"Adelphi - Loyal Old Mature Private Stock, Blended Scotch Whisky, 40%, 70cl",unmatched,,,
"Adelphi - Private Stock Reserve 8y, Peated blend, 46%, 70cl, 1800B",unmatched,,,
"Adelphi - Speyside (Glen Elgin) 10y, Single Malt Whisky, 46%,70cl, 1800B",unmatched,,,
"Adelphi - The Kincardine, Single Malt Scotch + Indian Whisky 7y, 52.9%, 820b",unmatched,,,
"Adelphi Limited - Benrinnes 33y, 1984, 57.3%, 395b",unmatched,,,
"Adelphi Limited - Breath of Speyside 30y, 1992, 50.3%, 194b",unmatched,,,
"Adelphi Limited - Bunnahabhain 23y, 1998, 53.5%, 587b, IB Single Malt Scotch Whisky",unmatched,,,
"Adelphi Limited - Glen Grant 22y, 1985, 62.1%, 64b, IB Single Malt Scotch Whisky",unmatched,,,
"Adelphi Limited - Glen Grant 28y, 1992, 52.5%, 185b",unmatched,,,
"Adelphi Limited - Miltonduff 36y, 1981, 51.8%, 138b",unmatched,,,
"Adelphi Limited - Mortlach 25y, 1993, 56.1%, 385b",unmatched,,,
"Adelphi Limited - Mortlach 36y, 1986, 51.4%, 176b",unmatched,,,
"Adelphi Limited - Teaninich 34y, 1983, 44%, 190b",unmatched,,,
"Adelphi Selection - Ardmore 8y Refill Oloroso Butt, 2016, 59.7%, 632b",unmatched,,,
"Adelphi Selection - Arran 11y Refill Oloroso HHD Unpeated , 2014, 57.6%, 318b",unmatched,,,
"Adelphi Selection - Aultmore 18y, 2000, 55% , 480b",unmatched,,,
"Adelphi Selection - Ben Nevis 11y Refill Oloroso Butt 2013, 59.9%, 624b",unmatched,,,
"Adelphi Selection - Benrinnes 11y, 2011, 56.2%, 341b",unmatched,,,
"Adelphi Selection - Benrinnes 14y Refill Oloroso HHD 2011, 56.2%, 282b",unmatched,,,
"Adelphi Selection - Caol Ila 10y 2014, 55.4%, 310b",unmatched,,,
"Adelphi Selection - Chichibu 7y, 2013, 57.8%, 210b",unmatched,,,
"Adelphi Selection - Clynelish 9y, Refill Oloroso Butt, 2015-2024, 54.5%, 477b",unmatched,,,
"Adelphi Selection - Dailuaine 10y, 2015, 57.9%, 311b",unmatched,,,
"Adelphi Selection - Dailuaine 12y Refill Oloroso HHD 2013, 53.5%, 265b",unmatched,,,
"Adelphi Selection - Fascadale Batch 10 Highland Park 14y, 46%",unmatched,,,
"Adelphi Selection - Glen Garioch 13y 1st Fill ASB , 2011, 57%, 231b",unmatched,,,
"Adelphi Selection - Glen Garioch 9y, 2011, 58.5%, 462b",unmatched,,,
