canonical_id,name_ko,name_en,brand,category,n_aliases,n_rows,markets,min_krw,max_krw,alias_examples
w001,글렌리벳 12년,The Glenlivet 12 Year Old,Glenlivet,싱글몰트,3,4,HK;KR;KR-DS,60900,139214,Glenlivet 12 Year Old Double Oak; 글렌리벳 12년; 글렌리벳 12년 1L
w002,글렌리벳 15년,The Glenlivet 15 Year Old French Oak Reserve,Glenlivet,싱글몰트,5,14,HK;KR;KR-DS,89000,241575,Glenlivet 15 Years Old French Oak Reserve Single Malt Scotch Whisky; 글렌리벳 15년; 글렌리벳 15년 700ml; 더 글렌리벳 15년
w003,글렌리벳 17년 스몰배치,The Glenlivet 17 Year Old Small Batch,Glenlivet,싱글몰트,3,4,HK;KR,229800,814806,Glen Moray - Glenlivet Speyside 17 Years Cadenhead Small Batch Single Malt Scotch Whisky; 글렌리벳 17년 스몰 배치 2 700ml; 더 글렌리벳 17년 스몰 배치 2
w004,글렌리벳 19년 스몰배치,The Glenlivet 19 Year Old Small Batch,Glenlivet,싱글몰트,3,4,KR;KR-DS,349800,379800,글렌리벳 19년 스몰 배치 2; 글렌리벳 19년 스몰 배치 2 700ml; 더 글렌리벳 19년 스몰 배치 2
w005,글렌피딕 12년,Glenfiddich 12 Year Old,Glenfiddich,싱글몰트,3,13,HK;KR;KR-DS,69000,159686,"Glenfiddich - 12y, 40%; 글렌피딕 12년; 글렌피딕 12년 700ml"
w006,글렌피딕 14년 버번배럴,Glenfiddich 14 Year Old Bourbon Barrel Reserve,Glenfiddich,싱글몰트,3,10,KR;KR-DS,95900,99800,글렌피딕 14년; 글렌피딕 14년 버번 캐스크 700ml; 글렌피딕 14년 법원 캐스크
w007,글렌피딕 15년,Glenfiddich 15 Year Old Solera,Glenfiddich,싱글몰트,6,17,KR;KR-DS,96900,109800,글렌피딕 15년; 글렌피딕 15년 700ml; 글렌피딕 15년 싱글 몰트 위스키; 글렌피딕 15년 싱글 몰트 위스키 700ml
w008,발베니 12년 더블우드,The Balvenie DoubleWood 12 Year Old,Balvenie,싱글몰트,7,22,KR;KR-DS,94900,99900,발베니 12년; 발베니 12년 700ml; 발베니 12년 더블 우드 700ml; 발베니 12년 더블로드 700ml
w009,발베니 14년 캐리비안 캐스크,The Balvenie Caribbean Cask 14 Year Old,Balvenie,싱글몰트,7,19,HK;KR;KR-DS,134900,368506,"Balvenie - Caribbean Cask 14y, 43%; Balvenie Caribbean Cask 14 Years Single Malt Scotch Whisky; 발베니 14년 &gt;&gt; &gt;&gt; 캐리비안 캐스크 700ml; 발베니 14년 캐리비안 캐스크"
w010,아벨라워 12년 더블캐스크,Aberlour 12 Year Old Double Cask Matured,Aberlour,싱글몰트,1,1,HK,241575,241575,Aberlour 12 Years Old Double Cask Matured Single Malt Scotch Whisky
