video_id,t_sec,hhmmss,path,mean_diff,n_frames
JM7Vc6j0J44,23.4,000023,JM7Vc6j0J44_000023.jpg,1.248,16
JM7Vc6j0J44,30.2,000030,JM7Vc6j0J44_000030.jpg,0.731,7
JM7Vc6j0J44,31.6,000032,JM7Vc6j0J44_000032.jpg,0.161,2
JM7Vc6j0J44,32.2,000032,JM7Vc6j0J44_000032_1.jpg,0.0,5
JM7Vc6j0J44,35.2,000035,JM7Vc6j0J44_000035.jpg,1.421,25
JM7Vc6j0J44,39.2,000039,JM7Vc6j0J44_000039.jpg,1.646,5
JM7Vc6j0J44,41.8,000042,JM7Vc6j0J44_000042.jpg,2.004,20
JM7Vc6j0J44,47.2,000047,JM7Vc6j0J44_000047.jpg,0.645,25
JM7Vc6j0J44,53.2,000053,JM7Vc6j0J44_000053.jpg,1.598,25
JM7Vc6j0J44,59.2,000059,JM7Vc6j0J44_000059.jpg,1.62,25
JM7Vc6j0J44,75.4,000115,JM7Vc6j0J44_000115.jpg,2.658,6
JM7Vc6j0J44,76.2,000116,JM7Vc6j0J44_000116.jpg,2.689,2
JM7Vc6j0J44,77.2,000117,JM7Vc6j0J44_000117.jpg,2.994,2
JM7Vc6j0J44,82.6,000123,JM7Vc6j0J44_000123.jpg,2.16,19
JM7Vc6j0J44,85.4,000125,JM7Vc6j0J44_000125.jpg,2.615,4
JM7Vc6j0J44,95.2,000135,JM7Vc6j0J44_000135.jpg,1.205,25
JM7Vc6j0J44,101.4,000141,JM7Vc6j0J44_000141.jpg,2.716,5
JM7Vc6j0J44,102.2,000142,JM7Vc6j0J44_000142.jpg,2.813,2
JM7Vc6j0J44,106.8,000147,JM7Vc6j0J44_000147.jpg,2.516,12
JM7Vc6j0J44,108.2,000148,JM7Vc6j0J44_000148.jpg,2.638,2
JM7Vc6j0J44,109.2,000149,JM7Vc6j0J44_000149.jpg,2.789,3
JM7Vc6j0J44,111.4,000151,JM7Vc6j0J44_000151.jpg,2.573,6
JM7Vc6j0J44,112.2,000152,JM7Vc6j0J44_000152.jpg,2.858,2
JM7Vc6j0J44,114.2,000154,JM7Vc6j0J44_000154.jpg,2.256,16
JM7Vc6j0J44,117.2,000157,JM7Vc6j0J44_000157.jpg,2.579,5
JM7Vc6j0J44,119.2,000159,JM7Vc6j0J44_000159.jpg,2.703,15
JM7Vc6j0J44,125.2,000205,JM7Vc6j0J44_000205.jpg,1.283,25
JM7Vc6j0J44,131.2,000211,JM7Vc6j0J44_000211.jpg,0.887,25
JM7Vc6j0J44,137.2,000217,JM7Vc6j0J44_000217.jpg,1.073,25
JM7Vc6j0J44,143.2,000223,JM7Vc6j0J44_000223.jpg,1.938,25
JM7Vc6j0J44,147.0,000227,JM7Vc6j0J44_000227.jpg,1.796,2
JM7Vc6j0J44,149.4,000229,JM7Vc6j0J44_000229.jpg,2.098,23
JM7Vc6j0J44,155.2,000235,JM7Vc6j0J44_000235.jpg,0.319,25
JM7Vc6j0J44,161.2,000241,JM7Vc6j0J44_000241.jpg,1.833,25
JM7Vc6j0J44,173.2,000253,JM7Vc6j0J44_000253.jpg,1.933,25
JM7Vc6j0J44,179.8,000300,JM7Vc6j0J44_000300.jpg,2.735,10
JM7Vc6j0J44,181.2,000301,JM7Vc6j0J44_000301.jpg,2.882,2
JM7Vc6j0J44,185.2,000305,JM7Vc6j0J44_000305.jpg,1.632,25
JM7Vc6j0J44,191.2,000311,JM7Vc6j0J44_000311.jpg,0.991,25
JM7Vc6j0J44,197.2,000317,JM7Vc6j0J44_000317.jpg,2.224,25
JM7Vc6j0J44,201.8,000322,JM7Vc6j0J44_000322.jpg,2.898,10
JM7Vc6j0J44,203.2,000323,JM7Vc6j0J44_000323.jpg,2.854,2
JM7Vc6j0J44,215.2,000335,JM7Vc6j0J44_000335.jpg,2.078,25
JM7Vc6j0J44,225.6,000346,JM7Vc6j0J44_000346.jpg,2.664,9
JM7Vc6j0J44,227.2,000347,JM7Vc6j0J44_000347.jpg,2.766,2
JM7Vc6j0J44,228.2,000348,JM7Vc6j0J44_000348.jpg,2.674,2
JM7Vc6j0J44,229.2,000349,JM7Vc6j0J44_000349.jpg,2.893,2
JM7Vc6j0J44,233.2,000353,JM7Vc6j0J44_000353.jpg,0.729,25
JM7Vc6j0J44,239.2,000359,JM7Vc6j0J44_000359.jpg,1.955,25
JM7Vc6j0J44,245.4,000405,JM7Vc6j0J44_000405.jpg,1.171,26
JM7Vc6j0J44,251.2,000411,JM7Vc6j0J44_000411.jpg,1.107,25
JM7Vc6j0J44,262.8,000423,JM7Vc6j0J44_000423.jpg,2.535,9
JM7Vc6j0J44,268.2,000428,JM7Vc6j0J44_000428.jpg,2.987,2
JM7Vc6j0J44,275.2,000435,JM7Vc6j0J44_000435.jpg,1.183,25
JM7Vc6j0J44,281.2,000441,JM7Vc6j0J44_000441.jpg,1.514,25
JM7Vc6j0J44,285.6,000446,JM7Vc6j0J44_000446.jpg,2.255,9
JM7Vc6j0J44,288.8,000449,JM7Vc6j0J44_000449.jpg,2.448,9
JM7Vc6j0J44,305.2,000505,JM7Vc6j0J44_000505.jpg,1.953,25
JM7Vc6j0J44,311.4,000511,JM7Vc6j0J44_000511.jpg,2.204,24
JM7Vc6j0J44,317.2,000517,JM7Vc6j0J44_000517.jpg,0.66,25
JM7Vc6j0J44,323.2,000523,JM7Vc6j0J44_000523.jpg,1.716,25
JM7Vc6j0J44,329.2,000529,JM7Vc6j0J44_000529.jpg,0.883,25
JM7Vc6j0J44,335.2,000535,JM7Vc6j0J44_000535.jpg,0.56,25
JM7Vc6j0J44,341.2,000541,JM7Vc6j0J44_000541.jpg,1.05,25
JM7Vc6j0J44,347.4,000547,JM7Vc6j0J44_000547.jpg,0.88,26
