수집일,위스키명,가격_KRW,데일리샷상품명,정확도,할인율,국내위치,URL,비고
2026-06-11,1792 스몰배치,65500,1792 스몰 배치 700ml,정확,0,트레이더스,https://dailyshot.co/m/product/14532,셀러 1/4 중 최저
2026-06-11,1792 풀프루프가,,,,,이마트,,MISS / 검색후보 26
2026-06-11,가쿠빈,35800,산토리 가쿠빈,근접,20,코스트코 / 트레이더스,https://dailyshot.co/m/product/2981,셀러 6/39 중 최저 / 노출가 할인 20%
2026-06-11,골든 블루 사피루스,25200,골든블루 더 사피루스 330ml,근접,0,트레이더스,https://dailyshot.co/m/product/24358,셀러 6/6 중 최저
2026-06-11,골든블루 다이아몬드,49000,골든블루 더 다이아몬드,근접,0,트레이더스,https://dailyshot.co/m/product/4975,셀러 4/4 중 최저
2026-06-11,골든블루 사파이러스,,,,,트레이더스,,MISS / 검색후보 18
2026-06-11,글랜그란트 12년,,,,,트레이더스,,MISS / 검색후보 17
2026-06-11,글랜드로 오드 to투더 엠버스,,,,,트레이더스,,MISS / 검색후보 12
2026-06-11,글랜드로 오드투더 다크,,,,,트레이더스,,MISS / 검색후보 25
2026-06-11,글랜드로 오드투더 밸리,,,,,트레이더스,,MISS / 검색후보 25
2026-06-11,글랜드로나 12년,,,,,트레이더스,,MISS / 검색후보 52
2026-06-11,글랜파 클라스 12년,,,,,트레이더스,,MISS / 검색후보 52
2026-06-11,글램 모렌지 D 오리지널 12년,,,,,코스트코,,MISS / 검색후보 50
2026-06-11,글렌그란트 12년,59900,더 글렌그란트 12년,근접,0,트레이더스,https://dailyshot.co/m/product/3155,셀러 4/10 중 최저
2026-06-11,글렌그란트 15년,89403,더 글렌그란트 15년 배치 스트렝스 1L,근접,54,트레이더스,https://dailyshot.co/m/product/7987,셀러 5/9 중 최저 / 노출가 할인 54%
2026-06-11,글렌드로낙 12년,77000,더 글렌드로낙 12년,근접,0,트레이더스,https://dailyshot.co/m/product/23310,셀러 2/20 중 최저
2026-06-11,글렌라키 10년 루비 포트,,,,,트레이더스,,MISS / 검색후보 40
2026-06-11,글렌리벳 12년,60900,더 글렌리벳 12년,근접,0,트레이더스,https://dailyshot.co/m/product/2330,셀러 6/13 중 최저
2026-06-11,글렌리벳 15년,89000,더 글렌리벳 15년,근접,0,트레이더스,https://dailyshot.co/m/product/1649,셀러 3/8 중 최저
2026-06-11,글렌리벳 17년 스몰 배치 2,,,,,트레이더스,,MISS / 검색후보 1
2026-06-11,글렌리벳 19년 스몰 배치 2,,,,,트레이더스,,MISS / 검색후보 1
2026-06-11,글렌모렌지 12년,92000,글렌모렌지 라산타 12년,근접,0,트레이더스,https://dailyshot.co/m/product/8196,셀러 2/6 중 최저
2026-06-11,글렌모렌지 15년,136600,글렌모렌지 더 라산타 15년,근접,14,트레이더스,https://dailyshot.co/m/product/29554,셀러 1/2 중 최저 / 노출가 할인 14%
2026-06-11,글렌모렌지 D 오리지널 12년,,,,,코스트코,,MISS / 검색후보 50
2026-06-11,글렌모렌지 익스플로전 #1,,,,,트레이더스,,MISS / 검색후보 44
2026-06-11,글렌알라키 10년 루비포트,185000,글렌알라키 10년 루비 포트 우드 피니시,근접,0,트레이더스,https://dailyshot.co/m/product/23695,셀러 1/5 중 최저
2026-06-11,글렌피딕 12년,69000,글렌피딕 12년 700ml,근접,0,트레이더스,https://dailyshot.co/m/product/2329,셀러 7/21 중 최저
2026-06-11,글렌피딕 12년 쉐리케스크,,,,,코스트코,,MISS / 검색후보 5
2026-06-11,글렌피딕 14년,105000,글렌피딕 14년 버번 배럴 리저브,근접,0,트레이더스,https://dailyshot.co/m/product/22707,셀러 5/5 중 최저
2026-06-11,글렌피딕 14년 버번 캐스크,,,,,트레이더스,,MISS / 검색후보 53
2026-06-11,글렌피딕 15년,105000,글렌피딕 15년,근접,0,코스트코 / 트레이더스,https://dailyshot.co/m/product/1650,셀러 6/12 중 최저
2026-06-11,달모어 12년,113000,달모어 12년,근접,0,트레이더스,https://dailyshot.co/m/product/3167,셀러 6/14 중 최저
2026-06-11,달모어 12년 쉐리캐스크,,,,,코스트코,,MISS / 검색후보 6
2026-06-11,달모어 12년 쉐리케스크,,,,,코스트코,,MISS / 검색후보 6
2026-06-11,달모어 12년 쉐리케스크 싱글 모트 위스키,,,,,코스트코,,MISS / 검색후보 6
2026-06-11,달모어 12년 쉐리케스크 싱글 몰트 위스키,,,,,코스트코,,MISS / 검색후보 6
2026-06-11,달모어 12년 쉐리케스크 싱글트 위스키,,,,,코스트코,,MISS / 검색후보 6
2026-06-11,달모어 2005 빈티지,879000,[매장행사중 재고확인] 달모어 2005 빈티지,근접,0,트레이더스,https://dailyshot.co/m/product/5485,셀러 1/1 중 최저
2026-06-11,더 글랜 그란트 12년,,,,,트레이더스,,MISS / 검색후보 52
2026-06-11,더 글랜 그란트 익스플로레이션 넘버 1,,,,,트레이더스,,MISS / 검색후보 29
2026-06-11,더 글랜 그란트 익스플로레이션 넘버원,,,,,트레이더스,,MISS / 검색후보 33
2026-06-11,더 글랜드 로낙 12년,,,,,트레이더스,,MISS / 검색후보 48
2026-06-11,더 글랜드 로드투더 다크,,,,,트레이더스,,MISS / 검색후보 30
2026-06-11,더 글랜드 로드투더 닥,,,,,트레이더스,,MISS / 검색후보 32
2026-06-11,더 글렌리벳 15년 싱글몰트 위스키,,,,,코스트코,,MISS / 검색후보 0
2026-06-11,듀어스 12년,38800,듀어스 12년 700ml,근접,36,트레이더스,https://dailyshot.co/m/product/3695,셀러 6/8 중 최저 / 노출가 할인 36%
2026-06-11,듀어스 12년 퍼스트필 버번 캐스크,,,,,이마트 / 트레이더스,,MISS / 검색후보 0
2026-06-11,듀어스 12년 퍼스트필 법원 케스크,,,,,트레이더스,,MISS / 검색후보 0
2026-06-11,듀어스 15년,48588,듀어스 15년 1L,근접,50,트레이더스,https://dailyshot.co/m/product/16584,셀러 4/6 중 최저 / 노출가 할인 50%
2026-06-11,듀어스 15년 파이노크 스페셜 리저브,,,,,트레이더스,,MISS / 검색후보 2
2026-06-11,듀어스 15년 파인노크 스페셜 리저브,,,,,트레이더스,,MISS / 검색후보 2
2026-06-11,듀어스 18년,118000,듀어스 18년,근접,0,트레이더스,https://dailyshot.co/m/product/4781,셀러 4/6 중 최저
2026-06-11,듀어스 18년 미즈나라 캐스크,,,,,코스트코,,MISS / 검색후보 3
2026-06-11,라가불린 11년 스위트 피트,99800,라가불린 11년 스위트 피트,근접,0,트레이더스,https://dailyshot.co/m/product/33217,셀러 2/3 중 최저
2026-06-11,라프로익 10년,99900,라프로익 10년 43% 700ml,근접,0,이마트 / 트레이더스,https://dailyshot.co/m/product/12972,셀러 1/15 중 최저
2026-06-11,라프로익 오크셀렉트,48000,라프로익 오크 셀렉트,정확,4,이마트,https://dailyshot.co/m/product/26316,셀러 2/2 중 최저 / 노출가 할인 4%
2026-06-11,라프로잇 10년,,,,,트레이더스,,MISS / 검색후보 52
2026-06-11,러셀 리저브 10년,99000,러셀 리저브 10년 700ml,근접,0,이마트 / 트레이더스,https://dailyshot.co/m/product/12141,셀러 1/8 중 최저
2026-06-11,러셀 리저브 싱글 배럴,115000,러셀 리저브 싱글배럴,근접,0,트레이더스,https://dailyshot.co/m/product/15504,셀러 5/33 중 최저
2026-06-11,러셀 리저브 싱글 베럴,,,,,트레이더스,,MISS / 검색후보 15
2026-06-11,러셀스 리저브 싱글배럴,,,,,트레이더스,,MISS / 검색후보 0
2026-06-11,로얄 브라클라 12년,,,,,코스트코 / 트레이더스,,MISS / 검색후보 0
2026-06-11,로얄 살루트 21년,,,,,트레이더스,,MISS / 검색후보 0
2026-06-11,린도어스 1494 코어 위스키,,,,,이마트,,MISS / 검색후보 0
2026-06-11,맥캘란 12년 더블 캐스크 싱글 모트 위스키,,,,,코스트코,,MISS / 검색후보 0
2026-06-11,맥캘란 12년 더블캐스크,,,,,코스트코 / 트레이더스,,MISS / 검색후보 0
2026-06-11,맥캘란 쉐리오크 12년,,,,,트레이더스,,MISS / 검색후보 0
2026-06-11,몽키숄더,,,,,코스트코 / 트레이더스,,MISS / 검색후보 0
2026-06-11,발렌타인 10년,,,,,트레이더스,,MISS / 검색후보 0
2026-06-11,발렌타인 17년,,,,,코스트코,,MISS / 검색후보 0
2026-06-11,발렌타인 17년 말본 리미티드 에디션,,,,,트레이더스,,MISS / 검색후보 0
2026-06-11,발렌타인 17년산,,,,,코스트코,,MISS / 검색후보 0
2026-06-11,발렌타인 21년,,,,,코스트코 / 트레이더스,,MISS / 검색후보 0
2026-06-11,발렌타인 싱글몰트 15년,,,,,트레이더스,,MISS / 검색후보 0
2026-06-11,발렌타인 싱글트 글램버기 15년,,,,,트레이더스,,MISS / 검색후보 0
2026-06-11,발렌타인 싱글트 글램버기 16년 스몰 배치,,,,,트레이더스,,MISS / 검색후보 0
2026-06-11,발렌타인 싱글트 글램버이 16년 스몰 배치,,,,,트레이더스,,MISS / 검색후보 0
2026-06-11,발렌타인 파이니스트,,,,,트레이더스,,MISS / 검색후보 0
2026-06-11,발베니 12년,,,,,코스트코 / 트레이더스,,MISS / 검색후보 0
2026-06-11,발베니 12년 더블로드,,,,,코스트코,,MISS / 검색후보 0
