술이름,가격_KRW,위치,지점,가져온날짜,출처,신뢰도,비고
라가불린 11년 오퍼맨 스위트피트 700ml,89800,트레이더스,동탄점,2026-05-20,유튜브 @whiskeykey / PI6s6wIHdKw @ 119초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '라가불린 11년 스윗피르 700m'→라가불린 11년 오퍼맨 스위트피트; id=w036; brand_score=1.0
포 로지스 스몰배치 셀렉트 750ml,116800,트레이더스,동탄점,2026-05-20,유튜브 @whiskeykey / PI6s6wIHdKw @ 473초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '포로지스스몰배치셀렉트 750m'→포 로지스 스몰배치 셀렉트; id=w079; brand_score=0.85
에반 윌리엄스 12년 750ml,99800,트레이더스,구월점,2026-05-27,유튜브 @whiskeypick / nYUtBO0v7vI @ 22초 (프레임OCR · 트레이더스 구월점),중,프레임OCR 보정 '에반 월리엄스 12년750ml'→에반 윌리엄스 12년; id=w081; brand_score=0.83
글렌드로(?) 오드 투 더 엠버스 700ml,99400,트레이더스,구월점,2026-05-27,유튜브 @whiskeypick / nYUtBO0v7vI @ 45초 (프레임OCR · 트레이더스 구월점),중,프레임OCR 보정 '더글랜드로낙 오드 투더앵버스 700m'→글렌드로(?) 오드 투 더 엠버스; id=w086; brand_score=0.64
달모어 12년 700ml,99800,트레이더스,구월점,2026-05-27,유튜브 @whiskeypick / nYUtBO0v7vI @ 52초 (프레임OCR · 트레이더스 구월점),중,프레임OCR 보정 '달모어12년700ml'→달모어 12년; id=w023; brand_score=1.0
벤리악 10년 700ml,49940,트레이더스,구월점,2026-05-27,유튜브 @whiskeypick / nYUtBO0v7vI @ 218초 (프레임OCR · 트레이더스 구월점),중,프레임OCR 보정 '벤리약 10년700ml'→벤리악 10년; id=w017; brand_score=0.67
버팔로 트레이스,42980,트레이더스,구월점,2026-05-27,유튜브 @whiskeypick / nYUtBO0v7vI @ 267초 (프레임OCR · 트레이더스 구월점),중,프레임OCR 보정 '버밀로 트레이스IL'→버팔로 트레이스; id=w069; brand_score=0.75
커티삭 프로히비션 1L,39980,트레이더스,구월점,2026-05-27,유튜브 @whiskeypick / nYUtBO0v7vI @ 310초 (프레임OCR · 트레이더스 구월점),중,프레임OCR 보정 '커티삭프로히비션1L'→커티삭 프로히비션; id=w058; brand_score=1.0
1792 스몰배치 750ml,44980,트레이더스,동탄점,2026-05-20,유튜브 @whiskeykey / PI6s6wIHdKw @ 43초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '1792스몰배치 750ml'→1792 스몰배치; id=w070; brand_score=1.0
골든블루 사피루스 450ml,28980,트레이더스,동탄점,2026-05-20,유튜브 @whiskeykey / PI6s6wIHdKw @ 49초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '골든블루 사피루스 450ml'→골든블루 사피루스; id=w064; brand_score=1.0
글렌그란트 12년,59400,트레이더스,동탄점,2026-05-20,유튜브 @whiskeykey / PI6s6wIHdKw @ 56초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '더글렌그란트12년 700mI'→글렌그란트 12년; id=w013; brand_score=0.91
글렌그란트 15년 700ml,89400,트레이더스,동탄점,2026-05-20,유튜브 @whiskeykey / PI6s6wIHdKw @ 59초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '더글렌그란트15년700m'→글렌그란트 15년; id=w014; brand_score=0.91
글렌리벳 15년 700ml,94800,트레이더스,동탄점,2026-05-20,유튜브 @whiskeykey / PI6s6wIHdKw @ 66초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '더글렌리벳15년700m'→글렌리벳 15년; id=w002; brand_score=0.89
글렌킨치 12년 700ml,59800,트레이더스,동탄점,2026-05-20,유튜브 @whiskeykey / PI6s6wIHdKw @ 73초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '글렌킨치12년700ml'→글렌킨치 12년; id=w038; brand_score=1.0
노마드 아웃랜드 셰리 피니시 700ml,49980,트레이더스,동탄점,2026-05-20,유튜브 @whiskeykey / PI6s6wIHdKw @ 97초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '노마드아웃랜드세리피니시700m'→노마드 아웃랜드 셰리 피니시; id=w060; brand_score=0.79
달모어 12년 700ml,99800,트레이더스,동탄점,2026-05-20,유튜브 @whiskeykey / PI6s6wIHdKw @ 101초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '달모어12년 700m'→달모어 12년; id=w023; brand_score=alias_exact
듀어스 12년 700ml,39980,트레이더스,동탄점,2026-05-20,유튜브 @whiskeykey / PI6s6wIHdKw @ 109초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '듀어스 12년퍼스트 필버번캐스크 700m'→듀어스 12년; id=w055; brand_score=1.0
듀어스 15년 700ml,59400,트레이더스,동탄점,2026-05-20,유튜브 @whiskeykey / PI6s6wIHdKw @ 113초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '듀어스 15년파인오크스페셜리저브 700m'→듀어스 15년; id=w056; brand_score=1.0
러셀스 리저브 싱글배럴 750ml,89400,트레이더스,동탄점,2026-05-20,유튜브 @whiskeykey / PI6s6wIHdKw @ 126초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '러셀리저브싱글배럴750m'→러셀스 리저브 싱글배럴; id=w077; brand_score=0.78
메이커스 마크 1L,49980,트레이더스,동탄점,2026-05-20,유튜브 @whiskeykey / PI6s6wIHdKw @ 139초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '메이커스 마크1L'→메이커스 마크; id=w071; brand_score=1.0
발렌타인 싱글몰트 글렌버기 16년,169800,트레이더스,동탄점,2026-05-20,유튜브 @whiskeykey / PI6s6wIHdKw @ 173초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '발렌타인 싱글몰트글렌버기16년스몰배치'→발렌타인 싱글몰트 글렌버기 16년; id=w092; brand_score=0.96
발렌타인 파이니스트 1L,28980,트레이더스,동탄점,2026-05-20,유튜브 @whiskeykey / PI6s6wIHdKw @ 179초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '발렌타인파이니스트 1L'→발렌타인 파이니스트; id=w043; brand_score=1.0
