술이름,기준가_HKD,정가_HKD,환율_HKDKRW,기준가_KRW,반입추정가_KRW_관세20,반입추정가_KRW_FTA0,재고,출처,가져온날짜,URL,비고
"Tankyu Distillery - Whisky New Make, 63%, 10cl",220.0,,179.673829,39528,101015,84179,Y,Caskells(Shopify products.json),2026-08-10,https://www.caskells.com/products/tankyu-distillery-whisky-new-make-63-10cl,
"Michel Couvreur - CAP A PIE, Whisky, 45%",1050.0,,179.673829,188658,482119,401766,Y,Caskells(Shopify products.json),2026-08-10,https://www.caskells.com/products/michel-couvreur-the-unique-whisky-44-700ml,
"Michel Couvreur - The Unique, Whisky, 44%",900.0,,179.673829,161706,413243,344369,Y,Caskells(Shopify products.json),2026-08-10,https://www.caskells.com/products/michel-couvreur-the-unique-whisky-700ml,
"Michel Couvreur - Special Vatting, Malt Whisky, 45%",2100.0,,179.673829,377315,964236,803530,N,Caskells(Shopify products.json),2026-08-10,https://www.caskells.com/products/michel-couvreur-special-vatting-malt-whisky-45-700ml,재고없음
"Michel Couvreur - Overaged Malt, Whisky, 43%",1180.0,,179.673829,212015,541809,451507,N,Caskells(Shopify products.json),2026-08-10,https://www.caskells.com/products/michel-couvreur-overaged-malt-whisky-43-700ml,재고없음
"Michel Couvreur - Candid, Malt Whisky, 49%",1460.0,,179.673829,262324,670374,558645,Y,Caskells(Shopify products.json),2026-08-10,https://www.caskells.com/products/michel-couvreur-candid-malt-whisky-49,
"Michel Couvreur -  Pale Single-Single Malt Whisky, 45%",1460.0,,179.673829,262324,670374,558645,Y,Caskells(Shopify products.json),2026-08-10,https://www.caskells.com/products/michel-couvreur-pale-single-single-whisky-50,
"Michel Couvreur -  Intravagan'za, Whisky, 50%",1050.0,,179.673829,188658,482119,401766,Y,Caskells(Shopify products.json),2026-08-10,https://www.caskells.com/products/michel-couvreur-intravaganza-whisky-50,
"Michel Couvreur - Couvreur's Clearach, Edition 2019-2022, 43%",900.0,,179.673829,161706,413243,344369,Y,Caskells(Shopify products.json),2026-08-10,https://www.caskells.com/products/michel-couvreur-couvreurs-clearach-boisson-spiritueuse-de-cereales-2019-2022-43-700ml,
"Hazelburn -  10y, 46%, 70cl",880.0,,179.673829,158113,404061,336717,Y,Caskells(Shopify products.json),2026-08-10,https://www.caskells.com/products/hazelburn-10y-46-70cl,
"Kilkerran -  8y, Port Cask Matured, 57.9%",1580.0,,179.673829,283885,725474,604561,Y,Caskells(Shopify products.json),2026-08-10,https://www.caskells.com/products/kilkerran-8y-port-cask-matured-57-9,
"Springbank - 10y, Sherry Fino Cask Matured 55%, 70cl",2680.0,,179.673829,481526,1230549,1025458,Y,Caskells(Shopify products.json),2026-08-10,https://www.caskells.com/products/springbank-10y-sherry-fino-cask-matured-55-70cl,
"Springbank - 10y, Local Barley, 55.2%, 70cl",2980.0,,179.673829,535428,1368297,1140247,Y,Caskells(Shopify products.json),2026-08-10,https://www.caskells.com/products/springbank-local-barley-10y-55-2-70cl,
"Adelphi Selection - Linkwood 14y, 2008, 1st Fill Olo Sherry HHD, 50.9%, 267b",1460.0,,179.673829,262324,670374,558645,Y,Caskells(Shopify products.json),2026-08-10,https://www.caskells.com/products/adelphi-selection-linkwood-14y-2008-50-9-b,
"Macallan - Rare Cask, 2024 Release, 43%",2788.0,,179.673829,500931,1280139,1066783,Y,Caskells(Shopify products.json),2026-08-10,https://www.caskells.com/products/macallan-rare-cask-2024-release-43,
"Macallan - A Night On Earth in JEREZ, 2024 Release, 43%",968.0,,179.673829,173924,444466,370389,Y,Caskells(Shopify products.json),2026-08-10,https://www.caskells.com/products/macallan-a-night-on-earth-in-scotland-2024-release-43,
"Ardbeg - 19y, 46.2%",2880.0,,179.673829,517461,1322382,1101985,Y,Caskells(Shopify products.json),2026-08-10,https://www.caskells.com/products/ardbeg-19y-v6-46-2,
"The First Editions Authors' Series - Littlemill 30y, 1990, 47.8%, 263b",13800.0,,179.673829,2479499,6336409,5280341,Y,Caskells(Shopify products.json),2026-08-10,https://www.caskells.com/products/authors-series-littlemill-30y-1990-47-8-263b,
"Balvenie - 16y, French Oak, 47.6%",1560.0,,179.673829,280291,716289,596908,N,Caskells(Shopify products.json),2026-08-10,https://www.caskells.com/products/balvenie-16y-french-oak-47-6,재고없음
"Berry's - Craigellachie 13y, 2000, 46%",980.0,,179.673829,176080,449976,374980,N,Caskells(Shopify products.json),2026-08-10,https://www.caskells.com/products/berry-0010,재고없음
"Drunken Master - WHITE CAT Secret Speyside, 19y, 44.8%, 300b, Blended Malt (Macallan Sherry+Highland Park)",2400.0,,179.673829,431217,1101984,918320,N,Caskells(Shopify products.json),2026-08-10,https://www.caskells.com/products/drunken-master-secret-speyside-sherry-cask-blended-whisky-19y-44-8-300b,재고없음
"Macallan - Classic Cut, 2023 Release, 50.3%",1200.0,,179.673829,215609,550993,459161,Y,Caskells(Shopify products.json),2026-08-10,https://www.caskells.com/products/macallan-classic-cut-2023-release-50-3,
"Macallan - Sherry Oak, 30y, 2023 release, 43%",42800.0,,179.673829,7690040,19652051,16376709,Y,Caskells(Shopify products.json),2026-08-10,https://www.caskells.com/products/macallan-sherry-oak-30y-2023-release-43,
"Miyagikyo - 宮城峽 Single Malt Whisky NAS, 45%, 50ml",120.0,,179.673829,21561,55100,45916,Y,Caskells(Shopify products.json),2026-08-10,https://www.caskells.com/products/miyagikyo-宮城峽-single-malt-whisky-nas-45-50ml,
"Taketsuru - 竹鶴 Pure Malt Whisky NAS, 43%, 50ml",120.0,,179.673829,21561,55100,45916,Y,Caskells(Shopify products.json),2026-08-10,https://www.caskells.com/products/taketsuru-竹鶴-pure-malt-43-50ml,
"Yoichi - 余市 Single Malt Whisky NAS, 45%, 50ml",120.0,,179.673829,21561,55100,45916,Y,Caskells(Shopify products.json),2026-08-10,https://www.caskells.com/products/yoichi-余市-single-malt-whisky-45-50ml,
"Yoichi - 余市 Single Malt Whisky 10YO, 45%, 70cl",1560.0,,179.673829,280291,716289,596908,Y,Caskells(Shopify products.json),2026-08-10,https://www.caskells.com/products/yoichi-余市-single-malt-whisky-10yo-45,
"Macallan - Double Cask, 30y, 2022 Release, 43%",34380.0,,179.673829,6177186,15785922,13154935,Y,Caskells(Shopify products.json),2026-08-10,https://www.caskells.com/products/macallan-double-cask-30y-2022-release-43,
Gift Box - Whisky 11oz (Blue),20.0,,179.673829,3593,9182,7652,Y,Caskells(Shopify products.json),2026-08-10,https://www.caskells.com/products/gift-box-whisky-11oz,
"Ardnamurchan - AD/ Heritage Barley Release 2025, Golden Promise 6y, 59.2%, 70cl, 10000B",880.0,,179.673829,158113,404061,336717,Y,Caskells(Shopify products.json),2026-08-10,https://www.caskells.com/products/rdnamurchan-ad-heritage-barley-59-2-2025-release-single-malt-scotch-whisky-70cl,
"Adelphi Selection - Benrinnes 11y, 2011, 56.2%, 341b",1260.0,,179.673829,226389,578542,482118,N,Caskells(Shopify products.json),2026-08-10,https://www.caskells.com/products/adelphi-benrinnes-11y-56-2-b,재고없음
"Macallan - James Bond Diamonds are Forever 55th Anniversary 2025 Release, 18y, 45.5%",5680.0,,179.673829,1020547,2608028,2173357,Y,Caskells(Shopify products.json),2026-08-10,https://www.caskells.com/products/macallan-james-bond-diamonds-are-forever-55th-anniversary-2025-release-45-5,
"Macallan - Sherry Oak, 18y, 2026 release, 43%",3388.0,,179.673829,608735,1555634,1296362,Y,Caskells(Shopify products.json),2026-08-10,https://www.caskells.com/products/macallan-sherry-oak-18y-2026-release-43,
"Macallan - Double Cask, 12y, 2025 release, 40%",698.0,,179.673829,125412,320493,267077,Y,Caskells(Shopify products.json),2026-08-10,https://www.caskells.com/products/macallan-double-cask-12y-2025-release-40,
