수집일,위스키명,가격_KRW,데일리샷상품명,정확도,할인율,국내위치,URL,비고
2026-07-31,1792 스몰배치,59000,1792 스몰 배치 700ml,정확,0,이마트 / 트레이더스,https://dailyshot.co/m/product/14532,"셀러 1/4 중 최저 / 페이지최저 59,000(셀러:스마일 슈퍼 강동점)"
2026-07-31,가쿠빈,37900,산토리 가쿠빈,근접,0,코스트코 / 트레이더스,https://dailyshot.co/m/product/2981,"셀러 6/39 중 최저 / 페이지최저 37,900(셀러:리쿼하우스)"
2026-07-31,골든블루 다이아몬드,59000,골든블루 더 다이아몬드,근접,0,트레이더스,https://dailyshot.co/m/product/4975,"셀러 4/4 중 최저 / 페이지최저 59,000(셀러:CU 서초삼성타운점)[검색 49,000]"
2026-07-31,골든블루 사피루스,25200,골든블루 더 사피루스 330ml,근접,0,트레이더스,https://dailyshot.co/m/product/24358,"셀러 6/6 중 최저 / 페이지최저 25,200(셀러:참치집 진주초전점)"
2026-07-31,글랜그란트 12년,,,,,트레이더스,,MISS / 검색후보 15
2026-07-31,글랜드로 오드 to투더 엠버스,,,,,트레이더스,,MISS / 검색후보 13
2026-07-31,글랜드로 오드투더 다크,,,,,트레이더스,,MISS / 검색후보 26
2026-07-31,글랜드로 오드투더 밸리,,,,,트레이더스,,MISS / 검색후보 31
2026-07-31,글랜드로나 12년,,,,,트레이더스,,MISS / 검색후보 53
2026-07-31,글랜파 클라스 12년,,,,,트레이더스,,MISS / 검색후보 53
2026-07-31,글램 모렌지 D 오리지널 12년,,,,,코스트코,,MISS / 검색후보 51
2026-07-31,글렌그란트 12년,59900,더 글렌그란트 12년,근접,0,트레이더스,https://dailyshot.co/m/product/3155,"셀러 3/8 중 최저 / 페이지최저 59,900(셀러:리쿼하우스)"
2026-07-31,글렌그란트 15년,120000,더 글렌그란트 15년 배치 스트렝스,근접,41,트레이더스,https://dailyshot.co/m/product/4307,"셀러 3/7 중 최저 / 노출가 할인 41% / 페이지최저 120,000(셀러:리쿼하우스)[검색 98,900]"
2026-07-31,글렌드로낙 12년,77000,더 글렌드로낙 12년,근접,0,트레이더스,https://dailyshot.co/m/product/23310,"셀러 3/18 중 최저 / 페이지최저 77,000(셀러:리쿼하우스)"
2026-07-31,글렌라키 10년 루비 포트,,,,,트레이더스,,MISS / 검색후보 41
2026-07-31,글렌리벳 12년,60900,더 글렌리벳 12년,근접,0,트레이더스,https://dailyshot.co/m/product/2330,"셀러 4/11 중 최저 / 페이지최저 60,900(셀러:리쿼하우스)"
2026-07-31,글렌리벳 15년,89000,더 글렌리벳 15년,근접,0,코스트코 / 트레이더스,https://dailyshot.co/m/product/1649,"셀러 2/7 중 최저 / 페이지최저 89,000(셀러:리쿼하우스)"
2026-07-31,글렌리벳 17년 스몰배치,255000,더 글렌리벳 17년 스몰 배치 2,근접,0,트레이더스,https://dailyshot.co/m/product/34654,"셀러 1/1 중 최저 / 페이지최저 255,000(셀러:모닝와인 성남점)"
2026-07-31,글렌리벳 19년 스몰배치,380000,더 글렌리벳 19년 스몰 배치,근접,0,트레이더스,https://dailyshot.co/m/product/34345,"셀러 1/2 중 최저 / 페이지최저 380,000(셀러:보틀벙커 잠실점)"
2026-07-31,글렌모렌지 12년,92000,글렌모렌지 라산타 12년,근접,0,코스트코 / 트레이더스,https://dailyshot.co/m/product/8196,"셀러 2/6 중 최저 / 페이지최저 92,000(셀러:리쿼하우스)"
2026-07-31,글렌모렌지 15년,97000,글렌모렌지 더 라산타 15년,근접,0,트레이더스,https://dailyshot.co/m/product/29554,"셀러 2/3 중 최저 / 페이지최저 97,000(셀러:리쿼하우스)"
2026-07-31,글렌모렌지 익스플로전 No.1,,,,,트레이더스,,MISS / 검색후보 46
2026-07-31,글렌알라키 10년 루비 포트,185000,글렌알라키 10년 루비 포트 우드 피니시,근접,0,트레이더스,https://dailyshot.co/m/product/23695,"셀러 1/5 중 최저 / 페이지최저 185,000(셀러:루원주류마켓)"
2026-07-31,글렌피딕 12년,68000,글렌피딕 12년 700ml,근접,0,트레이더스,https://dailyshot.co/m/product/2329,"셀러 6/19 중 최저 / 페이지최저 68,000(셀러:리쿼하우스)"
2026-07-31,글렌피딕 12년 쉐리케스크,,,,,코스트코,,MISS / 검색후보 6
