술이름,기준가_HKD,정가_HKD,환율_HKDKRW,기준가_KRW,반입추정가_KRW_관세20,반입추정가_KRW_FTA0,재고,출처,가져온날짜,URL,비고
"Macallan - Rare Cask, 2024 Release, 43%",2788.0,,192.283674,536087,1369981,1141651,Y,Caskells(Shopify products.json),2026-05-31,https://www.caskells.com/products/macallan-rare-cask-2024-release-43,
"Macallan - A Night On Earth in JEREZ, 2024 Release, 43%",968.0,,192.283674,186131,475661,396385,Y,Caskells(Shopify products.json),2026-05-31,https://www.caskells.com/products/macallan-a-night-on-earth-in-scotland-2024-release-43,
"Ardbeg - 19y, 46.2%",2880.0,,192.283674,553777,1415188,1179323,Y,Caskells(Shopify products.json),2026-05-31,https://www.caskells.com/products/ardbeg-19y-v6-46-2,
"The First Editions Authors' Series - Littlemill 30y, 1990, 47.8%, 263b",13800.0,,192.283674,2653515,6781111,5650926,Y,Caskells(Shopify products.json),2026-05-31,https://www.caskells.com/products/authors-series-littlemill-30y-1990-47-8-263b,
"Balvenie - 16y, French Oak, 47.6%",1560.0,,192.283674,299963,766561,638801,Y,Caskells(Shopify products.json),2026-05-31,https://www.caskells.com/products/balvenie-16y-french-oak-47-6,
"Berry's - Craigellachie 13y, 2000, 46%",980.0,,192.283674,188438,481557,401298,Y,Caskells(Shopify products.json),2026-05-31,https://www.caskells.com/products/berry-0010,
"Drunken Master - WHITE CAT Secret Speyside, 19y, 44.8%, 300b, Blended Malt (Macallan Sherry+Highland Park)",2400.0,,192.283674,461481,1179324,982770,N,Caskells(Shopify products.json),2026-05-31,https://www.caskells.com/products/drunken-master-secret-speyside-sherry-cask-blended-whisky-19y-44-8-300b,재고없음
"Macallan - Classic Cut, 2023 Release, 50.3%",1200.0,,192.283674,230740,589661,491384,Y,Caskells(Shopify products.json),2026-05-31,https://www.caskells.com/products/macallan-classic-cut-2023-release-50-3,
"Macallan - Sherry Oak, 30y, 2023 release, 43%",42800.0,,192.283674,8229741,21031268,17526056,Y,Caskells(Shopify products.json),2026-05-31,https://www.caskells.com/products/macallan-sherry-oak-30y-2023-release-43,
"Miyagikyo - 宮城峽 Single Malt Whisky NAS, 45%, 50ml",120.0,,192.283674,23074,58966,49138,Y,Caskells(Shopify products.json),2026-05-31,https://www.caskells.com/products/miyagikyo-宮城峽-single-malt-whisky-nas-45-50ml,
"Taketsuru - 竹鶴 Pure Malt Whisky NAS, 43%, 50ml",120.0,,192.283674,23074,58966,49138,Y,Caskells(Shopify products.json),2026-05-31,https://www.caskells.com/products/taketsuru-竹鶴-pure-malt-43-50ml,
"Yoichi - 余市 Single Malt Whisky NAS, 45%, 50ml",120.0,,192.283674,23074,58966,49138,Y,Caskells(Shopify products.json),2026-05-31,https://www.caskells.com/products/yoichi-余市-single-malt-whisky-45-50ml,
"Yoichi - 余市 Single Malt Whisky 10YO, 45%, 70cl",1560.0,,192.283674,299963,766561,638801,Y,Caskells(Shopify products.json),2026-05-31,https://www.caskells.com/products/yoichi-余市-single-malt-whisky-10yo-45,
"Macallan - Double Cask, 30y, 2022 Release, 43%",36800.0,,192.283674,7076039,18082959,15069133,Y,Caskells(Shopify products.json),2026-05-31,https://www.caskells.com/products/macallan-double-cask-30y-2022-release-43,
Gift Box - Whisky 11oz,20.0,,192.283674,3846,9829,8190,N,Caskells(Shopify products.json),2026-05-31,https://www.caskells.com/products/gift-box-whisky-11oz,재고없음
"Ardnamurchan - AD/ Heritage Barley Release 2025, Golden Promise 6y, 59.2%, 70cl, 10000B",880.0,,192.283674,169210,432420,360350,Y,Caskells(Shopify products.json),2026-05-31,https://www.caskells.com/products/rdnamurchan-ad-heritage-barley-59-2-2025-release-single-malt-scotch-whisky-70cl,
"Adelphi Selection - Benrinnes 11y, 2011, 56.2%, 341b",1260.0,,192.283674,242277,619144,515953,N,Caskells(Shopify products.json),2026-05-31,https://www.caskells.com/products/adelphi-benrinnes-11y-56-2-b,재고없음
"Macallan - James Bond Diamonds are Forever 55th Anniversary 2025 Release, 18y, 45.5%",5680.0,,192.283674,1092171,2791065,2325887,Y,Caskells(Shopify products.json),2026-05-31,https://www.caskells.com/products/macallan-james-bond-diamonds-are-forever-55th-anniversary-2025-release-45-5,
"Macallan - Sherry Oak, 18y, 2026 release, 43%",3388.0,,192.283674,651457,1664811,1387343,Y,Caskells(Shopify products.json),2026-05-31,https://www.caskells.com/products/macallan-sherry-oak-18y-2026-release-43,
"Macallan - Double Cask, 12y, 2025 release, 40%",698.0,,192.283674,134214,342987,285822,Y,Caskells(Shopify products.json),2026-05-31,https://www.caskells.com/products/macallan-double-cask-12y-2025-release-40,
"Adelphi - Private Stock Reserve 8y, Peated blend, 46%, 70cl, 1800B",580.0,,192.283674,111525,285004,237504,Y,Caskells(Shopify products.json),2026-05-31,https://www.caskells.com/products/adelphi-private-stock-reserve-peated-blended-scotch-46,
"Adelphi - Speyside (Glen Elgin) 10y, Single Malt Whisky, 46%,70cl, 1800B",690.0,,192.283674,132676,339056,282547,Y,Caskells(Shopify products.json),2026-05-31,https://www.caskells.com/products/adelphi-10y-speyside-single-malt-whisky-46-70cl,
"Adelphi - Islay (Caol Ila) 10y, Single Malt Whisky, 46%,70cl, 1800B",720.0,,192.283674,138444,353796,294830,Y,Caskells(Shopify products.json),2026-05-31,https://www.caskells.com/products/adelphi-10y-islay-single-malt-whisky-46-70cl,
"Adelphi Selection - Ardmore 8y Refill Oloroso Butt, 2016, 59.7%, 632b",1050.0,,192.283674,201898,515954,429962,Y,Caskells(Shopify products.json),2026-05-31,https://www.caskells.com/products/adelphi-selection-ardmore-8y-refill-oloroso-butt-2016-57-6-632b,
"Adelphi Selection - Linkwood 10y Refill Oloroso HHD 2015, 56.4%, 238b",1150.0,,192.283674,221126,565092,470910,Y,Caskells(Shopify products.json),2026-05-31,https://www.caskells.com/products/adelphi-selection-linkwood-10y-refill-oloroso-butt-2015-56-4-238b,
"Adelphi Selection - Dailuaine 12y Refill Oloroso HHD 2013, 53.5%, 265b",1190.0,,192.283674,228818,584749,487291,Y,Caskells(Shopify products.json),2026-05-31,https://www.caskells.com/products/adelphi-selection-dailuaine-12y-refill-oloroso-hhd-2013-53-5-265b,
"Adelphi Selection - Ben Nevis 11y Refill Oloroso Butt 2013, 59.9%, 624b",1480.0,,192.283674,284580,727250,606042,Y,Caskells(Shopify products.json),2026-05-31,https://www.caskells.com/products/adelphi-selection-ben-nevis-11y-refill-oloroso-butt-2013-59-9-624b,
"Adelphi Selection - Benrinnes 14y Refill Oloroso HHD 2011, 56.2%, 282b",1450.0,,192.283674,278811,712507,593756,Y,Caskells(Shopify products.json),2026-05-31,https://www.caskells.com/products/adelphi-selection-benrinnes-14y-refill-oloroso-hhd-2011-56-2-282b,
"Adelphi Selection - Clynelish 9y, Refill Oloroso Butt, 2015-2024, 54.5%, 477b",1390.0,,192.283674,267274,683024,569187,Y,Caskells(Shopify products.json),2026-05-31,https://www.caskells.com/products/adelphi-selection-clynelish-9y-refill-oloroso-butt-2015-54-5-477b,
"Adelphi Selection - Teaninch 16y, Refill Oloroso Sherry Cask, 56.4%, 207b",1480.0,,192.283674,284580,727250,606042,Y,Caskells(Shopify products.json),2026-05-31,https://www.caskells.com/products/adelphi-selection-teaninch-16y-refill-oloroso-sherry-cask-56-4-207b,
"Adelphi Selection - Lochranza, Isle of Arran 10y, 1st Fill Bourbon (Peated) 2014, 57.1%, 230b",1360.0,,192.283674,261506,668284,556903,Y,Caskells(Shopify products.json),2026-05-31,https://www.caskells.com/products/adelphi-selection-isle-of-arran-10y-1st-fill-bourbon-asb-peated-2014-57-1-230b,
